size,method,step,evaluation_mode,cache_capacity,is_unlimited,policy,num_sequences,sequence_length,total_expert_accesses,total_loads_including_cold,total_evictions,loads_per_100_token_layer,evictions_per_100_transitions,cache_hit_rate,load_reduction_vs_k1,switch_probability
L,baseline,352000,teacher_forced_sequence,1,0,LRU,64,2048,3670016,2939053,2937261,80.0828388759068,80.07310894863564,0.19917161124093197,0.0,0.8007310628890991
L,baseline,352000,teacher_forced_sequence,2,0,LRU,64,2048,3670016,2403121,2399537,65.47985076904297,65.4141350146556,0.3452014923095703,0.1823485319931284,0.8007310628890991
L,baseline,352000,teacher_forced_sequence,4,0,LRU,64,2048,3670016,1467424,1460256,39.984130859375,39.808255984367364,0.60015869140625,0.5007153664802915,0.8007310628890991
L,baseline,352000,teacher_forced_sequence,8,1,LRU,64,2048,3670016,14336,0,0.390625,0.0,0.99609375,0.9951222383536465,0.8007310628890991
L,proposed,352000,teacher_forced_sequence,1,0,LRU,64,2048,3670016,236701,234909,6.449590410505023,6.403889184520902,0.9355040958949498,0.0,0.06403889507055283
L,proposed,352000,teacher_forced_sequence,2,0,LRU,64,2048,3670016,119951,116370,3.2684053693498885,3.1723798764742828,0.9673159463065011,0.49323830486563214,0.06403889507055283
L,proposed,352000,teacher_forced_sequence,4,0,LRU,64,2048,3670016,52190,45209,1.4220646449497767,1.232449272454463,0.9857793535505023,0.7795108596921855,0.06403889507055283
L,proposed,352000,teacher_forced_sequence,8,1,LRU,64,2048,3670016,12184,0,0.33198765345982145,0.0,0.9966801234654018,0.9485257772463994,0.06403889507055283
M,baseline,172000,teacher_forced_sequence,1,0,LRU,64,2048,3145728,2522015,2520479,80.17269770304362,80.16301167358736,0.19827302296956384,0.0,0.8016301393508911
M,baseline,172000,teacher_forced_sequence,2,0,LRU,64,2048,3145728,2064526,2061454,65.62951405843098,65.56387141752158,0.34370485941569007,0.18139820738576096,0.8016301393508911
M,baseline,172000,teacher_forced_sequence,4,0,LRU,64,2048,3145728,1256401,1250257,39.93991216023763,39.7640156835206,0.6006008783976238,0.5018265157027219,0.8016301393508911
M,baseline,172000,teacher_forced_sequence,8,1,LRU,64,2048,3145728,12288,0,0.390625,0.0,0.99609375,0.9951277054260185,0.8016301393508911
M,proposed,172000,teacher_forced_sequence,1,0,LRU,64,2048,3145728,173939,172403,5.529371897379558,5.483221126445204,0.9447062810262045,0.0,0.05483221262693405
M,proposed,172000,teacher_forced_sequence,2,0,LRU,64,2048,3145728,87678,84612,2.7872085571289062,2.6910570346849045,0.9721279144287109,0.49592673293510947,0.05483221262693405
M,proposed,172000,teacher_forced_sequence,4,0,LRU,64,2048,3145728,36480,30513,1.15966796875,0.9704560026868588,0.9884033203125,0.7902713020081753,0.05483221262693405
M,proposed,172000,teacher_forced_sequence,8,1,LRU,64,2048,3145728,10107,0,0.3212928771972656,0.0,0.9967870712280273,0.9418934224067058,0.05483221262693405
