size,method,step,task,metric,value
M,baseline,20000,arc_challenge,acc_norm,0.2363481228668942
M,baseline,20000,arc_easy,acc_norm,0.41245791245791247
M,baseline,20000,hellaswag,acc_norm,0.3239394542919737
M,baseline,20000,lambada_openai,acc,0.3060353192315156
M,baseline,20000,piqa,acc_norm,0.6517954298150164
M,baseline,20000,race,acc,0.49310903931901096
M,baseline,20000,siqa,acc,0.37001023541453426
M,baseline,20000,winogrande,acc,0.5130228887134964
M,baseline,20000,macro_average,accuracy,0.41333980026379424
M,proposed,20000,arc_challenge,acc_norm,0.23208191126279865
M,proposed,20000,arc_easy,acc_norm,0.42676767676767674
M,proposed,20000,hellaswag,acc_norm,0.31666998605855406
M,proposed,20000,lambada_openai,acc,0.3052590723850184
M,proposed,20000,piqa,acc_norm,0.6485310119695321
M,proposed,20000,race,acc,0.49858127280097286
M,proposed,20000,siqa,acc,0.3766632548618219
M,proposed,20000,winogrande,acc,0.5074980268350434
M,proposed,20000,macro_average,accuracy,0.4140065266176773
M,baseline,40000,arc_challenge,acc_norm,0.25426621160409557
M,baseline,40000,arc_easy,acc_norm,0.44023569023569026
M,baseline,40000,hellaswag,acc_norm,0.3611830312686716
M,baseline,40000,lambada_openai,acc,0.3863768678439744
M,baseline,40000,piqa,acc_norm,0.6566920565832427
M,baseline,40000,race,acc,0.4989866234292663
M,baseline,40000,siqa,acc,0.38331627430910953
M,baseline,40000,winogrande,acc,0.5027624309392266
M,baseline,40000,macro_average,accuracy,0.4354773982766596
M,proposed,40000,arc_challenge,acc_norm,0.2431740614334471
M,proposed,40000,arc_easy,acc_norm,0.44907407407407407
M,proposed,40000,hellaswag,acc_norm,0.34953196574387574
M,proposed,40000,lambada_openai,acc,0.361925092179313
M,proposed,40000,piqa,acc_norm,0.6534276387377584
M,proposed,40000,race,acc,0.4995946493717065
M,proposed,40000,siqa,acc,0.3828045035823951
M,proposed,40000,winogrande,acc,0.5177584846093133
M,proposed,40000,macro_average,accuracy,0.4321613087164854
M,baseline,76000,arc_challenge,acc_norm,0.257679180887372
M,baseline,76000,arc_easy,acc_norm,0.4553872053872054
M,baseline,76000,hellaswag,acc_norm,0.3725353515236009
M,baseline,76000,lambada_openai,acc,0.402483989908791
M,baseline,76000,piqa,acc_norm,0.6637649619151251
M,baseline,76000,race,acc,0.4977705715443859
M,baseline,76000,siqa,acc,0.3843398157625384
M,baseline,76000,winogrande,acc,0.5074980268350434
M,baseline,76000,macro_average,accuracy,0.44268238797050774
M,proposed,76000,arc_challenge,acc_norm,0.24232081911262798
M,proposed,76000,arc_easy,acc_norm,0.4701178451178451
M,proposed,76000,hellaswag,acc_norm,0.3573989245170285
M,proposed,76000,lambada_openai,acc,0.38482437415098003
M,proposed,76000,piqa,acc_norm,0.6648531011969532
M,proposed,76000,race,acc,0.5002026753141467
M,proposed,76000,siqa,acc,0.3797338792221085
M,proposed,76000,winogrande,acc,0.5090765588003157
M,proposed,76000,macro_average,accuracy,0.4385660221790007
M,baseline,156000,arc_challenge,acc_norm,0.25597269624573377
M,baseline,156000,arc_easy,acc_norm,0.4583333333333333
M,baseline,156000,hellaswag,acc_norm,0.38498307110137425
M,baseline,156000,lambada_openai,acc,0.4170386182806132
M,baseline,156000,piqa,acc_norm,0.6730141458106638
M,baseline,156000,race,acc,0.4979732468585326
M,baseline,156000,siqa,acc,0.39201637666325484
M,baseline,156000,winogrande,acc,0.500394632991318
M,baseline,156000,macro_average,accuracy,0.447465765160603
M,proposed,156000,arc_challenge,acc_norm,0.24829351535836178
M,proposed,156000,arc_easy,acc_norm,0.47264309764309764
M,proposed,156000,hellaswag,acc_norm,0.37024497112129057
M,proposed,156000,lambada_openai,acc,0.3976324471181836
M,proposed,156000,piqa,acc_norm,0.6724700761697497
M,proposed,156000,race,acc,0.4995946493717065
M,proposed,156000,siqa,acc,0.3843398157625384
M,proposed,156000,winogrande,acc,0.5169692186266772
M,proposed,156000,macro_average,accuracy,0.44527347389645067
M,baseline,172000,arc_challenge,acc_norm,0.2568259385665529
M,baseline,172000,arc_easy,acc_norm,0.46296296296296297
M,baseline,172000,hellaswag,acc_norm,0.38767177853017326
M,baseline,172000,lambada_openai,acc,0.4232485930525907
M,baseline,172000,piqa,acc_norm,0.6702937976060935
M,baseline,172000,race,acc,0.5006080259424402
M,baseline,172000,siqa,acc,0.3940634595701126
M,baseline,172000,winogrande,acc,0.4988161010260458
M,baseline,172000,macro_average,accuracy,0.4493113321571215
M,proposed,172000,arc_challenge,acc_norm,0.24829351535836178
M,proposed,172000,arc_easy,acc_norm,0.48274410774410775
M,proposed,172000,hellaswag,acc_norm,0.3707428799044015
M,proposed,172000,lambada_openai,acc,0.3966621385600621
M,proposed,172000,piqa,acc_norm,0.6751904243743199
M,proposed,172000,race,acc,0.5006080259424402
M,proposed,172000,siqa,acc,0.3843398157625384
M,proposed,172000,winogrande,acc,0.5122336227308603
M,proposed,172000,macro_average,accuracy,0.4463518162971365
L,baseline,12000,arc_challenge,acc_norm,0.24232081911262798
L,baseline,12000,arc_easy,acc_norm,0.43602693602693604
L,baseline,12000,hellaswag,acc_norm,0.3178649671380203
L,baseline,12000,lambada_openai,acc,0.29885503590141665
L,baseline,12000,piqa,acc_norm,0.6371055495103374
L,baseline,12000,race,acc,0.4993919740575598
