size,method,step,tokens_per_step,training_tokens,backward_multiplier,attention_projection_flops_per_token,attention_core_flops_per_token,active_ffn_flops_per_token,router_flops_per_token,lm_head_flops_per_token,forward_flops_per_token,training_flops,log10_training_flops
M,baseline,20000,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806
M,proposed,20000,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806
M,baseline,40000,262144,10485760000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,2.575872276037632e+19,19.410924324841787
M,proposed,40000,262144,10485760000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,2.575872276037632e+19,19.410924324841787
M,baseline,76000,262144,19922944000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,4.894157324471501e+19,19.689677925794616
M,proposed,76000,262144,19922944000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,4.894157324471501e+19,19.689677925794616
M,baseline,156000,262144,40894464000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.0045901876546765e+20,20.001988931868283
M,proposed,156000,262144,40894464000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.0045901876546765e+20,20.001988931868283
M,baseline,172000,262144,45088768000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.1076250786961818e+20,20.044392780421372
M,proposed,172000,262144,45088768000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.1076250786961818e+20,20.044392780421372
L,baseline,12000,262144,3145728000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,1.4025009546657792e+19,19.146903165547407
L,proposed,12000,262144,3145728000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,1.4025009546657792e+19,19.146903165547407
L,baseline,20000,262144,5242880000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,2.337501591109632e+19,19.368751915163763
L,proposed,20000,262144,5242880000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,2.337501591109632e+19,19.368751915163763
L,baseline,44000,262144,11534336000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,5.14250350044119e+19,19.71117459598597
L,proposed,44000,262144,11534336000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,5.14250350044119e+19,19.71117459598597
L,baseline,84000,262144,22020096000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,9.817506682660454e+19,19.992001205561664
L,proposed,84000,262144,22020096000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,9.817506682660454e+19,19.992001205561664
L,baseline,172000,262144,45088768000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,2.0102513683542835e+20,20.30325036640733
L,proposed,172000,262144,45088768000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,2.0102513683542835e+20,20.30325036640733
L,baseline,344000,262144,90177536000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.020502736708567e+20,20.60428036207131
L,proposed,344000,262144,90177536000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.020502736708567e+20,20.60428036207131
L,baseline,352000,262144,92274688000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.114002800352952e+20,20.614264582977913
L,proposed,352000,262144,92274688000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.114002800352952e+20,20.614264582977913
