size,method,step,hardware,device_name,evaluation_mode,cache_capacity,is_unlimited,repeat,prompt_length,decode_tokens,elapsed_seconds,milliseconds_per_token,tokens_per_second,expert_accesses,expert_loads,expert_evictions,bytes_loaded,loads_per_100_token_layer,cache_hit_rate,loaded_gib,latency_ratio_vs_same_size_baseline_unlimited,extra_latency_fraction_vs_same_size_baseline_unlimited
L,baseline,352000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,1,0,mean,32,2048,57.38153465061138,28.018327466118837,35.69113283607907,57344.0,45664.0,45664.0,574586093568.0,79.63169642857143,0.20368303571428573,535.125,1.4018096202504422,0.4018096202504422
L,baseline,352000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,2,0,mean,32,2048,55.21797093376517,26.961899870002526,37.08967133461432,57344.0,36771.0,36771.0,462686257152.0,64.12353515625,0.3587646484375,430.91015625,1.348954560678286,0.348954560678286
L,baseline,352000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,4,0,mean,32,2048,49.61105850649377,24.22414966137391,41.28368579637756,57344.0,21452.0,21452.0,269928628224.0,37.40931919642858,0.6259068080357143,251.390625,1.2119797685555544,0.21197976855555445
L,baseline,352000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,8,1,mean,32,2048,40.93389988318086,19.987255802334403,50.03544546608873,57344.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
L,proposed,352000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,1,0,mean,32,2048,43.65005958856394,21.313505658478487,46.92101336311584,57344.0,3439.0,3439.0,43272634368.0,5.997140066964286,0.9400285993303571,40.30078125,1.066354774725462,0.06635477472546203
L,proposed,352000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,2,0,mean,32,2048,42.635789143542446,20.818256417745335,48.03492701187665,57344.0,840.6666666666666,840.0,10578034688.0,1.4660063244047619,0.9853399367559524,9.8515625,1.0415765237423877,0.04157652374238774
L,proposed,352000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,4,0,mean,32,2048,43.765650775283575,21.369946667618933,46.810725243568506,57344.0,87.33333333333333,65.33333333333333,1098907648.0,0.1522972470238095,0.9984770275297619,1.0234375,1.0691786245675126,0.06917862456751256
L,proposed,352000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,8,1,mean,32,2048,43.015092394314706,21.003463083161478,47.61144446961595,57344.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0508427615515077,0.05084276155150769
M,baseline,172000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,1,0,mean,32,2048,39.51876798861971,19.296273431943217,52.745145970419735,49152.0,26959.0,26959.0,190812782592.0,54.848225911458336,0.4515177408854167,177.708251953125,1.1467233572584297,0.14672335725842967
M,baseline,172000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,2,0,mean,32,2048,40.66586783931901,19.856380780917487,50.89785398034251,49152.0,21019.666666666668,21019.666666666668,148774846464.0,42.764621310763886,0.5723537868923612,138.557373046875,1.1800089645497136,0.1800089645497136
M,baseline,172000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,4,0,mean,32,2048,37.67354415232936,18.39528523062957,54.48342946316014,49152.0,10001.333333333334,10001.333333333334,70788317184.0,20.347764756944443,0.7965223524305555,65.9267578125,1.093180157909364,0.09318015790936407
M,baseline,172000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,8,1,mean,32,2048,34.462338050827384,16.82731350138056,59.44978489185934,49152.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
M,proposed,172000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,1,0,mean,32,2048,37.755487446673214,18.435296604820905,54.245578154671364,49152.0,1668.6666666666667,1668.6666666666667,11810635776.0,3.394911024305556,0.9660508897569445,10.99951171875,1.0955579215487026,0.09555792154870257
M,proposed,172000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,2,0,mean,32,2048,37.59009711599598,18.354539607419913,54.48602715191435,49152.0,246.0,245.0,1741160448.0,0.50048828125,0.9949951171875,1.62158203125,1.090758759912214,0.09075875991221394
M,proposed,172000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,4,0,mean,32,2048,37.29741772077978,18.2116297464745,54.92232192498616,49152.0,63.333333333333336,39.0,448266240.0,0.1288519965277778,0.9987114800347222,0.41748046875,1.0822660280846594,0.08226602808465944
M,proposed,172000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,8,1,mean,32,2048,35.02321479873111,17.101179100942925,58.48492017079366,49152.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0162750637254068,0.01627506372540677
