size,method,step,hardware,device_name,evaluation_mode,cache_state,cache_capacity,is_unlimited,repeat,prompt_length,ttft_seconds,ttft_milliseconds,expert_accesses,expert_loads,expert_evictions,bytes_loaded,loaded_gib,ttft_ratio_vs_same_size_baseline_unlimited,extra_ttft_fraction_vs_same_size_baseline_unlimited
L,baseline,352000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,1,0,mean,32,0.6116501407697796,611.6501407697797,212.4,212.4,184.4,2672610508.8,2.4890625,1.1910407438856465,0.1910407438856465
L,baseline,352000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,1,0,mean,128,0.14301847908645868,143.01847908645868,224.0,224.0,196.0,2818572288.0,2.625,2.463072785487137,1.463072785487137
L,baseline,352000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,1,0,mean,512,0.14477915298193694,144.77915298193693,224.0,224.0,196.0,2818572288.0,2.625,2.4374520205628527,1.4374520205628527
L,baseline,352000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,1,0,mean,1024,0.14701711442321538,147.0171144232154,224.0,224.0,196.0,2818572288.0,2.625,2.3354419520183765,1.3354419520183765
L,baseline,352000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,1,0,mean,2048,0.1517874639481306,151.7874639481306,224.0,224.0,196.0,2818572288.0,2.625,2.24071367950631,1.2407136795063098
L,baseline,352000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,1,0,mean,32,0.14288819432258607,142.88819432258606,212.4,212.4,212.4,2672610508.8,2.4890625,2.3864736161266498,1.3864736161266498
L,baseline,352000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,1,0,mean,128,0.1425754502415657,142.5754502415657,224.0,224.0,224.0,2818572288.0,2.625,2.530106803937085,1.5301068039370849
L,baseline,352000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,1,0,mean,512,0.14449750073254108,144.49750073254108,224.0,224.0,224.0,2818572288.0,2.625,2.482976108257566,1.4829761082575659
L,baseline,352000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,1,0,mean,1024,0.1464091369882226,146.4091369882226,224.0,224.0,224.0,2818572288.0,2.625,2.384170751948519,1.3841707519485191
L,baseline,352000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,1,0,mean,2048,0.15267762988805772,152.6776298880577,224.0,224.0,224.0,2818572288.0,2.625,2.2783208517239144,1.2783208517239144
L,baseline,352000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,2,0,mean,32,0.6036901250481606,603.6901250481606,212.4,212.4,156.4,2672610508.8,2.4890625,1.1755405381070834,0.17554053810708337
L,baseline,352000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,2,0,mean,128,0.146016139164567,146.016139164567,224.0,224.0,168.0,2818572288.0,2.625,2.5146986663222024,1.5146986663222024
L,baseline,352000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,2,0,mean,512,0.1448424845933914,144.84248459339142,224.0,224.0,168.0,2818572288.0,2.625,2.438518249789408,1.438518249789408
L,baseline,352000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,2,0,mean,1024,0.14677032344043256,146.77032344043255,224.0,224.0,168.0,2818572288.0,2.625,2.3315215512076812,1.3315215512076812
L,baseline,352000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,2,0,mean,2048,0.15095760021358728,150.95760021358728,224.0,224.0,168.0,2818572288.0,2.625,2.2284630826931706,1.2284630826931706
L,baseline,352000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,2,0,mean,32,0.13876934200525284,138.76934200525284,212.4,212.4,212.4,2672610508.8,2.4890625,2.3176818420361562,1.3176818420361562
