size,method,run_name,run_dir,step,checkpoint,target_flops,is_latest,tokens_per_step,training_tokens,backward_multiplier,attention_projection_flops_per_token,attention_core_flops_per_token,active_ffn_flops_per_token,router_flops_per_token,lm_head_flops_per_token,forward_flops_per_token,training_flops,log10_training_flops
M,baseline,baseline,/mnt/workspace/fmoe_cuda_m_8e_outputs/baseline,20000,/mnt/workspace/fmoe_cuda_m_8e_outputs/baseline/checkpoint-0020000.pt,1.25e+19,0,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806
M,proposed,proposed,/mnt/workspace/fmoe_cuda_m_8e_outputs/proposed,20000,/mnt/workspace/fmoe_cuda_m_8e_outputs/proposed/checkpoint-0020000.pt,1.25e+19,0,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806
M,baseline,baseline,/mnt/workspace/fmoe_cuda_m_8e_outputs/baseline,40000,/mnt/workspace/fmoe_cuda_m_8e_outputs/baseline/checkpoint-0040000.pt,2.5e+19,0,262144,10485760000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,2.575872276037632e+19,19.410924324841787
M,proposed,proposed,/mnt/workspace/fmoe_cuda_m_8e_outputs/proposed,40000,/mnt/workspace/fmoe_cuda_m_8e_outputs/proposed/checkpoint-0040000.pt,2.5e+19,0,262144,10485760000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,2.575872276037632e+19,19.410924324841787
M,baseline,baseline,/mnt/workspace/fmoe_cuda_m_8e_outputs/baseline,76000,/mnt/workspace/fmoe_cuda_m_8e_outputs/baseline/checkpoint-0076000.pt,5e+19,0,262144,19922944000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,4.894157324471501e+19,19.689677925794616
M,proposed,proposed,/mnt/workspace/fmoe_cuda_m_8e_outputs/proposed,76000,/mnt/workspace/fmoe_cuda_m_8e_outputs/proposed/checkpoint-0076000.pt,5e+19,0,262144,19922944000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,4.894157324471501e+19,19.689677925794616
M,baseline,baseline,/mnt/workspace/fmoe_cuda_m_8e_outputs/baseline,156000,/mnt/workspace/fmoe_cuda_m_8e_outputs/baseline/checkpoint-0156000.pt,1e+20,0,262144,40894464000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.0045901876546765e+20,20.001988931868283
M,proposed,proposed,/mnt/workspace/fmoe_cuda_m_8e_outputs/proposed,156000,/mnt/workspace/fmoe_cuda_m_8e_outputs/proposed/checkpoint-0156000.pt,1e+20,0,262144,40894464000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.0045901876546765e+20,20.001988931868283
M,baseline,baseline,/mnt/workspace/fmoe_cuda_m_8e_outputs/baseline,172000,/mnt/workspace/fmoe_cuda_m_8e_outputs/baseline/checkpoint-0172000.pt,1.1076250786961818e+20,1,262144,45088768000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.1076250786961818e+20,20.044392780421372
M,proposed,proposed,/mnt/workspace/fmoe_cuda_m_8e_outputs/proposed,172000,/mnt/workspace/fmoe_cuda_m_8e_outputs/proposed/checkpoint-0172000.pt,1.1076250786961818e+20,1,262144,45088768000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.1076250786961818e+20,20.044392780421372
L,baseline,baseline_lb,/mnt/workspace/fmoe_cuda_2b_8e_outputs/baseline_lb,12000,/mnt/workspace/fmoe_cuda_2b_8e_outputs/baseline_lb/checkpoint-0012000.pt,1.25e+19,0,262144,3145728000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,1.4025009546657792e+19,19.146903165547407
L,proposed,proposed_lb,/mnt/workspace/fmoe_cuda_2b_8e_outputs/proposed_lb,12000,/mnt/workspace/fmoe_cuda_2b_8e_outputs/proposed_lb/checkpoint-0012000.pt,1.25e+19,0,262144,3145728000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,1.4025009546657792e+19,19.146903165547407
L,baseline,baseline_lb,/mnt/workspace/fmoe_cuda_2b_8e_outputs/baseline_lb,20000,/mnt/workspace/fmoe_cuda_2b_8e_outputs/baseline_lb/checkpoint-0020000.pt,2.5e+19,0,262144,5242880000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,2.337501591109632e+19,19.368751915163763
L,proposed,proposed_lb,/mnt/workspace/fmoe_cuda_2b_8e_outputs/proposed_lb,20000,/mnt/workspace/fmoe_cuda_2b_8e_outputs/proposed_lb/checkpoint-0020000.pt,2.5e+19,0,262144,5242880000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,2.337501591109632e+19,19.368751915163763
L,baseline,baseline_lb,/mnt/workspace/fmoe_cuda_2b_8e_outputs/baseline_lb,44000,/mnt/workspace/fmoe_cuda_2b_8e_outputs/baseline_lb/checkpoint-0044000.pt,5e+19,0,262144,11534336000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,5.14250350044119e+19,19.71117459598597
L,proposed,proposed_lb,/mnt/workspace/fmoe_cuda_2b_8e_outputs/proposed_lb,44000,/mnt/workspace/fmoe_cuda_2b_8e_outputs/proposed_lb/checkpoint-0044000.pt,5e+19,0,262144,11534336000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,5.14250350044119e+19,19.71117459598597
L,baseline,baseline_lb,/mnt/workspace/fmoe_cuda_2b_8e_outputs/baseline_lb,84000,/mnt/workspace/fmoe_cuda_2b_8e_outputs/baseline_lb/checkpoint-0084000.pt,1e+20,0,262144,22020096000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,9.817506682660454e+19,19.992001205561664
L,proposed,proposed_lb,/mnt/workspace/fmoe_cuda_2b_8e_outputs/proposed_lb,84000,/mnt/workspace/fmoe_cuda_2b_8e_outputs/proposed_lb/checkpoint-0084000.pt,1e+20,0,262144,22020096000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,9.817506682660454e+19,19.992001205561664
L,baseline,baseline_lb,/mnt/workspace/fmoe_cuda_2b_8e_outputs/baseline_lb,172000,/mnt/workspace/fmoe_cuda_2b_8e_outputs/baseline_lb/checkpoint-0172000.pt,2e+20,0,262144,45088768000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,2.0102513683542835e+20,20.30325036640733
L,proposed,proposed_lb,/mnt/workspace/fmoe_cuda_2b_8e_outputs/proposed_lb,172000,/mnt/workspace/fmoe_cuda_2b_8e_outputs/proposed_lb/checkpoint-0172000.pt,2e+20,0,262144,45088768000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,2.0102513683542835e+20,20.30325036640733
L,baseline,baseline_lb,/mnt/workspace/fmoe_cuda_2b_8e_outputs/baseline_lb,344000,/mnt/workspace/fmoe_cuda_2b_8e_outputs/baseline_lb/checkpoint-0344000.pt,4e+20,0,262144,90177536000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.020502736708567e+20,20.60428036207131
L,proposed,proposed_lb,/mnt/workspace/fmoe_cuda_2b_8e_outputs/proposed_lb,344000,/mnt/workspace/fmoe_cuda_2b_8e_outputs/proposed_lb/checkpoint-0344000.pt,4e+20,0,262144,90177536000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.020502736708567e+20,20.60428036207131
L,baseline,baseline_lb,/mnt/workspace/fmoe_cuda_2b_8e_outputs/baseline_lb,352000,/mnt/workspace/fmoe_cuda_2b_8e_outputs/baseline_lb/checkpoint-0352000.pt,4.114002800352952e+20,1,262144,92274688000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.114002800352952e+20,20.614264582977913
L,proposed,proposed_lb,/mnt/workspace/fmoe_cuda_2b_8e_outputs/proposed_lb,352000,/mnt/workspace/fmoe_cuda_2b_8e_outputs/proposed_lb/checkpoint-0352000.pt,4.114002800352952e+20,1,262144,92274688000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.114002800352952e+20,20.614264582977913
