size,method,step,tokens_per_step,training_tokens,backward_multiplier,attention_projection_flops_per_token,attention_core_flops_per_token,active_ffn_flops_per_token,router_flops_per_token,lm_head_flops_per_token,forward_flops_per_token,training_flops,log10_training_flops,metric,value
M,baseline,20000,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806,downstream:arc_challenge:acc_norm,0.2363481228668942
M,baseline,20000,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806,downstream:arc_easy:acc_norm,0.41245791245791247
M,baseline,20000,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806,downstream:hellaswag:acc_norm,0.3239394542919737
M,baseline,20000,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806,downstream:lambada_openai:acc,0.3060353192315156
M,baseline,20000,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806,downstream:piqa:acc_norm,0.6517954298150164
M,baseline,20000,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806,downstream:race:acc,0.49310903931901096
M,baseline,20000,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806,downstream:siqa:acc,0.37001023541453426
M,baseline,20000,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806,downstream:winogrande:acc,0.5130228887134964
M,baseline,20000,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806,downstream_macro_accuracy,0.41333980026379424
M,baseline,20000,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806,train_loss,3.4541697549819945
M,baseline,20000,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806,test_loss,3.513502051986441
M,proposed,20000,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806,downstream:arc_challenge:acc_norm,0.23208191126279865
M,proposed,20000,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806,downstream:arc_easy:acc_norm,0.42676767676767674
M,proposed,20000,262144,5242880000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,1.287936138018816e+19,19.109894329177806,downstream:hellaswag:acc_norm,0.31666998605855406
