line_no,global_step,local_batch,loss,batch_time
1135,0,1,12.159,3.76
5820,1171,4686,5.656,0.744
10507,2342,9371,4.603,0.742
15192,3514,14056,4.296,0.778
19877,4685,18741,3.76,0.738
24562,5856,23426,3.92,0.742
29247,7027,28111,3.646,0.743
33932,8199,32796,3.664,0.776
38617,9370,37481,3.74,0.739
43302,10541,42166,3.378,0.742
47987,11712,46851,3.493,0.742
52672,12884,51536,3.389,0.781
57357,14055,56221,3.718,0.738
62042,15226,60906,3.691,0.743
66728,16397,65591,3.285,0.742
71413,17569,70276,3.198,0.779
76098,18740,74961,3.192,0.739
80783,19911,79646,3.324,0.743
85468,21082,84331,3.17,0.743
90153,22254,89016,3.459,0.778
94838,23425,93701,3.174,0.738
99523,24596,98386,3.318,0.743
104208,25767,103071,3.2,0.742
108893,26939,107756,3.182,0.779
113578,28110,112441,3.262,0.738
118263,29281,117126,3.243,0.742
122948,30452,121811,3.328,0.742
127633,31624,126496,3.272,0.778
132318,32795,131181,3.302,0.741
137005,33966,135866,3.449,0.743
141690,35137,140551,3.106,0.743
146375,36309,145236,3.142,0.779
151060,37480,149921,3.185,0.74
155745,38651,154606,2.947,0.743
160430,39822,159291,3.144,0.743
165115,40994,163976,3.148,0.778
169800,42165,168661,3.123,0.739
174485,43336,173346,3.108,0.742
179170,44507,178031,3.114,0.741
183855,45679,182716,3.084,0.778
188540,46850,187401,3.032,0.739
193225,48021,192086,3.118,0.742
197910,49192,196771,3.109,0.741
202595,50364,201456,3.062,0.778
207280,51535,206141,2.952,0.738
211965,52706,210826,3.108,0.742
216650,53877,215511,3.171,0.742
221335,55049,220196,3.284,0.778
226020,56220,224881,3.132,0.738
230705,57391,229566,3.161,0.742
235390,58562,234251,3.283,0.741
240075,59734,238936,3.002,0.779
244760,60905,243621,3.244,0.739
249445,62076,248306,3.115,0.742
254131,63247,252991,2.983,0.743
258816,64419,257676,3.417,0.778
263502,65590,262361,3.274,0.739
268187,66761,267046,3.365,0.742
272872,67932,271731,2.97,0.743
277557,69104,276416,3.066,0.777
282242,70275,281101,2.894,0.739
286927,71446,285786,3.058,0.741
291612,72617,290471,3.118,0.741
296298,73789,295156,3.146,0.779
300983,74960,299841,3.149,0.738
305668,76131,304526,2.978,0.742
310353,77302,309211,2.894,0.742
315038,78474,313896,2.988,0.778
319723,79645,318581,2.843,0.738
324408,80816,323266,2.966,0.743
329093,81987,327951,3.025,0.742
333778,83159,332636,2.875,0.778
338463,84330,337321,3.214,0.738
343148,85501,342006,2.857,0.744
347833,86672,346691,3.211,0.741
352518,87844,351376,3.075,0.776
357203,89015,356061,3.252,0.739
361888,90186,360746,3.161,0.74
366573,91357,365431,3.325,0.743
371258,92529,370116,3.208,0.778
375943,93700,374801,3.25,0.739
380628,94871,379486,3.195,0.742
385313,96042,384171,3.374,0.741
389998,97214,388856,3.071,0.78
394683,98385,393541,3.084,0.739
399368,99556,398226,3.115,0.743
404053,100727,402911,3.437,0.742
408738,101899,407596,3.178,0.779
413423,103070,412281,3.068,0.739
418108,104241,416966,2.985,0.742
422793,105412,421651,2.931,0.742
427478,106584,426336,2.953,0.779
432163,107755,431021,3.092,0.738
436848,108926,435706,2.952,0.742
441533,110097,440391,2.858,0.742
446218,111269,445076,2.953,0.778
450903,112440,449761,2.985,0.739
455588,113611,454446,3.208,0.741
460273,114782,459131,3.289,0.741
464958,115954,463816,3.056,0.777
469643,117125,468501,3.038,0.739
