batch: 137773-551094, loss: 3.177, batch_time: 0.741
batch: 137773-551095, loss: 2.864, batch_time: 0.741
batch: 137774-551096, loss: 2.869, batch_time: 0.777
batch: 137774-551097, loss: 3.026, batch_time: 0.738
batch: 137774-551098, loss: 3.191, batch_time: 0.741
batch: 137774-551099, loss: 3.096, batch_time: 0.741
batch: 137775-551100, loss: 2.889, batch_time: 0.777
batch: 137775-551101, loss: 3.153, batch_time: 0.738
batch: 137775-551102, loss: 2.747, batch_time: 0.742
batch: 137775-551103, loss: 2.889, batch_time: 0.742
batch: 137776-551104, loss: 3.231, batch_time: 0.777
batch: 137776-551105, loss: 3.070, batch_time: 0.738
batch: 137776-551106, loss: 2.891, batch_time: 0.741
batch: 137776-551107, loss: 3.019, batch_time: 0.742
batch: 137777-551108, loss: 2.971, batch_time: 0.776
batch: 137777-551109, loss: 2.999, batch_time: 0.738
batch: 137777-551110, loss: 3.095, batch_time: 0.742
batch: 137777-551111, loss: 2.971, batch_time: 0.741
batch: 137778-551112, loss: 2.969, batch_time: 0.777
batch: 137778-551113, loss: 2.944, batch_time: 0.737
batch: 137778-551114, loss: 2.988, batch_time: 0.741
batch: 137778-551115, loss: 2.794, batch_time: 0.741
batch: 137779-551116, loss: 2.997, batch_time: 0.776
batch: 137779-551117, loss: 3.222, batch_time: 0.738
batch: 137779-551118, loss: 3.024, batch_time: 0.741
batch: 137779-551119, loss: 3.018, batch_time: 0.741
batch: 137780-551120, loss: 3.000, batch_time: 0.780
batch: 137780-551121, loss: 2.950, batch_time: 0.739
batch: 137780-551122, loss: 2.894, batch_time: 0.742
batch: 137780-551123, loss: 3.057, batch_time: 0.742
batch: 137781-551124, loss: 3.052, batch_time: 0.777
batch: 137781-551125, loss: 3.062, batch_time: 0.738
batch: 137781-551126, loss: 2.957, batch_time: 0.741
batch: 137781-551127, loss: 2.911, batch_time: 0.741
batch: 137782-551128, loss: 3.041, batch_time: 0.776
batch: 137782-551129, loss: 3.105, batch_time: 0.738
batch: 137782-551130, loss: 2.925, batch_time: 0.740
batch: 137782-551131, loss: 2.971, batch_time: 0.742
batch: 137783-551132, loss: 3.135, batch_time: 0.777
batch: 137783-551133, loss: 3.359, batch_time: 0.739
batch: 137783-551134, loss: 2.991, batch_time: 0.742
batch: 137783-551135, loss: 3.172, batch_time: 0.741
batch: 137784-551136, loss: 2.910, batch_time: 0.776
batch: 137784-551137, loss: 2.945, batch_time: 0.738
batch: 137784-551138, loss: 3.074, batch_time: 0.741
batch: 137784-551139, loss: 3.194, batch_time: 0.742
batch: 137785-551140, loss: 2.959, batch_time: 0.777
batch: 137785-551141, loss: 2.840, batch_time: 0.737
batch: 137785-551142, loss: 3.134, batch_time: 0.741
batch: 137785-551143, loss: 3.102, batch_time: 0.740
batch: 137786-551144, loss: 3.226, batch_time: 0.777
batch: 137786-551145, loss: 2.814, batch_time: 0.738
batch: 137786-551146, loss: 3.060, batch_time: 0.741
batch: 137786-551147, loss: 3.098, batch_time: 0.741
batch: 137787-551148, loss: 2.779, batch_time: 0.780
batch: 137787-551149, loss: 3.117, batch_time: 0.738
batch: 137787-551150, loss: 2.845, batch_time: 0.741
batch: 137787-551151, loss: 2.988, batch_time: 0.741
batch: 137788-551152, loss: 2.855, batch_time: 0.777
batch: 137788-551153, loss: 2.801, batch_time: 0.738
batch: 137788-551154, loss: 3.124, batch_time: 0.741
batch: 137788-551155, loss: 3.280, batch_time: 0.741
batch: 137789-551156, loss: 3.056, batch_time: 0.777
batch: 137789-551157, loss: 3.031, batch_time: 0.738
batch: 137789-551158, loss: 2.801, batch_time: 0.742
batch: 137789-551159, loss: 2.841, batch_time: 0.741
batch: 137790-551160, loss: 2.769, batch_time: 0.776
batch: 137790-551161, loss: 3.026, batch_time: 0.738
batch: 137790-551162, loss: 2.976, batch_time: 0.741
batch: 137790-551163, loss: 3.221, batch_time: 0.741
batch: 137791-551164, loss: 3.090, batch_time: 0.781
batch: 137791-551165, loss: 3.452, batch_time: 0.738
batch: 137791-551166, loss: 3.093, batch_time: 0.742
batch: 137791-551167, loss: 2.791, batch_time: 0.742
batch: 137792-551168, loss: 2.904, batch_time: 0.777
batch: 137792-551169, loss: 3.056, batch_time: 0.737
batch: 137792-551170, loss: 3.102, batch_time: 0.741
batch: 137792-551171, loss: 2.766, batch_time: 0.741
batch: 137793-551172, loss: 3.002, batch_time: 0.776
batch: 137793-551173, loss: 3.174, batch_time: 0.738
batch: 137793-551174, loss: 2.982, batch_time: 0.741
batch: 137793-551175, loss: 3.066, batch_time: 0.741
batch: 137794-551176, loss: 3.105, batch_time: 0.777
batch: 137794-551177, loss: 2.855, batch_time: 0.739
batch: 137794-551178, loss: 3.228, batch_time: 0.741
batch: 137794-551179, loss: 2.794, batch_time: 0.741
batch: 137795-551180, loss: 3.233, batch_time: 0.777
batch: 137795-551181, loss: 2.995, batch_time: 0.738
batch: 137795-551182, loss: 3.045, batch_time: 0.741
batch: 137795-551183, loss: 2.828, batch_time: 0.741
batch: 137796-551184, loss: 2.971, batch_time: 0.778
batch: 137796-551185, loss: 2.958, batch_time: 0.738
batch: 137796-551186, loss: 3.015, batch_time: 0.741
batch: 137796-551187, loss: 3.133, batch_time: 0.741
batch: 137797-551188, loss: 2.816, batch_time: 0.776
batch: 137797-551189, loss: 2.733, batch_time: 0.738
batch: 137797-551190, loss: 3.439, batch_time: 0.741
batch: 137797-551191, loss: 2.979, batch_time: 0.741
batch: 137798-551192, loss: 3.022, batch_time: 0.777
batch: 137798-551193, loss: 3.263, batch_time: 0.738
