line_no,global_step,local_batch,loss,batch_time
1137,0,1,12.102,4.547
1856,180,720,9.582,0.89
2575,359,1439,7.671,0.853
3294,539,2158,7.081,0.852
4013,719,2877,6.318,0.85
4732,899,3596,6.189,0.892
5451,1078,4315,5.625,0.856
6170,1258,5034,5.589,0.854
6889,1438,5753,5.596,0.852
7609,1618,6472,5.26,0.89
8328,1797,7191,5.114,0.854
9048,1977,7910,4.923,0.853
9767,2157,8629,5.083,0.849
10486,2337,9348,4.567,0.893
11205,2516,10067,4.541,0.855
11924,2696,10786,4.328,0.853
12643,2876,11505,4.393,0.849
13362,3056,12224,4.449,0.889
14081,3235,12943,4.554,0.854
14800,3415,13662,4.029,0.852
15519,3595,14381,4.163,0.85
16238,3775,15100,4.015,0.891
16957,3954,15819,4.413,0.852
17676,4134,16538,4.32,0.856
18395,4314,17257,3.837,0.851
19114,4494,17976,3.979,0.89
19833,4673,18695,4.109,0.852
20552,4853,19414,4.024,0.851
21271,5033,20133,4.151,0.851
21990,5213,20852,4.073,0.889
22709,5392,21571,3.841,0.852
23428,5572,22290,4.135,0.855
24147,5752,23009,3.775,0.848
24866,5932,23728,3.988,0.891
25585,6111,24447,3.82,0.855
26304,6291,25166,4.006,0.853
27023,6471,25885,3.658,0.853
27742,6651,26604,3.704,0.89
28461,6830,27323,3.96,0.935
29180,7010,28042,3.763,0.854
29899,7190,28761,3.826,0.853
30618,7370,29480,3.631,0.892
31337,7549,30199,3.743,0.856
32056,7729,30918,3.602,0.853
32775,7909,31637,3.698,0.852
33494,8089,32356,3.763,0.89
34213,8268,33075,3.801,0.853
34932,8448,33794,3.593,0.852
35651,8628,34513,3.625,0.851
36370,8808,35232,3.661,0.888
37089,8987,35951,3.683,0.855
37808,9167,36670,3.69,0.853
38527,9347,37389,3.936,0.852
39246,9527,38108,3.519,0.891
39965,9706,38827,3.646,0.853
40684,9886,39546,3.562,0.852
41403,10066,40265,3.53,0.852
42122,10246,40984,3.668,0.89
42841,10425,41703,3.417,0.855
43560,10605,42422,3.799,0.853
44279,10785,43141,3.575,0.85
44998,10965,43860,3.467,0.889
45717,11144,44579,3.726,0.853
46436,11324,45298,3.651,0.852
47155,11504,46017,3.737,0.85
47874,11684,46736,3.776,0.892
48593,11863,47455,3.806,0.855
49312,12043,48174,3.618,0.853
50031,12223,48893,3.382,0.848
50750,12403,49612,3.814,0.889
51469,12582,50331,3.585,0.852
52188,12762,51050,3.499,0.853
52907,12942,51769,3.584,0.849
53626,13122,52488,3.431,0.889
54345,13301,53207,3.677,0.855
55064,13481,53926,3.645,0.852
55783,13661,54645,3.52,0.849
56502,13841,55364,3.6,0.889
57221,14020,56083,3.448,0.852
57940,14200,56802,3.528,0.854
58659,14380,57521,3.652,0.849
59378,14560,58240,3.527,0.89
60097,14739,58959,3.325,0.853
60816,14919,59678,3.568,0.853
61535,15099,60397,3.493,0.848
62254,15279,61116,3.475,0.889
62973,15458,61835,3.61,0.851
63692,15638,62554,3.667,0.854
64411,15818,63273,3.473,0.852
65130,15998,63992,3.442,0.895
65850,16177,64711,3.542,0.855
66569,16357,65430,3.515,0.852
67288,16537,66149,3.505,0.849
68007,16717,66868,3.337,0.89
68726,16896,67587,3.62,0.853
69445,17076,68306,3.389,0.854
70164,17256,69025,3.251,0.851
70883,17436,69744,3.409,0.89
71602,17615,70463,3.288,0.853
72321,17795,71182,3.318,0.852
73040,17975,71901,3.374,0.849
