batch: 17971-71887, loss: 3.464, batch_time: 0.854
batch: 17972-71888, loss: 3.369, batch_time: 0.890
batch: 17972-71889, loss: 3.538, batch_time: 0.849
batch: 17972-71890, loss: 3.427, batch_time: 0.851
batch: 17972-71891, loss: 3.470, batch_time: 0.852
batch: 17973-71892, loss: 3.379, batch_time: 0.896
batch: 17973-71893, loss: 3.389, batch_time: 0.851
batch: 17973-71894, loss: 3.557, batch_time: 0.856
batch: 17973-71895, loss: 3.451, batch_time: 0.857
batch: 17974-71896, loss: 3.388, batch_time: 0.892
batch: 17974-71897, loss: 3.605, batch_time: 0.852
batch: 17974-71898, loss: 3.678, batch_time: 0.852
batch: 17974-71899, loss: 3.470, batch_time: 0.854
batch: 17975-71900, loss: 3.293, batch_time: 0.892
batch: 17975-71901, loss: 3.374, batch_time: 0.849
batch: 17975-71902, loss: 3.513, batch_time: 0.856
batch: 17975-71903, loss: 3.563, batch_time: 0.853
batch: 17976-71904, loss: 3.710, batch_time: 0.894
batch: 17976-71905, loss: 3.346, batch_time: 0.850
batch: 17976-71906, loss: 3.498, batch_time: 0.855
batch: 17976-71907, loss: 3.725, batch_time: 0.853
batch: 17977-71908, loss: 3.570, batch_time: 0.893
batch: 17977-71909, loss: 3.355, batch_time: 0.850
batch: 17977-71910, loss: 3.141, batch_time: 0.852
batch: 17977-71911, loss: 3.352, batch_time: 0.853
batch: 17978-71912, loss: 3.246, batch_time: 0.890
batch: 17978-71913, loss: 3.200, batch_time: 0.850
batch: 17978-71914, loss: 3.360, batch_time: 0.854
batch: 17978-71915, loss: 3.484, batch_time: 0.862
batch: 17979-71916, loss: 3.351, batch_time: 0.892
batch: 17979-71917, loss: 3.454, batch_time: 0.849
batch: 17979-71918, loss: 3.360, batch_time: 0.853
batch: 17979-71919, loss: 3.659, batch_time: 0.855
batch: 17980-71920, loss: 3.376, batch_time: 0.891
batch: 17980-71921, loss: 3.487, batch_time: 0.852
batch: 17980-71922, loss: 3.218, batch_time: 0.852
batch: 17980-71923, loss: 3.531, batch_time: 0.853
batch: 17981-71924, loss: 3.461, batch_time: 0.892
batch: 17981-71925, loss: 3.372, batch_time: 0.849
batch: 17981-71926, loss: 3.267, batch_time: 0.852
batch: 17981-71927, loss: 3.426, batch_time: 0.853
batch: 17982-71928, loss: 3.335, batch_time: 0.889
batch: 17982-71929, loss: 3.361, batch_time: 0.848
batch: 17982-71930, loss: 3.514, batch_time: 0.853
batch: 17982-71931, loss: 3.471, batch_time: 0.857
batch: 17983-71932, loss: 3.472, batch_time: 0.895
batch: 17983-71933, loss: 3.514, batch_time: 0.849
batch: 17983-71934, loss: 3.421, batch_time: 0.853
batch: 17983-71935, loss: 3.640, batch_time: 0.854
batch: 17984-71936, loss: 3.512, batch_time: 0.891
batch: 17984-71937, loss: 3.527, batch_time: 0.850
batch: 17984-71938, loss: 3.345, batch_time: 0.852
batch: 17984-71939, loss: 3.481, batch_time: 0.854
batch: 17985-71940, loss: 3.486, batch_time: 0.891
batch: 17985-71941, loss: 3.490, batch_time: 0.849
batch: 17985-71942, loss: 3.454, batch_time: 0.854
batch: 17985-71943, loss: 3.773, batch_time: 0.852
batch: 17986-71944, loss: 3.132, batch_time: 0.891
batch: 17986-71945, loss: 3.435, batch_time: 0.852
batch: 17986-71946, loss: 3.427, batch_time: 0.852
batch: 17986-71947, loss: 3.461, batch_time: 0.853
batch: 17987-71948, loss: 3.201, batch_time: 0.892
batch: 17987-71949, loss: 3.397, batch_time: 0.849
batch: 17987-71950, loss: 3.287, batch_time: 0.855
batch: 17987-71951, loss: 3.445, batch_time: 0.856
batch: 17988-71952, loss: 3.247, batch_time: 0.897
batch: 17988-71953, loss: 3.436, batch_time: 0.852
batch: 17988-71954, loss: 3.297, batch_time: 0.853
batch: 17988-71955, loss: 3.232, batch_time: 0.853
batch: 17989-71956, loss: 3.370, batch_time: 0.891
batch: 17989-71957, loss: 3.527, batch_time: 0.852
batch: 17989-71958, loss: 3.617, batch_time: 0.853
batch: 17989-71959, loss: 3.685, batch_time: 0.855
batch: 17990-71960, loss: 3.517, batch_time: 0.891
batch: 17990-71961, loss: 3.357, batch_time: 0.851
batch: 17990-71962, loss: 3.556, batch_time: 0.853
batch: 17990-71963, loss: 3.419, batch_time: 0.854
batch: 17991-71964, loss: 3.542, batch_time: 0.891
batch: 17991-71965, loss: 3.555, batch_time: 0.849
batch: 17991-71966, loss: 3.326, batch_time: 0.855
batch: 17991-71967, loss: 3.340, batch_time: 0.856
batch: 17992-71968, loss: 3.406, batch_time: 0.890
batch: 17992-71969, loss: 3.395, batch_time: 0.849
batch: 17992-71970, loss: 3.488, batch_time: 0.853
batch: 17992-71971, loss: 3.461, batch_time: 0.856
batch: 17993-71972, loss: 3.201, batch_time: 0.890
batch: 17993-71973, loss: 3.497, batch_time: 0.852
batch: 17993-71974, loss: 3.477, batch_time: 0.852
batch: 17993-71975, loss: 3.369, batch_time: 0.853
batch: 17994-71976, loss: 3.630, batch_time: 0.893
batch: 17994-71977, loss: 3.171, batch_time: 0.849
batch: 17994-71978, loss: 3.476, batch_time: 0.853
batch: 17994-71979, loss: 3.522, batch_time: 0.853
batch: 17995-71980, loss: 3.621, batch_time: 0.892
batch: 17995-71981, loss: 3.355, batch_time: 0.850
batch: 17995-71982, loss: 3.289, batch_time: 0.853
batch: 17995-71983, loss: 3.493, batch_time: 0.853
batch: 17996-71984, loss: 3.438, batch_time: 0.890
batch: 17996-71985, loss: 3.846, batch_time: 0.850
batch: 17996-71986, loss: 3.021, batch_time: 0.853
