start_record,end_record,start_global_step,end_global_step,loss_mean,loss_min,loss_max,batch_time_mean,num_records
0,1810,0,452,9.118688569850912,6.808,12.164,0.8583887355052457,1811
1811,3621,453,905,6.47748315847598,5.637,7.488,0.8549403644395361,1811
3622,5432,905,1358,5.713521811154059,5.044,6.615,0.857266703478741,1811
5433,7243,1358,1811,5.180708448371066,4.576,5.869,0.8549447818884593,1811
7244,9054,1811,2263,4.789409718387631,4.177,5.454,0.8570022087244616,1811
9055,10865,2264,2716,4.526703478741027,3.97,5.117,0.8549696300386527,1811
10866,12676,2716,3169,4.352854776366648,3.859,4.96,0.8560695748205411,1811
12677,14487,3169,3622,4.229546659304252,3.77,4.888,0.8558442849254555,1811
14488,16298,3622,4074,4.123270568746549,3.661,4.694,0.8563705135284373,1811
16299,18109,4075,4527,4.042608503589177,3.536,4.735,0.8556631695196024,1811
18110,19920,4527,4980,3.9740784097183877,3.273,4.626,0.8550673660960795,1811
19921,21731,4980,5433,3.9205913859745998,3.387,4.676,0.8563252346769741,1811
21732,23542,5433,5885,3.8737134180011044,3.391,4.523,0.8558111540585311,1811
23543,25353,5886,6338,3.8328945334069573,3.333,4.466,0.8563843180563224,1811
25354,27164,6338,6791,3.7869547211485366,3.263,4.283,0.8548658199889564,1811
27165,28975,6791,7244,3.7580971838763113,3.254,4.313,0.8580425179458863,1811
28976,30786,7244,7696,3.732242407509663,3.283,4.459,0.854987852015461,1811
30787,32597,7697,8149,3.7003694091662065,3.142,4.301,0.8572401987852015,1811
32598,34408,8149,8602,3.6804936499171728,3.205,4.2,0.8547962451684152,1811
34409,36219,8602,9055,3.654144119271121,3.085,4.237,0.8563771397018222,1811
36220,38030,9055,9507,3.640416344561016,2.954,4.163,0.8556007730535615,1811
38031,39841,9508,9960,3.623070679182772,3.125,4.282,0.855117062396466,1811
39842,41652,9960,10413,3.6010784097183874,3.153,4.244,0.8562932081722805,1811
41653,43463,10413,10866,3.5882523467697403,3.09,4.092,0.8559287686361127,1811
43464,45274,10866,11318,3.5652716731087795,3.039,4.052,0.8563462175593595,1811
45275,47085,11319,11771,3.5638862506902265,3.045,4.204,0.8559072335726118,1811
47086,48896,11771,12224,3.5424445057979015,3.022,4.014,0.8563738266151297,1811
48897,50707,12224,12677,3.5310325786858088,3.079,4.343,0.8550276090557702,1811
50708,52518,12677,13129,3.521900607399227,2.794,4.184,0.8573787962451684,1811
52519,54329,13130,13582,3.5106399779127555,2.982,4.102,0.8551176145775814,1811
54330,56140,13582,14035,3.4962932081722804,2.993,3.977,0.8562777471010491,1811
56141,57951,14035,14488,3.4846322473771396,2.898,4.044,0.8564831584759801,1811
57952,59762,14488,14940,3.4785411374930977,2.996,4.234,0.8550342352291551,1811
59763,61573,14941,15393,3.4715477636664827,2.931,4.015,0.857404196576477,1811
61574,63384,15393,15846,3.4575444505797903,2.903,4.134,0.8549138597459967,1811
63385,65195,15846,16299,3.4512059635560464,2.98,3.931,0.8564919933738266,1811
65196,67006,16299,16751,3.4377879624516843,2.929,4.027,0.8558785201546107,1811
67007,68817,16752,17204,3.4314875759249035,2.92,3.957,0.8564019878520155,1811
68818,70628,17204,17657,3.4285378244064053,2.986,3.949,0.8557493097736057,1811
70629,72439,17657,18110,3.4192252898950857,2.931,4.002,0.8575080066261733,1811
72440,74250,18110,18562,3.4159232468249585,2.886,4.089,0.855058531198233,1811
74251,76061,18563,19015,3.4035124240750965,2.811,3.968,0.858053009387079,1811
76062,77872,19015,19468,3.3943832136940917,2.892,3.943,0.8550833793484263,1811
77873,79683,19468,19921,3.3966576477084485,2.866,3.922,0.8550149088901159,1811
79684,81494,19921,20373,3.389650469353948,2.89,3.909,0.8572794036443954,1811
81495,83305,20374,20826,3.380289895085588,2.891,4.005,0.8551402540033131,1811
83306,85116,20826,21279,3.375298177802319,2.804,3.917,0.8569889563776919,1811
85117,86927,21279,21732,3.3696985091109886,2.949,3.889,0.8550452788514633,1811
86928,88738,21732,22184,3.365202650469354,2.866,4.024,0.8565681943677526,1811
88739,90549,22185,22637,3.362586416344561,2.858,4.0,0.8557586968525677,1811
90550,92360,22637,23090,3.3566189950303698,2.781,4.007,0.8562948647156267,1811
92361,94171,23090,23543,3.352406405300939,2.87,3.909,0.8550491441192711,1811
94172,95982,23543,23995,3.343919381557151,2.819,4.053,0.8557570403092214,1811
95983,97793,23996,24448,3.3429530646051906,2.717,3.928,0.8564119271120928,1811
97794,99604,24448,24901,3.3413572611816678,2.872,3.855,0.8557774710104914,1811
99605,101415,24901,25354,3.3323191606847047,2.853,3.981,0.8562893429044727,1811
101416,103226,25354,25806,3.3311512976256212,2.896,3.85,0.8549398122584208,1811
103227,105037,25807,26259,3.3271811154058533,2.827,3.922,0.8571662065157372,1811
105038,106848,26259,26712,3.324581998895638,2.905,3.842,0.8548078409718387,1811
106849,108659,26712,27165,3.3231595803423524,2.795,3.886,0.8562766427388183,1811
108660,110470,27165,27617,3.3182998343456656,2.689,4.027,0.85565985643291,1811
110471,112281,27618,28070,3.3061352843732745,2.828,3.77,0.8563412479293208,1811
112282,114092,28070,28523,3.3063859745996687,2.793,3.824,0.8566990612921038,1811
114093,115903,28523,28976,3.3041750414135835,2.875,3.909,0.8549928216454997,1811
115904,117714,28976,29428,3.3001352843732743,2.755,3.777,0.8564754279403645,1811
117715,119525,29429,29881,3.2960618442849254,2.84,3.807,0.8565488680287134,1811
119526,121336,29881,30334,3.290934842628382,2.808,3.916,0.8562446162341247,1811
121337,123147,30334,30787,3.2895124240750966,2.688,3.872,0.8555063500828272,1811
123148,124958,30787,31239,3.2858807288790723,2.825,3.817,0.8564649364991717,1811
124959,126769,31240,31692,3.2873169519602428,2.65,3.794,0.8546824958586416,1811
126770,128580,31692,32145,3.276177250138045,2.776,3.902,0.8568470458310325,1811
128581,130391,32145,32598,3.280045278851463,2.837,3.869,0.8546786305908338,1811
130392,132202,32598,33050,3.280316951960243,2.751,3.776,0.8561419105466593,1811
132203,134013,33051,33503,3.273289895085588,2.751,3.757,0.8556709000552181,1811
134014,135824,33503,33956,3.2661789066813913,2.713,3.868,0.8547658752070679,1811
135825,137635,33956,34409,3.2729215902816122,2.766,3.877,0.8570452788514633,1811
137636,139446,34409,34861,3.257159580342352,2.784,3.792,0.855228602981778,1811
139447,141257,34862,35314,3.268996134732192,2.786,3.877,0.8563506350082827,1811
141258,143068,35314,35767,3.257002760905577,2.723,3.798,0.8555786858089454,1811
143069,144879,35767,36220,3.249515737161789,2.681,3.814,0.8562396466040861,1811
144880,146690,36220,36672,3.254372722252899,2.802,3.714,0.8550143567090005,1811
146691,148501,36673,37125,3.261225842076201,2.708,3.837,0.8567796797349531,1811
148502,150312,37125,37578,3.247655438983987,2.693,3.875,0.8547885146327996,1811
150313,152123,37578,38031,3.2445858641634455,2.707,3.793,0.8572794036443954,1811
152124,153934,38031,38483,3.247876311430149,2.756,3.763,0.8551286581998896,1811
153935,155745,38484,38936,3.2466609607951407,2.694,3.923,0.8549900607399227,1811
155746,157556,38936,39389,3.241261181667587,2.813,3.762,0.8577586968525677,1811
157557,159367,39389,39842,3.233509110988404,2.763,3.789,0.8550209828823854,1811
159368,161178,39842,40294,3.2339420209828824,2.772,3.776,0.856398674765323,1811
161179,162989,40295,40747,3.237774157923799,2.673,3.857,0.8568470458310325,1811
