line_no,global_step,local_batch,loss,batch_time
1135,0,1,12.128,3.924
3679,636,2545,6.277,0.843
6223,1272,5089,6.026,0.843
8769,1908,7633,4.772,0.843
11313,2544,10177,4.357,0.842
13857,3180,12721,4.356,0.843
16401,3816,15265,4.155,0.843
18945,4452,17809,3.997,0.844
21489,5088,20353,4.056,0.843
24033,5724,22897,4.083,0.843
26577,6360,25441,3.725,0.843
29121,6996,27985,3.946,0.843
31665,7632,30529,4.093,0.843
34209,8268,33073,3.783,0.842
36753,8904,35617,3.595,0.842
39297,9540,38161,3.59,0.843
41841,10176,40705,3.634,0.843
44385,10812,43249,3.764,0.843
46929,11448,45793,3.602,0.843
49473,12084,48337,3.622,0.842
52017,12720,50881,3.664,0.842
54561,13356,53425,3.535,0.843
57105,13992,55969,3.377,0.843
59649,14628,58513,3.192,0.843
62193,15264,61057,3.626,0.842
64737,15900,63601,3.519,0.842
67282,16536,66145,3.371,0.843
69826,17172,68689,3.225,0.843
72370,17808,71233,3.269,0.843
74914,18444,73777,3.47,0.843
77458,19080,76321,3.306,0.843
80002,19716,78865,3.52,0.843
82546,20352,81409,3.285,0.843
85090,20988,83953,3.425,0.843
87634,21624,86497,3.493,0.842
90178,22260,89041,3.231,0.842
92722,22896,91585,3.582,0.842
95266,23532,94129,3.21,0.842
97810,24168,96673,3.271,0.843
100354,24804,99217,3.382,0.842
102898,25440,101761,3.364,0.844
105442,26076,104305,3.443,0.843
107986,26712,106849,3.407,0.843
110530,27348,109393,3.232,0.842
113074,27984,111937,3.284,0.843
115618,28620,114481,3.532,0.843
118162,29256,117025,3.296,0.843
120706,29892,119569,3.164,0.842
123250,30528,122113,3.661,0.843
125794,31164,124657,3.233,0.843
128338,31800,127201,3.359,0.843
130882,32436,129745,3.481,0.842
133426,33072,132289,3.432,0.843
135972,33708,134833,3.01,0.842
138516,34344,137377,3.333,0.843
141060,34980,139921,3.481,0.843
143604,35616,142465,3.092,0.843
146148,36252,145009,3.167,0.846
148692,36888,147553,3.164,0.842
151236,37524,150097,3.315,0.842
153780,38160,152641,3.336,0.843
156324,38796,155185,3.325,0.843
158868,39432,157729,3.26,0.843
161412,40068,160273,3.103,0.843
163956,40704,162817,3.485,0.842
166500,41340,165361,3.449,0.842
169044,41976,167905,3.23,0.843
171588,42612,170449,2.809,0.843
174132,43248,172993,3.144,0.842
176676,43884,175537,3.366,0.843
179220,44520,178081,3.271,0.843
181764,45156,180625,3.329,0.842
184308,45792,183169,3.163,0.843
186852,46428,185713,3.155,0.843
189396,47064,188257,3.108,0.844
191940,47700,190801,3.417,0.843
194484,48336,193345,3.579,0.844
197028,48972,195889,3.265,0.842
199572,49608,198433,3.258,0.843
202116,50244,200977,3.003,0.842
204660,50880,203521,3.036,0.843
207204,51516,206065,3.132,0.843
209748,52152,208609,3.258,0.842
212292,52788,211153,2.909,0.842
214836,53424,213697,3.34,0.842
217380,54060,216241,3.26,0.843
219924,54696,218785,3.175,0.844
222468,55332,221329,3.417,0.843
225012,55968,223873,3.221,0.843
227556,56604,226417,3.27,0.843
230100,57240,228961,3.279,0.843
232644,57876,231505,3.214,0.843
235188,58512,234049,2.995,0.843
237732,59148,236593,3.163,0.843
240276,59784,239137,3.191,0.844
242820,60420,241681,3.018,0.843
245364,61056,244225,3.208,0.844
247908,61692,246769,3.095,0.842
250452,62328,249313,3.189,0.843
252997,62964,251857,2.836,0.843
255541,63600,254401,3.415,0.843
