batch: 15117-60468, loss: 3.361, batch_time: 0.884
batch: 15117-60469, loss: 3.567, batch_time: 0.843
batch: 15117-60470, loss: 3.449, batch_time: 0.847
batch: 15117-60471, loss: 3.633, batch_time: 0.846
batch: 15118-60472, loss: 3.367, batch_time: 0.884
batch: 15118-60473, loss: 3.451, batch_time: 0.843
batch: 15118-60474, loss: 3.557, batch_time: 0.847
batch: 15118-60475, loss: 3.502, batch_time: 0.846
batch: 15119-60476, loss: 3.375, batch_time: 0.884
batch: 15119-60477, loss: 3.668, batch_time: 0.843
batch: 15119-60478, loss: 3.498, batch_time: 0.846
batch: 15119-60479, loss: 3.545, batch_time: 0.847
batch: 15120-60480, loss: 3.490, batch_time: 0.885
batch: 15120-60481, loss: 3.680, batch_time: 0.843
batch: 15120-60482, loss: 3.423, batch_time: 0.847
batch: 15120-60483, loss: 3.621, batch_time: 0.847
batch: 15121-60484, loss: 3.283, batch_time: 0.883
batch: 15121-60485, loss: 3.352, batch_time: 0.843
batch: 15121-60486, loss: 3.704, batch_time: 0.846
batch: 15121-60487, loss: 3.353, batch_time: 0.847
batch: 15122-60488, loss: 3.248, batch_time: 0.884
batch: 15122-60489, loss: 3.545, batch_time: 0.843
batch: 15122-60490, loss: 3.569, batch_time: 0.848
batch: 15122-60491, loss: 3.093, batch_time: 0.847
batch: 15123-60492, loss: 3.683, batch_time: 0.884
batch: 15123-60493, loss: 3.534, batch_time: 0.843
batch: 15123-60494, loss: 3.487, batch_time: 0.847
batch: 15123-60495, loss: 3.289, batch_time: 0.847
batch: 15124-60496, loss: 3.291, batch_time: 0.882
batch: 15124-60497, loss: 3.252, batch_time: 0.843
batch: 15124-60498, loss: 3.506, batch_time: 0.847
batch: 15124-60499, loss: 3.561, batch_time: 0.846
batch: 15125-60500, loss: 3.559, batch_time: 0.883
batch: 15125-60501, loss: 3.552, batch_time: 0.843
batch: 15125-60502, loss: 3.536, batch_time: 0.847
batch: 15125-60503, loss: 3.403, batch_time: 0.847
batch: 15126-60504, loss: 3.365, batch_time: 0.883
batch: 15126-60505, loss: 3.376, batch_time: 0.842
batch: 15126-60506, loss: 3.450, batch_time: 0.847
batch: 15126-60507, loss: 3.333, batch_time: 0.846
batch: 15127-60508, loss: 3.474, batch_time: 0.887
batch: 15127-60509, loss: 3.506, batch_time: 0.844
batch: 15127-60510, loss: 3.323, batch_time: 0.847
batch: 15127-60511, loss: 3.735, batch_time: 0.847
batch: 15128-60512, loss: 3.105, batch_time: 0.883
batch: 15128-60513, loss: 3.543, batch_time: 0.842
batch: 15128-60514, loss: 3.654, batch_time: 0.847
batch: 15128-60515, loss: 3.339, batch_time: 0.846
batch: 15129-60516, loss: 3.596, batch_time: 0.883
batch: 15129-60517, loss: 3.392, batch_time: 0.842
batch: 15129-60518, loss: 3.684, batch_time: 0.847
batch: 15129-60519, loss: 3.658, batch_time: 0.846
batch: 15130-60520, loss: 3.498, batch_time: 0.883
batch: 15130-60521, loss: 3.358, batch_time: 0.843
batch: 15130-60522, loss: 3.504, batch_time: 0.847
batch: 15130-60523, loss: 3.371, batch_time: 0.846
batch: 15131-60524, loss: 3.663, batch_time: 0.882
batch: 15131-60525, loss: 3.648, batch_time: 0.842
batch: 15131-60526, loss: 3.682, batch_time: 0.847
batch: 15131-60527, loss: 3.423, batch_time: 0.846
batch: 15132-60528, loss: 3.583, batch_time: 0.884
batch: 15132-60529, loss: 3.060, batch_time: 0.842
batch: 15132-60530, loss: 3.362, batch_time: 0.847
batch: 15132-60531, loss: 3.509, batch_time: 0.847
batch: 15133-60532, loss: 3.501, batch_time: 0.887
batch: 15133-60533, loss: 3.569, batch_time: 0.843
batch: 15133-60534, loss: 3.663, batch_time: 0.847
batch: 15133-60535, loss: 3.355, batch_time: 0.847
batch: 15134-60536, loss: 3.431, batch_time: 0.883
batch: 15134-60537, loss: 3.485, batch_time: 0.842
batch: 15134-60538, loss: 3.585, batch_time: 0.847
batch: 15134-60539, loss: 3.363, batch_time: 0.847
batch: 15135-60540, loss: 3.295, batch_time: 0.883
batch: 15135-60541, loss: 3.293, batch_time: 0.842
batch: 15135-60542, loss: 3.317, batch_time: 0.847
batch: 15135-60543, loss: 3.571, batch_time: 0.847
batch: 15136-60544, loss: 3.473, batch_time: 0.883
batch: 15136-60545, loss: 3.298, batch_time: 0.842
batch: 15136-60546, loss: 3.467, batch_time: 0.847
batch: 15136-60547, loss: 3.610, batch_time: 0.847
batch: 15137-60548, loss: 3.582, batch_time: 0.884
batch: 15137-60549, loss: 3.675, batch_time: 0.842
batch: 15137-60550, loss: 3.328, batch_time: 0.847
batch: 15137-60551, loss: 3.398, batch_time: 0.846
batch: 15138-60552, loss: 3.387, batch_time: 0.883
batch: 15138-60553, loss: 3.206, batch_time: 0.842
batch: 15138-60554, loss: 3.333, batch_time: 0.847
batch: 15138-60555, loss: 3.469, batch_time: 0.846
batch: 15139-60556, loss: 3.577, batch_time: 0.884
batch: 15139-60557, loss: 3.336, batch_time: 0.842
batch: 15139-60558, loss: 3.399, batch_time: 0.846
batch: 15139-60559, loss: 3.112, batch_time: 0.846
batch: 15140-60560, loss: 3.459, batch_time: 0.883
batch: 15140-60561, loss: 3.583, batch_time: 0.842
batch: 15140-60562, loss: 3.634, batch_time: 0.846
batch: 15140-60563, loss: 3.573, batch_time: 0.846
batch: 15141-60564, loss: 3.489, batch_time: 0.884
batch: 15141-60565, loss: 3.487, batch_time: 0.843
batch: 15141-60566, loss: 3.530, batch_time: 0.847
batch: 15141-60567, loss: 3.526, batch_time: 0.847
