start_record,end_record,start_global_step,end_global_step,loss_mean,loss_min,loss_max,batch_time_mean,num_records
0,4133,0,1033,7.5526156265118525,5.429,12.183,0.8586833575229802,4134
4134,8267,1033,2067,5.214962264150944,4.174,6.569,0.8556683599419448,4134
8268,12401,2067,3100,4.473908563134978,3.892,5.296,0.8553802612481858,4134
12402,16535,3100,4134,4.153849782293179,3.522,4.867,0.8557411707789067,4134
16536,20669,4134,5167,3.9665510401548136,3.245,4.707,0.8561877116594098,4134
20670,24803,5167,6201,3.8465314465408804,3.365,4.654,0.8557312530237058,4134
24804,28937,6201,7234,3.7550500725689404,3.235,4.444,0.8553258345428156,4134
28938,33071,7234,8268,3.68873923560716,3.109,4.429,0.8552861635220126,4134
33072,37205,8268,9301,3.6358118045476537,2.931,4.208,0.8557539912917271,4134
37206,41339,9301,10335,3.591646831156265,3.1,4.254,0.855003144654088,4134
41340,45473,10335,11368,3.5518420416061924,3.021,4.15,0.8557203676826318,4134
45474,49607,11368,12402,3.5215556361877116,2.99,4.321,0.8553834059022738,4134
49608,53741,12402,13435,3.493639574262216,2.775,4.153,0.8556424770198355,4134
53742,57875,13435,14469,3.465580551523948,2.884,4.067,0.8554675858732462,4134
57876,62009,14469,15502,3.446052007740687,2.906,4.224,0.8555203193033382,4134
62010,66143,15502,16536,3.420908563134978,2.879,4.06,0.8553132559264635,4134
66144,70277,16536,17569,3.4029433962264153,2.898,3.987,0.8554646831156265,4134
70278,74411,17569,18603,3.3895043541364296,2.858,4.062,0.8550408805031446,4134
74412,78545,18603,19636,3.369486937590711,2.787,3.947,0.8554129172714078,4134
78546,82679,19636,20670,3.3600662796323175,2.84,3.978,0.8553945331398162,4134
82680,86813,20670,21703,3.3447029511369135,2.784,3.89,0.8555208030962748,4134
86814,90947,21703,22737,3.3332851959361394,2.822,3.995,0.8558014029995162,4134
90948,95081,22737,23770,3.3231255442670538,2.753,3.986,0.8555268505079826,4134
95082,99215,23770,24804,3.3125699080793423,2.698,4.029,0.8555979680696661,4134
