line_no,global_step,local_batch,loss,batch_time
1135,0,1,12.178,4.551
2534,350,1400,7.588,0.888
3933,699,2799,6.422,0.846
5332,1049,4198,5.716,0.846
6731,1399,5597,5.418,0.843
8131,1749,6996,4.905,0.886
9531,2098,8395,4.645,0.846
10930,2448,9794,4.47,0.846
12329,2798,11193,4.034,0.843
13728,3148,12592,4.236,0.885
15127,3497,13991,3.958,0.847
16526,3847,15390,4.259,0.846
17925,4197,16789,4.049,0.843
19324,4547,18188,3.889,0.883
20723,4896,19587,3.975,0.847
22122,5246,20986,3.737,0.845
23521,5596,22385,3.905,0.843
24920,5946,23784,3.814,0.882
26319,6295,25183,3.72,0.847
27718,6645,26582,3.698,0.845
29117,6995,27981,4.065,0.843
30516,7345,29380,3.831,0.883
31915,7694,30779,3.817,0.846
33314,8044,32178,3.848,0.845
34713,8394,33577,3.676,0.842
36112,8744,34976,3.669,0.882
37511,9093,36375,3.682,0.846
38910,9443,37774,3.471,0.846
40309,9793,39173,3.688,0.842
41708,10143,40572,3.315,0.883
43107,10492,41971,3.477,0.846
44506,10842,43370,3.682,0.846
45905,11192,44769,3.653,0.842
47304,11542,46168,3.359,0.883
48703,11891,47567,3.714,0.846
50102,12241,48966,3.417,0.846
51501,12591,50365,3.516,0.843
52900,12941,51764,3.412,0.883
54299,13290,53163,3.528,0.847
55698,13640,54562,3.448,0.846
57097,13990,55961,3.273,0.842
58496,14340,57360,3.473,0.883
59895,14689,58759,3.488,0.846
61294,15039,60158,3.378,0.846
62693,15389,61557,3.499,0.843
64092,15739,62956,3.565,0.883
65492,16088,64355,3.367,0.846
66891,16438,65754,3.616,0.846
68290,16788,67153,3.443,0.843
69689,17138,68552,3.374,0.884
71088,17487,69951,3.502,0.847
72487,17837,71350,3.527,0.846
73886,18187,72749,3.396,0.842
75285,18537,74148,3.622,0.883
76684,18886,75547,3.456,0.847
78083,19236,76946,3.358,0.846
79482,19586,78345,3.281,0.842
80881,19936,79744,3.348,0.882
82280,20285,81143,3.322,0.847
83679,20635,82542,3.2,0.846
85078,20985,83941,3.239,0.843
86477,21335,85340,3.458,0.883
87876,21684,86739,3.326,0.846
89275,22034,88138,3.177,0.846
90674,22384,89537,3.562,0.842
92073,22734,90936,3.473,0.882
93472,23083,92335,3.309,0.845
94871,23433,93734,3.253,0.845
96270,23783,95133,3.184,0.843
97669,24133,96532,3.548,0.883
99068,24482,97931,3.261,0.847
100467,24832,99330,3.329,0.845
101866,25182,100729,3.346,0.842
103265,25532,102128,3.297,0.885
104664,25881,103527,3.206,0.846
106063,26231,104926,3.245,0.845
107462,26581,106325,3.313,0.843
108861,26931,107724,3.137,0.882
110260,27280,109123,3.306,0.845
111659,27630,110522,3.265,0.846
113058,27980,111921,3.005,0.843
114457,28330,113320,3.159,0.883
115856,28679,114719,3.339,0.846
117255,29029,116118,3.19,0.846
118654,29379,117517,3.336,0.842
120053,29729,118916,3.054,0.884
121452,30078,120315,3.209,0.846
122851,30428,121714,3.404,0.846
124250,30778,123113,2.86,0.842
125649,31128,124512,3.2,0.883
127048,31477,125911,3.256,0.846
128447,31827,127310,3.331,0.846
129846,32177,128709,3.084,0.843
131245,32527,130108,3.393,0.886
132644,32876,131507,3.098,0.846
134044,33226,132906,3.274,0.846
135444,33576,134305,3.259,0.843
136843,33926,135704,3.344,0.883
138242,34275,137103,3.298,0.846
139641,34625,138502,3.24,0.846
141040,34975,139901,3.291,0.842
