batch: 103268-413072, loss: 3.035, batch_time: 0.882
batch: 103268-413073, loss: 3.235, batch_time: 0.843
batch: 103268-413074, loss: 2.967, batch_time: 0.846
batch: 103268-413075, loss: 3.093, batch_time: 0.846
batch: 103269-413076, loss: 2.988, batch_time: 0.884
batch: 103269-413077, loss: 3.139, batch_time: 0.842
batch: 103269-413078, loss: 3.307, batch_time: 0.846
batch: 103269-413079, loss: 3.089, batch_time: 0.846
batch: 103270-413080, loss: 3.060, batch_time: 0.883
batch: 103270-413081, loss: 2.998, batch_time: 0.843
batch: 103270-413082, loss: 2.992, batch_time: 0.847
batch: 103270-413083, loss: 3.222, batch_time: 0.846
batch: 103271-413084, loss: 2.838, batch_time: 0.884
batch: 103271-413085, loss: 3.008, batch_time: 0.843
batch: 103271-413086, loss: 3.215, batch_time: 0.846
batch: 103271-413087, loss: 3.281, batch_time: 0.846
batch: 103272-413088, loss: 3.142, batch_time: 0.883
batch: 103272-413089, loss: 3.109, batch_time: 0.843
batch: 103272-413090, loss: 3.229, batch_time: 0.846
batch: 103272-413091, loss: 3.204, batch_time: 0.847
batch: 103273-413092, loss: 2.953, batch_time: 0.883
batch: 103273-413093, loss: 2.859, batch_time: 0.842
batch: 103273-413094, loss: 3.001, batch_time: 0.846
batch: 103273-413095, loss: 3.297, batch_time: 0.846
batch: 103274-413096, loss: 3.200, batch_time: 0.883
batch: 103274-413097, loss: 2.849, batch_time: 0.848
batch: 103274-413098, loss: 3.178, batch_time: 0.845
batch: 103274-413099, loss: 2.967, batch_time: 0.846
batch: 103275-413100, loss: 2.919, batch_time: 0.884
batch: 103275-413101, loss: 3.108, batch_time: 0.843
batch: 103275-413102, loss: 3.117, batch_time: 0.846
batch: 103275-413103, loss: 2.961, batch_time: 0.846
batch: 103276-413104, loss: 3.212, batch_time: 0.882
batch: 103276-413105, loss: 2.912, batch_time: 0.843
batch: 103276-413106, loss: 3.070, batch_time: 0.846
batch: 103276-413107, loss: 3.203, batch_time: 0.846
batch: 103277-413108, loss: 3.141, batch_time: 0.883
batch: 103277-413109, loss: 3.010, batch_time: 0.843
batch: 103277-413110, loss: 3.122, batch_time: 0.846
batch: 103277-413111, loss: 3.000, batch_time: 0.846
batch: 103278-413112, loss: 2.968, batch_time: 0.882
batch: 103278-413113, loss: 3.215, batch_time: 0.847
batch: 103278-413114, loss: 3.098, batch_time: 0.845
batch: 103278-413115, loss: 3.073, batch_time: 0.845
batch: 103279-413116, loss: 3.117, batch_time: 0.883
batch: 103279-413117, loss: 3.152, batch_time: 0.842
batch: 103279-413118, loss: 3.176, batch_time: 0.845
batch: 103279-413119, loss: 3.028, batch_time: 0.847
batch: 103280-413120, loss: 3.276, batch_time: 0.885
batch: 103280-413121, loss: 3.149, batch_time: 0.843
batch: 103280-413122, loss: 3.011, batch_time: 0.846
batch: 103280-413123, loss: 2.961, batch_time: 0.847
batch: 103281-413124, loss: 3.285, batch_time: 0.884
batch: 103281-413125, loss: 3.133, batch_time: 0.842
batch: 103281-413126, loss: 3.005, batch_time: 0.846
batch: 103281-413127, loss: 2.989, batch_time: 0.848
batch: 103282-413128, loss: 3.122, batch_time: 0.882
batch: 103282-413129, loss: 2.916, batch_time: 0.842
batch: 103282-413130, loss: 2.886, batch_time: 0.845
batch: 103282-413131, loss: 3.285, batch_time: 0.846
batch: 103283-413132, loss: 3.358, batch_time: 0.884
batch: 103283-413133, loss: 3.087, batch_time: 0.843
batch: 103283-413134, loss: 3.273, batch_time: 0.847
batch: 103283-413135, loss: 3.020, batch_time: 0.846
batch: 103284-413136, loss: 3.016, batch_time: 0.886
batch: 103284-413137, loss: 3.083, batch_time: 0.843
batch: 103284-413138, loss: 3.247, batch_time: 0.846
batch: 103284-413139, loss: 3.252, batch_time: 0.846
batch: 103285-413140, loss: 3.277, batch_time: 0.882
batch: 103285-413141, loss: 3.219, batch_time: 0.842
batch: 103285-413142, loss: 3.090, batch_time: 0.847
batch: 103285-413143, loss: 3.172, batch_time: 0.846
batch: 103286-413144, loss: 3.011, batch_time: 0.883
batch: 103286-413145, loss: 2.982, batch_time: 0.842
batch: 103286-413146, loss: 3.376, batch_time: 0.845
batch: 103286-413147, loss: 2.970, batch_time: 0.845
batch: 103287-413148, loss: 3.028, batch_time: 0.884
batch: 103287-413149, loss: 3.128, batch_time: 0.842
batch: 103287-413150, loss: 2.851, batch_time: 0.845
batch: 103287-413151, loss: 3.082, batch_time: 0.846
batch: 103288-413152, loss: 3.039, batch_time: 0.884
batch: 103288-413153, loss: 2.910, batch_time: 0.844
batch: 103288-413154, loss: 2.907, batch_time: 0.846
batch: 103288-413155, loss: 2.936, batch_time: 0.846
batch: 103289-413156, loss: 2.828, batch_time: 0.883
batch: 103289-413157, loss: 2.977, batch_time: 0.842
batch: 103289-413158, loss: 3.110, batch_time: 0.845
batch: 103289-413159, loss: 2.767, batch_time: 0.846
batch: 103290-413160, loss: 3.176, batch_time: 0.883
batch: 103290-413161, loss: 2.980, batch_time: 0.842
batch: 103290-413162, loss: 3.098, batch_time: 0.845
batch: 103290-413163, loss: 3.242, batch_time: 0.845
batch: 103291-413164, loss: 2.916, batch_time: 0.883
batch: 103291-413165, loss: 3.014, batch_time: 0.842
batch: 103291-413166, loss: 3.025, batch_time: 0.846
batch: 103291-413167, loss: 3.302, batch_time: 0.847
batch: 103292-413168, loss: 2.881, batch_time: 0.882
batch: 103292-413169, loss: 2.956, batch_time: 0.843
batch: 103292-413170, loss: 3.236, batch_time: 0.846
batch: 103292-413171, loss: 3.058, batch_time: 0.846
