layer,samples,top_rank,pc1_energy_fraction,top1pct_energy_fraction
0,512,11,0.08445774018764496,0.23215940594673157
1,512,11,0.09079398959875107,0.3227744996547699
2,512,11,0.4205493927001953,0.5919713973999023
3,512,11,0.0766315907239914,0.3656788468360901
4,512,11,0.04117998853325844,0.232930526137352
5,512,11,0.03901856392621994,0.22354663908481598
6,512,11,0.08786920458078384,0.33412450551986694
7,512,11,0.0529254786670208,0.2799069583415985
8,512,11,0.12378986924886703,0.31471747159957886
9,512,11,0.08515799045562744,0.2937401831150055
10,512,11,0.06428107619285583,0.2908921539783478
11,512,11,0.07293495535850525,0.2517419755458832
12,512,11,0.11311130970716476,0.3212988078594208
13,512,11,0.11864250153303146,0.33339178562164307
14,512,11,0.15911662578582764,0.37419116497039795
15,512,11,0.06888095289468765,0.31125885248184204
16,512,11,0.11579664796590805,0.3632243573665619
17,512,11,0.06995221972465515,0.32214412093162537
18,512,11,0.0967615395784378,0.3482404351234436
19,512,11,0.04640576243400574,0.282482773065567
20,512,11,0.06392457336187363,0.3534041941165924
21,512,11,0.05424598976969719,0.30965691804885864
22,512,11,0.0562729649245739,0.3102305233478546
23,512,11,0.06249140202999115,0.28645217418670654
24,512,11,0.07389500737190247,0.3481907248497009
25,512,11,0.08904334902763367,0.3934996724128723
26,512,11,0.16893914341926575,0.3949607014656067
27,512,11,0.07540386915206909,0.3038475811481476
