a_band,h_band,energy_fraction,a_band_adjacent_cosine,a_band_sequence_gap,a_band_sequence_accuracy
0_1,0_1,0.29447917985572214,0.6249843330255577,0.5283225830644369,0.6123046875
0_1,1_2,0.05037533505298974,0.6249843330255577,0.5283225830644369,0.6123046875
0_1,2_5,0.06736663873832094,0.6249843330255577,0.5283225830644369,0.6123046875
0_1,5_10,0.06824646585092235,0.6249843330255577,0.5283225830644369,0.6123046875
0_1,10_20,0.10556679802602084,0.6249843330255577,0.5283225830644369,0.6123046875
0_1,20_50,0.19345211758576325,0.6249843330255577,0.5283225830644369,0.6123046875
0_1,50_100,0.22051347995731502,0.6249843330255577,0.5283225830644369,0.6123046875
1_2,0_1,0.0366508480547156,0.5603074439402137,0.5462510903557164,0.40611049107142855
1_2,1_2,0.08240758653571156,0.5603074439402137,0.5462510903557164,0.40611049107142855
1_2,2_5,0.09690543903440893,0.5603074439402137,0.5462510903557164,0.40611049107142855
1_2,5_10,0.09349417373544856,0.5603074439402137,0.5462510903557164,0.40611049107142855
1_2,10_20,0.1521517687681124,0.5603074439402137,0.5462510903557164,0.40611049107142855
1_2,20_50,0.2609150340221711,0.5603074439402137,0.5462510903557164,0.40611049107142855
1_2,50_100,0.27747516209138123,0.5603074439402137,0.5462510903557164,0.40611049107142855
2_5,0_1,0.014234156283005383,0.5127284564077854,0.5064924326267958,0.4408482142857143
2_5,1_2,0.021847191866859097,0.5127284564077854,0.5064924326267958,0.4408482142857143
2_5,2_5,0.10337236175085618,0.5127284564077854,0.5064924326267958,0.4408482142857143
2_5,5_10,0.08642376938124517,0.5127284564077854,0.5064924326267958,0.4408482142857143
2_5,10_20,0.15411451236804039,0.5127284564077854,0.5064924326267958,0.4408482142857143
2_5,20_50,0.30004004046264793,0.5127284564077854,0.5064924326267958,0.4408482142857143
2_5,50_100,0.31996797627842793,0.5127284564077854,0.5064924326267958,0.4408482142857143
5_10,0_1,0.008786162890570201,0.4534224702843598,0.44573169241526295,0.32386997767857145
5_10,1_2,0.00910064633788404,0.4534224702843598,0.44573169241526295,0.32386997767857145
5_10,2_5,0.03487880761800556,0.4534224702843598,0.44573169241526295,0.32386997767857145
5_10,5_10,0.09967084721088547,0.4534224702843598,0.44573169241526295,0.32386997767857145
5_10,10_20,0.13676589046569762,0.4534224702843598,0.44573169241526295,0.32386997767857145
5_10,20_50,0.33052319345624576,0.4534224702843598,0.44573169241526295,0.32386997767857145
5_10,50_100,0.38027447096360356,0.4534224702843598,0.44573169241526295,0.32386997767857145
10_20,0_1,0.006771631490578212,0.37771817296743393,0.370466270205465,0.22928292410714285
10_20,1_2,0.00650459486343581,0.37771817296743393,0.370466270205465,0.22928292410714285
10_20,2_5,0.021651300305566196,0.37771817296743393,0.370466270205465,0.22928292410714285
10_20,5_10,0.04364607042567144,0.37771817296743393,0.370466270205465,0.22928292410714285
10_20,10_20,0.1391664356136396,0.37771817296743393,0.370466270205465,0.22928292410714285
10_20,20_50,0.3390948059518086,0.37771817296743393,0.370466270205465,0.22928292410714285
10_20,50_100,0.44316519606991706,0.37771817296743393,0.370466270205465,0.22928292410714285
20_50,0_1,0.005950857230264653,0.21319921713854587,0.2059731886516342,0.10546875
20_50,1_2,0.005666315746015843,0.21319921713854587,0.2059731886516342,0.10546875
20_50,2_5,0.018398158427542933,0.21319921713854587,0.2059731886516342,0.10546875
20_50,5_10,0.03373077667259048,0.21319921713854587,0.2059731886516342,0.10546875
20_50,10_20,0.08505609044838303,0.21319921713854587,0.2059731886516342,0.10546875
20_50,20_50,0.34226748060427786,0.21319921713854587,0.2059731886516342,0.10546875
20_50,50_100,0.5089303370059842,0.21319921713854587,0.2059731886516342,0.10546875
50_100,0_1,0.007138314490534199,-0.11487727662149284,-0.12135477807896677,0.024135044642857144
50_100,1_2,0.0069999611400952235,-0.11487727662149284,-0.12135477807896677,0.024135044642857144
50_100,2_5,0.02250427853751615,-0.11487727662149284,-0.12135477807896677,0.024135044642857144
50_100,5_10,0.03886438210340655,-0.11487727662149284,-0.12135477807896677,0.024135044642857144
50_100,10_20,0.08266267751336077,-0.11487727662149284,-0.12135477807896677,0.024135044642857144
50_100,20_50,0.2853468569227945,-0.11487727662149284,-0.12135477807896677,0.024135044642857144
50_100,50_100,0.5564835366096398,-0.11487727662149284,-0.12135477807896677,0.024135044642857144
