a_band,h_band,energy_fraction,a_band_adjacent_cosine,a_band_sequence_gap,a_band_sequence_accuracy
0_1,0_1,0.2694181086357029,0.6448777693289297,0.5453406270179484,0.6271701388888888
0_1,1_2,0.05212826470879065,0.6448777693289297,0.5453406270179484,0.6271701388888888
0_1,2_5,0.06978444807420348,0.6448777693289297,0.5453406270179484,0.6271701388888888
0_1,5_10,0.07071720288823863,0.6448777693289297,0.5453406270179484,0.6271701388888888
0_1,10_20,0.1093752747787383,0.6448777693289297,0.5453406270179484,0.6271701388888888
0_1,20_50,0.20036571693250835,0.6448777693289297,0.5453406270179484,0.6271701388888888
0_1,50_100,0.22821102115464673,0.6448777693289297,0.5453406270179484,0.6271701388888888
1_2,0_1,0.03780284727651692,0.5772954744321329,0.5629736453734545,0.4136284722222222
1_2,1_2,0.05276156750845334,0.5772954744321329,0.5629736453734545,0.4136284722222222
1_2,2_5,0.09709477538256117,0.5772954744321329,0.5629736453734545,0.4136284722222222
1_2,5_10,0.0968657151655621,0.5772954744321329,0.5629736453734545,0.4136284722222222
1_2,10_20,0.15769294471503081,0.5772954744321329,0.5629736453734545,0.4136284722222222
1_2,20_50,0.27036523765009984,0.5772954744321329,0.5629736453734545,0.4136284722222222
1_2,50_100,0.287416933607913,0.5772954744321329,0.5629736453734545,0.4136284722222222
2_5,0_1,0.01472345082385216,0.5279043670053836,0.5217331972671673,0.4484230324074074
2_5,1_2,0.02100890796775104,0.5279043670053836,0.5217331972671673,0.4484230324074074
2_5,2_5,0.0735630502111461,0.5279043670053836,0.5217331972671673,0.4484230324074074
2_5,5_10,0.08865742621086573,0.5279043670053836,0.5217331972671673,0.4484230324074074
2_5,10_20,0.15967670155306274,0.5279043670053836,0.5217331972671673,0.4484230324074074
2_5,20_50,0.31090016937469567,0.5279043670053836,0.5217331972671673,0.4484230324074074
2_5,50_100,0.3314703066544183,0.5279043670053836,0.5217331972671673,0.4484230324074074
5_10,0_1,0.009096314351536645,0.46542549905953584,0.45753349487980205,0.32544849537037035
5_10,1_2,0.00941813544208097,0.46542549905953584,0.45753349487980205,0.32544849537037035
5_10,2_5,0.035245999541048324,0.46542549905953584,0.45753349487980205,0.32544849537037035
5_10,5_10,0.06936690099952926,0.46542549905953584,0.45753349487980205,0.32544849537037035
5_10,10_20,0.14057592579220926,0.46542549905953584,0.45753349487980205,0.32544849537037035
5_10,20_50,0.3423751143490488,0.46542549905953584,0.45753349487980205,0.32544849537037035
5_10,50_100,0.393921630604638,0.46542549905953584,0.45753349487980205,0.32544849537037035
10_20,0_1,0.0070113024944425655,0.38694469575528745,0.3792030798245428,0.22743055555555555
10_20,1_2,0.00673538133044175,0.38694469575528745,0.3792030798245428,0.22743055555555555
10_20,2_5,0.022404622995750443,0.38694469575528745,0.3792030798245428,0.22743055555555555
10_20,5_10,0.0442332859430933,0.38694469575528745,0.3792030798245428,0.22743055555555555
10_20,10_20,0.11073656879602166,0.38694469575528745,0.3792030798245428,0.22743055555555555
10_20,20_50,0.34991930853266573,0.38694469575528745,0.3792030798245428,0.22743055555555555
10_20,50_100,0.45895956924083947,0.38694469575528745,0.3792030798245428,0.22743055555555555
20_50,0_1,0.00616250681720924,0.2185654968575195,0.21100497527448978,0.09888599537037036
20_50,1_2,0.005868864026713904,0.2185654968575195,0.21100497527448978,0.09888599537037036
20_50,2_5,0.01905167755326295,0.2185654968575195,0.21100497527448978,0.09888599537037036
20_50,5_10,0.03490140398150535,0.2185654968575195,0.21100497527448978,0.09888599537037036
20_50,10_20,0.08682738796580695,0.2185654968575195,0.21100497527448978,0.09888599537037036
20_50,20_50,0.3211067697351057,0.2185654968575195,0.21100497527448978,0.09888599537037036
20_50,50_100,0.5260814058230611,0.2185654968575195,0.21100497527448978,0.09888599537037036
50_100,0_1,0.007394377513039584,-0.11861162701690639,-0.12525296856916543,0.02025462962962963
50_100,1_2,0.007252741461023793,-0.11861162701690639,-0.12525296856916543,0.02025462962962963
50_100,2_5,0.023315716783343834,-0.11861162701690639,-0.12525296856916543,0.02025462962962963
50_100,5_10,0.040258508488022746,-0.11861162701690639,-0.12525296856916543,0.02025462962962963
50_100,10_20,0.08558936133177876,-0.11861162701690639,-0.12525296856916543,0.02025462962962963
50_100,20_50,0.2884890321850015,-0.11861162701690639,-0.12525296856916543,0.02025462962962963
50_100,50_100,0.547700266227224,-0.11861162701690639,-0.12525296856916543,0.02025462962962963
