layer,a_centered_adjacent_cosine,a_centered_between_cosine,a_centered_sequence_centroid_accuracy,a_centered_sequence_gap,a_centered_within_cosine,a_raw_adjacent_cosine,a_raw_between_cosine,a_raw_sequence_centroid_accuracy,a_raw_sequence_gap,a_raw_within_cosine,attention_common_centered_sequence_accuracy,attention_common_centered_sequence_gap,attention_energy_common,attention_energy_middle,attention_energy_tail,attention_middle_centered_sequence_accuracy,attention_middle_centered_sequence_gap,attention_tail_centered_sequence_accuracy,attention_tail_centered_sequence_gap,h_centered_adjacent_cosine,h_centered_between_cosine,h_centered_sequence_centroid_accuracy,h_centered_sequence_gap,h_centered_within_cosine,h_optimal_energy_top1,h_optimal_energy_top10,h_optimal_energy_top5,h_raw_adjacent_cosine,h_raw_between_cosine,h_raw_sequence_centroid_accuracy,h_raw_sequence_gap,h_raw_within_cosine,h_recovery_a_top1,h_recovery_a_top10,h_recovery_a_top5,h_recovery_x_top1,h_recovery_x_top10,h_recovery_x_top5,ha_overlap_top1,ha_overlap_top10,ha_overlap_top5,hx_overlap_top1,hx_overlap_top10,hx_overlap_top5,x_centered_adjacent_cosine,x_centered_between_cosine,x_centered_sequence_centroid_accuracy,x_centered_sequence_gap,x_centered_within_cosine,x_raw_adjacent_cosine,x_raw_between_cosine,x_raw_sequence_centroid_accuracy,x_raw_sequence_gap,x_raw_within_cosine,x_to_a_norm_ratio
0,0.11872978508472443,0.0007142744143493474,0.390869140625,0.019879175059031695,0.020593449473381042,0.33499255776405334,0.24983364343643188,0.42236328125,0.0111713707447052,0.2610050141811371,0.207763671875,0.03572027990594506,0.19458111969770717,0.33433887108460697,0.4710799538229392,0.359619140625,0.018238535383716226,0.619140625,0.014125822519417852,0.1194988563656807,0.0008838454377837479,0.39306640625,0.019877743150573224,0.020761588588356972,0.23010785153068342,0.7210426219844209,0.5435015283209058,0.3311558663845062,0.2447773814201355,0.425537109375,0.011431872844696045,0.25620925426483154,0.9764139023481747,0.9802208181712865,0.9788506934952806,0.047632347423033544,0.15339553624400426,0.1023370786429638,0.9565697312355042,0.8039478063583374,0.9306374788284302,0.011938286013901234,0.11425712704658508,0.05565270408987999,0.018192674964666367,-0.002042899141088128,0.291015625,0.01276251976378262,0.010719620622694492,0.05328860878944397,0.03727912902832031,0.334228515625,0.009041760116815567,0.04632088914513588,0.1538013368844986
1,0.4410240948200226,0.007988723926246166,0.650634765625,0.05296511668711901,0.06095384061336517,0.5136384963989258,0.13345244526863098,0.66259765625,0.04783789813518524,0.18129034340381622,0.29541015625,0.09398676827549934,0.04522773280270946,0.14275059525317202,0.8120218016147801,0.508544921875,0.07532545365393162,0.747314453125,0.04635153082199395,0.12949641048908234,0.0024570098612457514,0.47119140625,0.017384536331519485,0.019841546192765236,0.21095030320796804,0.6957351445990487,0.5202387032782906,0.3562118113040924,0.26130184531211853,0.483642578125,0.012084722518920898,0.27338656783103943,0.1992917297728227,0.22173648964121728,0.2086574931697666,0.9121324332009653,0.9232665889939577,0.9220951650743678,0.09585326164960861,0.15308581292629242,0.11959396302700043,0.8290472030639648,0.7421997785568237,0.8562366962432861,0.07596301287412643,0.0020891560707241297,0.378173828125,0.011733654653653502,0.013822810724377632,0.31027093529701233,0.25331777334213257,0.38427734375,0.007693082094192505,0.2610108554363251,3.1463394165039062
2,0.4185858964920044,0.007152010221034288,0.7412109375,0.052794023882597685,0.05994603410363197,0.4743610620498657,0.10236098617315292,0.75390625,0.04651600867509842,0.14887699484825134,0.2607421875,0.06790569052100182,0.09522434720372702,0.156012239488466,0.7487632682876718,0.581787109375,0.06248116493225098,0.816650390625,0.04931581486016512,0.15686646103858948,0.0020820889621973038,0.501708984375,0.020466120913624763,0.022548209875822067,0.2873704188127619,0.7271076285628363,0.569149772382639,0.4237869679927826,0.3167707026004791,0.520751953125,0.014900058507919312,0.33167076110839844,0.478721124655719,0.37140130993057097,0.3768271138970597,0.7629153226146933,0.8684059097544299,0.8467530082108384,0.18735608458518982,0.2057361602783203,0.17806047201156616,0.8431026935577393,0.7420202493667603,0.8438149690628052,0.1081387922167778,0.0013252669014036655,0.417724609375,0.015035226475447416,0.016360493376851082,0.4092385768890381,0.3364746570587158,0.4228515625,0.011423170566558838,0.34789782762527466,3.259730577468872
3,0.41071343421936035,0.008775823749601841,0.899658203125,0.1417333697900176,0.15050919353961945,0.4952709972858429,0.14723807573318481,0.92333984375,0.12056925892829895,0.26780733466148376,0.531494140625,0.20732709765434265,0.08408781304653652,0.16357007434615273,0.7523421400324098,0.851806640625,0.29101903387345374,0.937255859375,0.10127986955922097,0.39695337414741516,0.2609073519706726,0.72509765625,0.026478886604309082,0.2873862385749817,0.9998459418191311,0.999936062060403,0.9999024804126028,0.47555819153785706,0.35762327909469604,0.7314453125,0.018539726734161377,0.3761630058288574,0.3187911486010045,0.5358123265430188,0.44611450902827243,0.9999960151227988,0.9999901335743271,0.9999927896775506,0.1558072715997696,0.17087708413600922,0.13269492983818054,0.8365815877914429,0.7546213269233704,0.852338433265686,0.3946433365345001,0.29776710271835327,0.434814453125,0.01279902458190918,0.31056612730026245,0.4419724643230438,0.35405412316322327,0.447509765625,0.007879257202148438,0.3619333803653717,52.886695861816406
4,0.3179345726966858,0.005716332234442234,0.849853515625,0.05686053540557623,0.06257686764001846,0.38741567730903625,0.10708983242511749,0.8603515625,0.050421252846717834,0.15751108527183533,0.4072265625,0.1266898401081562,0.040173437171031556,0.10812440499620113,0.851702225771903,0.642822265625,0.105082105146721,0.864013671875,0.04642966249957681,0.38111385703086853,0.21909376978874207,0.706787109375,0.02756287157535553,0.2466566413640976,0.9998144800459292,0.9999237992209111,0.9998833739009959,0.5341796875,0.4078598618507385,0.70556640625,0.017759621143341064,0.4256194829940796,0.37710538966656687,0.5755465877053817,0.5043369754214807,0.9999960136655341,0.9999880423040506,0.9999910788185432,0.10286570340394974,0.12903329730033875,0.09483293443918228,0.8728969097137451,0.7466273903846741,0.8538627028465271,0.3477192521095276,0.22419054806232452,0.628662109375,0.020968064665794373,0.2451586127281189,0.49622589349746704,0.3975576162338257,0.634521484375,0.013613760471343994,0.4111713767051697,47.87824249267578
5,0.48080092668533325,0.004622946493327618,0.86572265625,0.06260961759835482,0.06723256409168243,0.5326425433158875,0.10696850717067719,0.866455078125,0.05527442693710327,0.16224293410778046,0.460693359375,0.12922599166631699,0.051670781093403215,0.19665748083869922,0.7516717465217359,0.724853515625,0.08344235830008984,0.895751953125,0.05331138090696186,0.3666664659976959,0.14838135242462158,0.6943359375,0.028610318899154663,0.17699167132377625,0.9997020529208686,0.9998853392572186,0.9998187069381519,0.5481989979743958,0.39073845744132996,0.7177734375,0.017512589693069458,0.4082510471343994,0.45629273940356174,0.6463195186734281,0.5946725490951836,0.9999941133404144,0.9999804446840868,0.9999847154578366,0.16996783018112183,0.3097932040691376,0.25213876366615295,0.8837879300117493,0.7477194666862488,0.8345631957054138,0.33907219767570496,0.1872207224369049,0.587158203125,0.02144908905029297,0.20866981148719788,0.5409923791885376,0.43169116973876953,0.61279296875,0.012421190738677979,0.4441123604774475,36.81496810913086
6,0.48894938826560974,0.009690905921161175,0.866455078125,0.09290034044533968,0.10259124636650085,0.5805760622024536,0.18272478878498077,0.873779296875,0.07617844641208649,0.25890323519706726,0.5048828125,0.1787986308336258,0.07243063786482525,0.10757973493204445,0.8199895773243225,0.82275390625,0.18863594927825034,0.8779296875,0.07256147684529424,0.36837053298950195,0.12613971531391144,0.735595703125,0.03195677697658539,0.15809649229049683,0.9996470080416812,0.9998666305948656,0.999785887009136,0.5650773644447327,0.39767056703567505,0.73779296875,0.02205374836921692,0.41972431540489197,0.48575375001092796,0.6921842514185215,0.6521086475137337,0.9999918277642398,0.9999793838879669,0.9999841328628553,0.15538877248764038,0.12969405949115753,0.10642755776643753,0.8524267077445984,0.7790230512619019,0.8876711130142212,0.3460840880870819,0.13713428378105164,0.609619140625,0.021357208490371704,0.15849149227142334,0.5326865911483765,0.38268232345581055,0.646728515625,0.01613098382949829,0.39881330728530884,34.91707992553711
7,0.5391613245010376,0.005830233450978994,0.916748046875,0.09339826041832566,0.09922849386930466,0.5793981552124023,0.09094100445508957,0.9228515625,0.08868790417909622,0.1796289086341858,0.502197265625,0.19432038068771362,0.04285305033519346,0.12147933411811716,0.8356676501369498,0.822998046875,0.16749172192066908,0.9306640625,0.0771122375736013,0.38946324586868286,0.11019127070903778,0.753662109375,0.0383516401052475,0.14854291081428528,0.9995896715805055,0.9998411509336895,0.999748995673928,0.5836620926856995,0.3935703635215759,0.778564453125,0.027374863624572754,0.4209452271461487,0.4174913195929513,0.5646876395316894,0.49823098252763237,0.9999920162685636,0.9999775751581402,0.9999824195840892,0.10881621390581131,0.14255701005458832,0.10832715034484863,0.8897104859352112,0.7702075242996216,0.8669010400772095,0.34435856342315674,0.11939529329538345,0.673828125,0.028318487107753754,0.1477137804031372,0.5476537346839905,0.39241230487823486,0.678466796875,0.021106719970703125,0.413519024848938,33.58786392211914
8,0.4714955687522888,0.010324783623218536,0.796142578125,0.07381726801395416,0.0841420516371727,0.5453396439552307,0.1482861042022705,0.879150390625,0.06364831328392029,0.2119344174861908,0.351318359375,0.12917020171880722,0.10245748355623965,0.11959329995004783,0.7779492102044094,0.766845703125,0.1430573663674295,0.909423828125,0.061563672963529825,0.38968169689178467,0.09945829212665558,0.744873046875,0.04333162307739258,0.14278991520404816,0.9995481631290845,0.9998260922481261,0.9997238774677738,0.5999326705932617,0.40892696380615234,0.76220703125,0.029285043478012085,0.43821200728416443,0.6833285484704705,0.7346799279255701,0.7166538934234061,0.9999904873501734,0.9999756543858577,0.9999818340322951,0.15956217050552368,0.12393084913492203,0.10264334082603455,0.8787675499916077,0.7725573182106018,0.8919943571090698,0.3735094368457794,0.1069086417555809,0.6669921875,0.03549741953611374,0.14240606129169464,0.5551844239234924,0.3684057295322418,0.72802734375,0.0255967378616333,0.3940024673938751,30.910655975341797
9,0.381571501493454,0.0017930030589923263,0.922119140625,0.0769602224463597,0.07875322550535202,0.48911741375923157,0.1724521368741989,0.950927734375,0.06320737302303314,0.23565950989723206,0.400634765625,0.10986515134572983,0.0972117192960361,0.1989237035848298,0.7038643170503456,0.771484375,0.08639613073319197,0.965087890625,0.07206746493466198,0.37692931294441223,0.08284290134906769,0.78076171875,0.04817892611026764,0.13102182745933533,0.9994492984868907,0.9998012176230583,0.9996775265754695,0.6158572435379028,0.43325191736221313,0.810791015625,0.027917027473449707,0.46116894483566284,0.7187271795134852,0.7813622006972682,0.7604503558646944,0.9999854120509236,0.9999551078070288,0.9999588199003594,0.24762743711471558,0.2094932496547699,0.2486841082572937,0.7857655882835388,0.7573784589767456,0.7950074076652527,0.3743434548377991,0.0957503393292427,0.66064453125,0.0377841517329216,0.1335344910621643,0.5761680603027344,0.3888579308986664,0.72021484375,0.023391693830490112,0.4122496247291565,25.208786010742188
