a_band,h_band,energy_fraction,a_band_adjacent_cosine,a_band_sequence_gap,a_band_sequence_accuracy
0_1,0_1,0.2944790796170769,0.6249843138669219,0.5283225461441491,0.6123046875
0_1,1_2,0.0503752996219338,0.6249843138669219,0.5283225461441491,0.6123046875
0_1,2_5,0.06736668022881082,0.6249843138669219,0.5283225461441491,0.6123046875
0_1,5_10,0.06824651526782508,0.6249843138669219,0.5283225461441491,0.6123046875
0_1,10_20,0.10556402396624588,0.6249843138669219,0.5283225461441491,0.6123046875
0_1,20_50,0.19362518517170493,0.6249843138669219,0.5283225461441491,0.6123046875
0_1,50_100,0.22034316960341435,0.6249843138669219,0.5283225461441491,0.6123046875
1_2,0_1,0.03665084907841117,0.5603074567126376,0.5462511479667488,0.40611049107142855
1_2,1_2,0.08240765421584703,0.5603074567126376,0.5462511479667488,0.40611049107142855
1_2,2_5,0.09690551048345197,0.5603074567126376,0.5462511479667488,0.40611049107142855
1_2,5_10,0.09349407249759352,0.5603074567126376,0.5462511479667488,0.40611049107142855
1_2,10_20,0.15215073995868125,0.5603074567126376,0.5462511479667488,0.40611049107142855
1_2,20_50,0.26063999864891907,0.5603074567126376,0.5462511479667488,0.40611049107142855
1_2,50_100,0.2777512100190442,0.5603074567126376,0.5462511479667488,0.40611049107142855
2_5,0_1,0.014234163766517913,0.5127284351204123,0.5064924814172888,0.4408482142857143
2_5,1_2,0.02184718544757144,0.5127284351204123,0.5064924814172888,0.4408482142857143
2_5,2_5,0.10337233940748476,0.5127284351204123,0.5064924814172888,0.4408482142857143
2_5,5_10,0.0864238795005738,0.5127284351204123,0.5064924814172888,0.4408482142857143
2_5,10_20,0.1541123051739323,0.5127284351204123,0.5064924814172888,0.4408482142857143
2_5,20_50,0.3004533505215627,0.5127284351204123,0.5064924814172888,0.4408482142857143
2_5,50_100,0.3195568269130294,0.5127284351204123,0.5064924814172888,0.4408482142857143
5_10,0_1,0.00878616572132,0.45342250327978817,0.44573167148337234,0.32386997767857145
5_10,1_2,0.009100646647416416,0.45342250327978817,0.44573167148337234,0.32386997767857145
5_10,2_5,0.03487881996184807,0.45342250327978817,0.44573167148337234,0.32386997767857145
5_10,5_10,0.09967092938871712,0.45342250327978817,0.44573167148337234,0.32386997767857145
5_10,10_20,0.1367685711232325,0.45342250327978817,0.44573167148337234,0.32386997767857145
5_10,20_50,0.3306827654400509,0.45342250327978817,0.44573167148337234,0.32386997767857145
5_10,50_100,0.3801121485142596,0.45342250327978817,0.44573167148337234,0.32386997767857145
10_20,0_1,0.006771610408794162,0.37771799362131525,0.37046620179067496,0.22914341517857142
10_20,1_2,0.006504562504728521,0.37771799362131525,0.37046620179067496,0.22914341517857142
10_20,2_5,0.021651359928551696,0.37771799362131525,0.37046620179067496,0.22914341517857142
10_20,5_10,0.043646048658198204,0.37771799362131525,0.37046620179067496,0.22914341517857142
10_20,10_20,0.13916631183671682,0.37771799362131525,0.37046620179067496,0.22914341517857142
10_20,20_50,0.33913557318853227,0.37771799362131525,0.37046620179067496,0.22914341517857142
10_20,50_100,0.4431245624076818,0.37771799362131525,0.37046620179067496,0.22914341517857142
20_50,0_1,0.00595029491852103,0.2132017934428794,0.2059832282060857,0.10498046875
20_50,1_2,0.005664931055874768,0.2132017934428794,0.2059832282060857,0.10498046875
20_50,2_5,0.018379788508477213,0.2132017934428794,0.2059832282060857,0.10498046875
20_50,5_10,0.0337407883298967,0.2132017934428794,0.2059832282060857,0.10498046875
20_50,10_20,0.08506541296405735,0.2132017934428794,0.2059832282060857,0.10498046875
20_50,20_50,0.3423388321567762,0.2132017934428794,0.2059832282060857,0.10498046875
20_50,50_100,0.5088599721216431,0.2132017934428794,0.2059832282060857,0.10498046875
50_100,0_1,0.007148621972163575,-0.11485517650310482,-0.12130021906549311,0.022251674107142856
50_100,1_2,0.00700631269221035,-0.11485517650310482,-0.12130021906549311,0.022251674107142856
50_100,2_5,0.022633067596704255,-0.11485517650310482,-0.12130021906549311,0.022251674107142856
50_100,5_10,0.03875598087724682,-0.11485517650310482,-0.12130021906549311,0.022251674107142856
50_100,10_20,0.08268266232214419,-0.11485517650310482,-0.12130021906549311,0.022251674107142856
50_100,20_50,0.28531384515738417,-0.11485517650310482,-0.12130021906549311,0.022251674107142856
50_100,50_100,0.5564595395086764,-0.11485517650310482,-0.12130021906549311,0.022251674107142856
