phase,dim,seed,step,the_bayes_gap,the_ce,objective_loss,macro_loss,loss_the_sun,loss_the_moon,condition,a_bayes_gap,cake_loss,cake_accuracy,tail_common_energy_fraction,tail_contrast_common_energy_fraction,common_only_cake_loss,residual_only_cake_loss,rep_macro_top1_energy,rep_macro_effective_rank,rep_weighted_top1_energy,rep_weighted_effective_rank,embedding_raw_top1_energy,embedding_raw_effective_rank,embedding_centered_top1_energy,embedding_centered_effective_rank,Bqk_top1_energy,Bqk_effective_rank,Bvo_top1_energy,Bvo_effective_rank,loss_a_moon_cake,loss_a_banana_cake,loss_a_fruit_cake,cos_cake_moon_tail,cos_cake_moon_high,cos_cake_banana,cos_cake_fruit,cos_cake_sun,cos_moon_high_the,cos_moon_tail_a,tail_proj_onto_phase1_c,moon_tail_emb_proj_onto_c,cake_emb_proj_onto_c
pretrain,8,0,0,1.342996597290039,2.0361437797546387,2.0361437797546387,1.9988439083099365,2.1031031608581543,1.969184398651123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,10,0.3110884428024292,1.0042356252670288,1.0042356252670288,1.7925398349761963,1.1241573095321655,0.8843139410018921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,20,0.007364511489868164,0.7005116939544678,0.7005116939544678,5.897763252258301,0.8148767948150635,0.5861465930938721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,30,0.0033911466598510742,0.6965383291244507,0.6965383291244507,10.559816360473633,0.7788671255111694,0.6142095327377319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,40,0.0003885626792907715,0.6935357451438904,0.6935357451438904,12.812891006469727,0.6656894087791443,0.7213820815086365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,50,7.68899917602539e-06,0.6931548714637756,0.6931548714637756,13.787605285644531,0.6969371438026428,0.6893725991249084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,60,1.6033649444580078e-05,0.6931632161140442,0.6931632161140442,14.13502311706543,0.6875842213630676,0.6987422108650208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,70,5.829334259033203e-05,0.6932054758071899,0.6932054758071899,14.277372360229492,0.7039581537246704,0.6824527978897095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,80,1.043081283569336e-05,0.6931576132774353,0.6931576132774353,14.30879020690918,0.6887058615684509,0.6976093649864197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,90,1.0967254638671875e-05,0.6931581497192383,0.6931581497192383,14.324394226074219,0.6885671615600586,0.697749137878418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
