phase,condition,dim,seed,first_stable_all_step,final_objective_loss,final_macro_loss,final_the_bayes_gap,final_a_bayes_gap,final_cake_loss,final_cake_accuracy,final_tail_common_energy_fraction,final_tail_contrast_common_energy_fraction,final_common_only_cake_loss,final_residual_only_cake_loss,final_rep_macro_top1_energy,final_rep_macro_effective_rank,final_rep_weighted_top1_energy,final_rep_weighted_effective_rank,final_embedding_raw_top1_energy,final_embedding_raw_effective_rank,final_embedding_centered_top1_energy,final_embedding_centered_effective_rank,final_Bqk_top1_energy,final_Bqk_effective_rank,final_Bvo_top1_energy,final_Bvo_effective_rank,final_loss_the_sun,final_loss_the_moon,final_loss_a_moon_cake,final_loss_a_banana_cake,final_loss_a_fruit_cake,final_cos_cake_moon_tail,final_cos_cake_moon_high,final_cos_cake_banana,final_cos_cake_fruit,final_cos_cake_sun,final_cos_moon_high_the,final_cos_moon_tail_a,converged_objective_loss,converged_macro_loss,converged_the_bayes_gap,converged_a_bayes_gap,converged_cake_loss,converged_cake_accuracy,converged_tail_common_energy_fraction,converged_tail_contrast_common_energy_fraction,converged_common_only_cake_loss,converged_residual_only_cake_loss,converged_rep_macro_top1_energy,converged_rep_macro_effective_rank,converged_rep_weighted_top1_energy,converged_rep_weighted_effective_rank,converged_embedding_raw_top1_energy,converged_embedding_raw_effective_rank,converged_embedding_centered_top1_energy,converged_embedding_centered_effective_rank,converged_Bqk_top1_energy,converged_Bqk_effective_rank,converged_Bvo_top1_energy,converged_Bvo_effective_rank,converged_loss_the_sun,converged_loss_the_moon,converged_loss_a_moon_cake,converged_loss_a_banana_cake,converged_loss_a_fruit_cake,converged_cos_cake_moon_tail,converged_cos_cake_moon_high,converged_cos_cake_banana,converged_cos_cake_fruit,converged_cos_cake_sun,converged_cos_moon_high_the,converged_cos_moon_tail_a,final_tail_proj_onto_phase1_c,final_moon_tail_emb_proj_onto_c,final_cake_emb_proj_onto_c,converged_tail_proj_onto_phase1_c,converged_moon_tail_emb_proj_onto_c,converged_cake_emb_proj_onto_c
phase2,natural,8,0,100,0.6644753813743591,0.607080340385437,2.562999725341797e-05,0.0005927085876464844,0.0001656614913372323,1.0,0.9646045565605164,0.5166906714439392,5.6780711020110175e-05,2.465301513671875,0.9335008263587952,1.3080761432647705,0.9356006383895874,1.2786064147949219,0.5795717835426331,3.023024797439575,0.5773814916610718,2.934521436691284,0.6183539032936096,3.5234568119049072,0.8113548159599304,1.970607876777649,0.6932543516159058,0.6930912733078003,0.5501270294189453,0.5494564771652222,0.549472451210022,-0.22813314199447632,-0.22813314199447632,0.5500473380088806,0.5087689161300659,-0.8035053610801697,-0.42729735374450684,-0.48189425468444824,0.6669272184371948,0.6138212084770203,0.0003330111503601074,0.022153377532958984,0.0006648304988630116,1.0,0.9541031718254089,0.5275706648826599,0.00044054724276065826,2.0391294956207275,0.9631719589233398,1.1951738595962524,0.983958899974823,1.0901392698287964,0.6335201859474182,2.7729315757751465,0.6398084163665771,2.6701269149780273,0.6015514135360718,3.6568379402160645,0.8183080554008484,1.992401361465454,0.6679465174674988,0.7190138697624207,0.5664451718330383,0.5495492815971375,0.5661512613296509,-0.17579029500484467,-0.17579029500484467,0.6475154757499695,0.5955407619476318,-0.8029890656471252,-0.4522198438644409,-0.40065309405326843,,,,,,
phase2,reweight,8,0,100,0.6069212555885315,0.6069213151931763,2.8431415557861328e-05,0.0001550912857055664,6.933464464964345e-05,1.0,0.9263229370117188,0.37129440903663635,3.3297987101832405e-05,2.5293095111846924,0.9410976767539978,1.2713441848754883,0.9502364993095398,1.2294490337371826,0.622067391872406,2.7343883514404297,0.6384230852127075,2.6747522354125977,0.6130558252334595,3.587038040161133,0.698976457118988,2.139482021331787,0.6934767365455627,0.6928744912147522,0.5494148135185242,0.5494431257247925,0.5493971705436707,-0.10555874556303024,-0.10555874556303024,0.6328839063644409,0.5923064947128296,-0.4865071475505829,-0.6415690779685974,-0.5209446549415588,0.61278235912323,0.61278235912323,0.0026088953018188477,0.015221714973449707,0.0010989689035341144,1.0,0.8865903615951538,0.28199154138565063,0.0007271955255419016,2.1867868900299072,0.961191713809967,1.1949480772018433,0.9825916290283203,1.0986961126327515,0.6467397809028625,2.5764191150665283,0.674481213092804,2.491201877593994,0.6102748513221741,3.627748727798462,0.6802706718444824,2.2359299659729004,0.7679194211959839,0.623592734336853,0.5696328282356262,0.5472627878189087,0.5555039048194885,-0.0724196583032608,-0.0724196583032608,0.7246031761169434,0.6727652549743652,-0.4971536695957184,-0.6814377307891846,-0.43424680829048157,,,,,,
phase2,forced_orthogonal,8,0,200,0.6070001721382141,0.6070001721382141,6.318092346191406e-06,0.0004924535751342773,2.4516497433069162e-05,1.0,0.45383572578430176,0.37587735056877136,5.411792278289795,5.563095442084887e-07,0.9232944250106812,1.328533411026001,0.8824528455734253,1.4434540271759033,0.5238343477249146,3.205406427383423,0.6379494071006775,2.6655869483947754,0.6653842329978943,3.1615943908691406,0.6701886653900146,2.0404791831970215,0.690980076789856,0.6953269243240356,0.5497443079948425,0.5495485663414001,0.5494009256362915,0.20936204493045807,-0.22224237024784088,0.3230198919773102,0.32811951637268066,-0.2153153270483017,0.8892253637313843,0.15817534923553467,0.6133006811141968,0.6133006811141968,0.0018410682678222656,0.018061280250549316,0.001011078362353146,1.0,0.4706909656524658,0.3346138894557953,3.7006232738494873,0.00012514674745034426,0.9483453631401062,1.2438993453979492,0.9296322464942932,1.2957319021224976,0.5573999285697937,3.0361857414245605,0.6617518663406372,2.5478391647338867,0.6352471113204956,3.3990535736083984,0.727900505065918,1.9739608764648438,0.7551727294921875,0.6348037719726562,0.5670995116233826,0.557620644569397,0.5518068075180054,0.26746463775634766,-0.22104132175445557,0.4055068790912628,0.3819285035133362,-0.23316121101379395,0.8547796607017517,0.23024728894233704,0.34586653113365173,0.0,6.557224541126061e-09,0.40399351716041565,0.0,6.765406457276413e-09
phase2,natural,8,1,120,0.6645447611808777,0.6072104573249817,6.461143493652344e-05,0.0008767843246459961,0.00026344149955548346,1.0,0.9357906579971313,0.682814359664917,0.007151203695684671,1.5484648942947388,0.9567798376083374,1.2324138879776,0.9652305841445923,1.173600196838379,0.7455019354820251,2.3448257446289062,0.7714346647262573,2.140371322631836,0.8402392864227295,2.0369338989257812,0.7165791988372803,2.3048336505889893,0.6932013034820557,0.6932222843170166,0.5504631400108337,0.5496352910995483,0.5495303273200989,0.04966643452644348,0.04966643452644348,0.6082430481910706,0.6440061330795288,-0.7168802618980408,-0.27826109528541565,-0.08552483469247818,0.6681360602378845,0.6137069463729858,0.0022034645080566406,0.01813352108001709,0.0018098048167303205,1.0,0.9448944330215454,0.8455696105957031,0.044091060757637024,0.8389044404029846,0.983046293258667,1.1076781749725342,0.9921949505805969,1.0506980419158936,0.8021642565727234,2.0679850578308105,0.8292745351791382,1.8765687942504883,0.8172785043716431,2.1954543590545654,0.765496551990509,2.2122714519500732,0.7561073303222656,0.6345939636230469,0.56964510679245,0.5389133095741272,0.5692750215530396,0.15223102271556854,0.15223102271556854,0.6385763883590698,0.6636470556259155,-0.7569867372512817,-0.3045741319656372,-0.03634430468082428,,,,,,
phase2,reweight,8,1,110,0.6071035861968994,0.6071035861968994,0.00021213293075561523,0.0004527568817138672,0.0001344938500551507,1.0,0.9478846788406372,0.763776421546936,0.0011493461206555367,2.724839448928833,0.9725493788719177,1.155727744102478,0.9680669903755188,1.1613131761550903,0.7874274849891663,2.1265318393707275,0.8126761317253113,1.9446361064910889,0.8112600445747375,2.238354206085205,0.7617250680923462,2.180804967880249,0.7068385481834412,0.6798800826072693,0.5496917963027954,0.5495455861091614,0.5495619773864746,0.05171309784054756,0.05171309784054756,0.5776875019073486,0.6010162234306335,-0.7727646827697754,-0.44039565324783325,-0.13409489393234253,0.6223499774932861,0.6223499178886414,0.023466765880584717,0.01927769184112549,0.0011246163630858064,1.0,0.9546266198158264,0.8159624934196472,0.008580303750932217,1.6513959169387817,0.9868478775024414,1.0847002267837524,0.9895793199539185,1.0640212297439575,0.8330383896827698,1.8845492601394653,0.8569247722625732,1.7209761142730713,0.7972259521484375,2.3382391929626465,0.7794915437698364,2.1795032024383545,0.933912456035614,0.49931544065475464,0.6223665475845337,0.5409466028213501,0.5152087807655334,0.09841907024383545,0.09841907024383545,0.6441693305969238,0.6741276979446411,-0.8160593509674072,-0.4518037736415863,0.06358110159635544,,,,,,
phase2,forced_orthogonal,8,1,140,0.6069287657737732,0.606928825378418,5.543231964111328e-06,0.00020301342010498047,7.700552669120952e-05,1.0,0.8386050462722778,0.7632399797439575,0.018798289820551872,0.07380063086748123,0.9279323816299438,1.3127578496932983,0.9114429950714111,1.3553791046142578,0.5928372740745544,2.8138022422790527,0.7307722568511963,2.213695764541626,0.6065106391906738,3.7868616580963135,0.6105939149856567,2.492443561553955,0.6932633519172668,0.6930420994758606,0.5494309663772583,0.5494579076766968,0.5494495630264282,0.8242422342300415,-0.2922436594963074,0.7540384531021118,0.6386456489562988,-0.3345949947834015,0.9242249727249146,-0.36967137455940247,0.6119922995567322,0.6119922995567322,0.00010943412780761719,0.014390707015991211,0.002629280788823962,1.0,0.8900609612464905,0.6968586444854736,0.036019157618284225,0.4343477487564087,0.9741261601448059,1.1388285160064697,0.9696282744407654,1.1493251323699951,0.6472913026809692,2.5980687141418457,0.7710385918617249,2.0595650672912598,0.522604763507843,4.488534927368164,0.6848434805870056,2.4596619606018066,0.6812479496002197,0.7052652835845947,0.5724782347679138,0.5276549458503723,0.5733152031898499,0.8396651744842529,-0.2914468050003052,0.7885482311248779,0.6540949940681458,-0.34144681692123413,0.9161837100982666,-0.33856824040412903,0.328122615814209,4.518039276035779e-09,5.409829029190405e-09,0.39499521255493164,4.83803219708534e-09,2.8768876170204294e-09
phase2,natural,8,2,110,0.6645825505256653,0.6073253750801086,6.389617919921875e-05,0.0012711286544799805,0.0002528500044718385,1.0,0.8762147426605225,0.05259024724364281,0.0009583645150996745,1.2433809041976929,0.9507049918174744,1.239132046699524,0.9710569977760315,1.1439549922943115,0.6798387765884399,2.4868245124816895,0.6920679807662964,2.337557315826416,0.9340890645980835,1.4401657581329346,0.7105152010917664,2.125040292739868,0.6933445930480957,0.693077564239502,0.5511391162872314,0.5495495796203613,0.5495158433914185,-0.41864442825317383,-0.41864442825317383,0.5333974957466125,0.4630928039550781,-0.8072019219398499,-0.3993712067604065,0.09778733551502228,0.6686151027679443,0.616057276725769,0.001746833324432373,0.027512788772583008,0.000873959215823561,1.0,0.8535837531089783,0.26928699016571045,0.004818841349333525,1.037251591682434,0.9883245229721069,1.0748651027679443,0.9963749051094055,1.0257617235183716,0.7428671717643738,2.2092318534851074,0.7561445832252502,2.081416606903076,0.9000963568687439,1.6640539169311523,0.8048747181892395,1.87874174118042,0.7508537173271179,0.638934314250946,0.6006796956062317,0.5574569702148438,0.5323618650436401,-0.3939216136932373,-0.3939216136932373,0.5345935225486755,0.40025097131729126,-0.7830294370651245,-0.3118317127227783,0.18785840272903442,,,,,,
phase2,reweight,8,2,80,0.607571542263031,0.607571542263031,0.0014504790306091309,0.00040781497955322266,8.82104504853487e-05,1.0,0.7847866415977478,0.0288199745118618,0.005332333501428366,1.1386957168579102,0.967097818851471,1.1726815700531006,0.9776601195335388,1.1178194284439087,0.6565616130828857,2.641381025314331,0.6851029396057129,2.427908182144165,0.8276753425598145,2.1753146648406982,0.7262382507324219,1.9905521869659424,0.7484049201011658,0.6407904028892517,0.5489071607589722,0.549521267414093,0.5502341389656067,-0.3505271077156067,-0.3505271077156067,0.5114529728889465,0.3937579393386841,-0.7713596224784851,-0.30391597747802734,0.2686839699745178,0.6179061532020569,0.6179061532020569,0.00944364070892334,0.023882150650024414,0.00040497511508874595,1.0,0.8161594271659851,0.03160597011446953,0.0048234774731099606,1.0046466588974,0.987297773361206,1.0796936750411987,0.9955804944038391,1.0310893058776855,0.7227970957756042,2.374281167984009,0.750771164894104,2.1776843070983887,0.7812260389328003,2.525425672531128,0.8265581727027893,1.747657299041748,0.8402374982833862,0.5649441480636597,0.5849174857139587,0.5494866967201233,0.5499449968338013,-0.3340185582637787,-0.3340185582637787,0.6005513668060303,0.4749443531036377,-0.7520291209220886,-0.23476162552833557,0.39031338691711426,,,,,,
phase2,forced_orthogonal,8,2,140,0.6069995760917664,0.6069995760917664,1.52587890625e-05,0.00035858154296875,0.00014437873323913664,1.0,0.5290693044662476,0.5397815704345703,0.00011692794942064211,2.4370439052581787,0.9015940427780151,1.3950836658477783,0.9075607657432556,1.366957664489746,0.5515435934066772,3.0507073402404785,0.650717556476593,2.4564414024353027,0.6301105618476868,3.251830577850342,0.6127796173095703,2.121270179748535,0.6940064430236816,0.6923184394836426,0.5498685240745544,0.5494645833969116,0.5493398308753967,0.7563185691833496,-0.21228094398975372,0.4106447696685791,0.19134294986724854,-0.19672605395317078,0.7770310044288635,0.2577846348285675,0.6178415417671204,0.6178415417671204,0.0018662810325622559,0.02920210361480713,0.00497275497764349,1.0,0.6611082553863525,0.8367051482200623,0.0027301867958158255,2.8596317768096924,0.9700530171394348,1.155348777770996,0.9761525988578796,1.1225537061691284,0.6208935976028442,2.748459815979004,0.7243027687072754,2.223820686340332,0.5238867998123169,4.376789569854736,0.5811274647712708,2.2471745014190674,0.6409897208213806,0.7490372061729431,0.592912495136261,0.5439639687538147,0.5623043775558472,0.7904230952262878,-0.20913755893707275,0.4875977039337158,0.29519742727279663,-0.17495203018188477,0.8226252198219299,0.2537102997303009,0.7121937870979309,1.9495645986467025e-08,3.6103786626995316e-09,0.7186756134033203,3.149510874322914e-08,1.6145765613373442e-08
phase2,natural,8,3,140,0.6713907718658447,0.6106180548667908,0.008629918098449707,0.0008014440536499023,0.0002769279817584902,1.0,0.9873308539390564,0.9103431701660156,0.00022967770928516984,2.4616901874542236,0.9778629541397095,1.1228351593017578,0.9740157127380371,1.1314289569854736,0.6630026698112488,2.572862386703491,0.6685346364974976,2.5032992362976074,0.9216558337211609,1.4960222244262695,0.8653540015220642,1.7423443794250488,0.5705643892288208,0.8329898118972778,0.5524948239326477,0.5487577319145203,0.5482833981513977,-0.5780541300773621,-0.5780541300773621,0.13465973734855652,0.12741725146770477,-0.6879525184631348,-0.4213606119155884,-0.455038845539093,0.6653240323066711,0.6091699004173279,0.00025385618209838867,0.00588679313659668,0.0015324262203648686,1.0,0.9908214807510376,0.9459399580955505,0.0012599063338711858,2.359414577484131,0.989751935005188,1.0660022497177124,0.9899477958679199,1.0598468780517578,0.7402670979499817,2.249457359313965,0.7470529079437256,2.1805202960968018,0.9072960019111633,1.5846073627471924,0.8838146924972534,1.6699120998382568,0.686804473400116,0.69999760389328,0.5577670931816101,0.5484015941619873,0.5528786182403564,-0.4302133619785309,-0.4302133619785309,0.2488107532262802,0.21828481554985046,-0.7884563207626343,-0.40804970264434814,-0.4707752764225006,,,,,,
