dim,variant,runs,mean_switch_step,mean_switch_full_accuracy,mean_switch_non_K_accuracy,mean_switch_value_output_direction_K_alignment,mean_initial_loss,mean_final_loss,mean_initial_non_K_loss,mean_final_non_K_loss,mean_final_full_accuracy,mean_final_non_K_accuracy,mean_final_adapter_output_common_energy_fraction,mean_final_base_relative_drift,stable_all_successes,median_first_stable_all_post_step
2,baseline_continue,3,300.0,0.2916666666666667,0.3055555621782939,0.5529231131076813,1.921573281288147,1.4854095776875813,1.6680895487467449,1.3763721386591594,0.3333333333333333,0.2500000049670537,0.0,1.2187696868696527,0,
2,frozen_no_bridge,3,300.0,0.2916666666666667,0.3055555621782939,0.5529231131076813,1.921573281288147,1.921573281288147,1.6680895487467449,1.6680895487467449,0.2916666666666667,0.3055555621782939,0.0,0.0,0,
2,unconstrained_bridge,3,300.0,0.2916666666666667,0.3055555621782939,0.5529231131076813,1.921573281288147,1.8209215799967449,1.6680895487467449,1.47938072681427,0.2708333333333333,0.2777777860562007,0.6669419805208842,0.0,0,
2,common_to_residual,3,300.0,0.2916666666666667,0.3055555621782939,0.5529231131076813,1.921573281288147,1.9145749012629192,1.6680895487467449,1.6782626310984294,0.2916666666666667,0.3055555621782939,5.084455291028031e-16,0.0,0,
2,residual_to_residual,3,300.0,0.2916666666666667,0.3055555621782939,0.5529231131076813,1.921573281288147,1.9215590159098308,1.6680895487467449,1.666345477104187,0.2916666666666667,0.3055555621782939,7.38030765431427e-16,0.0,0,
3,baseline_continue,3,115.0,0.8541666666666666,0.8055555621782938,0.5977135598659515,0.32132602979739505,0.008118047796112174,0.38905657331148785,0.008438930594517538,1.0,1.0,0.0,0.6147858220291895,3,26.0
3,frozen_no_bridge,3,115.0,0.8541666666666666,0.8055555621782938,0.5977135598659515,0.32132602979739505,0.32132602979739505,0.38905657331148785,0.38905657331148785,0.8541666666666666,0.8055555621782938,0.0,0.0,1,0.0
3,unconstrained_bridge,3,115.0,0.8541666666666666,0.8055555621782938,0.5977135598659515,0.32132602979739505,0.28146038701136905,0.38905657331148785,0.31965289016564685,0.8958333333333334,0.8611111243565878,0.7495083411534628,0.0,1,0.0
3,common_to_residual,3,115.0,0.8541666666666666,0.8055555621782938,0.5977135598659515,0.32132602979739505,0.3065781022111575,0.38905657331148785,0.35296651472647983,0.875,0.8333333333333334,5.83554322816006e-16,0.0,1,0.0
3,residual_to_residual,3,115.0,0.8541666666666666,0.8055555621782938,0.5977135598659515,0.32132602979739505,0.2978741725285848,0.38905657331148785,0.3357970342040062,0.875,0.8333333333333334,8.557469398713368e-16,0.0,1,0.0
