pattern_id,key,left_token_id,right_token_id,distance,left_text,right_text,train_support,valid_support,npmi,heldout_log_rate_diff,document_count,document_coverage,parent_reuse
0,1321206876,315,279,1, of, the,23704,5936,0.33321293,0.01907393,7711,0.77110000,166
1,1170212077,279,315,2, the, of,23589,6124,0.33237868,0.01696935,7655,0.76550000,119
2,46138636,11,323,1,",", and,19459,5178,0.28532727,0.04164357,6866,0.68660000,79
3,922746944,220,16,1, ,1,17687,4572,0.62454050,0.01265522,6345,0.63450000,409
4,1275069532,304,279,1, in, the,16489,4150,0.33402206,0.01405078,7170,0.71700000,100
5,922746948,220,17,1, ,2,15275,3754,0.62840858,0.03786119,6413,0.64130000,343
6,922746941,220,15,2, ,0,14090,3490,0.55709279,0.03002921,6195,0.61950000,250
7,71303228,17,15,1,2,0,10428,2455,0.60963573,0.08083336,5245,0.52450000,364
8,62914620,15,15,1,0,0,10370,2483,0.56095511,0.06391514,3978,0.39780000,294
9,1304429660,311,279,1, to, the,10333,2573,0.13986969,0.02473575,6012,0.60120000,31
10,46140200,11,714,1,",", but,9664,2392,0.45430462,0.03074343,5401,0.54010000,88
11,1107297517,264,315,2, a, of,8799,2266,0.24801873,0.00891246,5682,0.56820000,38
12,1304429661,311,279,2, to, the,8328,2049,0.10227567,0.03673709,5298,0.52980000,30
13,1170212078,279,315,3, the, of,8055,2007,0.11339153,0.02411757,5013,0.50130000,18
14,1631585372,389,279,1, on, the,7652,1942,0.30590235,0.00571431,5143,0.51430000,22
15,1304430092,311,387,1, to, be,6991,1717,0.38967102,0.03851065,4807,0.48070000,45
16,922746942,220,15,3, ,0,6771,1587,0.38718032,0.08526897,3810,0.38100000,81
17,922746933,220,13,2, ,.,6646,1796,0.26315853,0.05708118,2105,0.21050000,42
18,54528256,13,576,1,., The,6087,1592,0.45769319,0.02437011,3541,0.35410000,32
19,922746934,220,13,3, ,.,5804,1700,0.23846862,0.13761529,1787,0.17870000,16
20,1547699292,369,279,1, for, the,5751,1408,0.21420983,0.04166912,4347,0.43470000,13
21,46138224,11,220,1,",", ,5744,1598,0.12064521,0.08613139,3586,0.35860000,274
22,46138776,11,358,1,",", I,5652,1459,0.19596547,0.01127618,3110,0.31100000,36
23,1568670752,374,264,1, is, a,5376,1425,0.25424877,0.03776159,4130,0.41300000,21
24,922746952,220,18,1, ,3,5332,1362,0.47651633,0.00076218,3504,0.35040000,58
25,922746946,220,16,3, ,1,5331,1282,0.34454176,0.05958310,3446,0.34460000,105
26,62914624,15,16,1,0,1,5289,1334,0.41492178,0.01191287,3236,0.32360000,239
27,67108924,16,15,1,1,0,5173,1279,0.41042277,0.03183989,3233,0.32330000,135
28,71303233,17,16,2,2,1,4953,1208,0.44426243,0.04549298,3124,0.31240000,180
29,1304429601,311,264,2, to, a,4942,1198,0.13009636,0.05158223,4032,0.40320000,18
30,46137406,11,15,3,",",0,4864,1176,0.16624772,0.05420792,3250,0.32500000,158
31,67108960,16,24,1,1,9,4798,1229,0.55898816,0.00353604,2346,0.23460000,181
32,922747760,220,220,1, , ,4757,1419,0.24584520,0.15586956,1124,0.11240000,62
33,46139072,11,432,1,",", it,4681,1090,0.17065356,0.09179969,3640,0.36400000,34
34,71303229,17,15,2,2,0,4678,1026,0.42754975,0.15166855,2795,0.27950000,138
35,1275069472,304,264,1, in, a,4627,1240,0.20351478,0.04873705,3886,0.38860000,5
36,1879049308,448,279,1, with, the,4542,1233,0.21089660,0.06161716,3818,0.38180000,8
37,922746977,220,24,2, ,9,4520,1236,0.47030611,0.06890274,2484,0.24840000,116
38,2172650588,518,279,1, at, the,4319,1075,0.27665019,0.02516886,3441,0.34410000,25
39,62914621,15,15,2,0,0,4298,1034,0.36920757,0.05918065,2095,0.20950000,115
40,1321206816,315,264,1, of, a,4167,1130,0.11804011,0.06055566,3478,0.34780000,18
41,1799357532,429,279,1, that, the,4130,1105,0.10537699,0.04710230,3169,0.31690000,9
42,2113930332,504,279,1, from, the,4124,1100,0.26928955,0.04402099,3457,0.34570000,6
43,1107297518,264,315,3, a, of,4055,1063,0.11426766,0.02667879,3542,0.35420000,7
44,922763288,220,4102,1, , ,4017,1236,0.37332341,0.18687938,806,0.08060000,11
45,54527384,13,358,1,., I,4009,1028,0.24882979,0.00460771,1916,0.19160000,29
46,54526832,13,220,1,., ,3779,1178,0.16506348,0.19989304,1332,0.13320000,40
47,1811940824,432,374,1, it, is,3765,944,0.31705466,0.01784260,2943,0.29430000,16
48,922746945,220,16,2, ,1,3696,999,0.27689486,0.05728272,2474,0.24740000,55
49,6345985728,1513,944,1, don,'t,3672,821,0.78534422,0.13243427,2405,0.24050000,42
50,922746956,220,19,1, ,4,3563,1006,0.42455852,0.10091356,2680,0.26800000,37
51,1811941704,432,594,1, it,'s,3532,876,0.41241522,0.02871909,2264,0.22640000,16
52,54530288,13,1084,1,., It,3469,783,0.44403341,0.12295458,2448,0.24480000,23
53,46137413,11,17,2,",",2,3466,834,0.15265787,0.05898869,2722,0.27220000,170
54,922746960,220,20,1, ,5,3449,854,0.40215171,0.03037404,2507,0.25070000,39
