key,kind,left_pattern_id,right_pattern_id,gap_bucket,left_pattern,right_pattern,train_support,valid_support,npmi,heldout_log_rate_diff,document_count,document_coverage
524354,self,8,8,2,'0' --d=1--> '0','0' --d=1--> '0',225,50,0.12997032,0.13854302,181,0.01810000
2883938,self,44,44,2,' ' --d=1--> '\xa0',' ' --d=1--> '\xa0',193,61,0.36574380,0.21371805,125,0.01250000
2097410,self,32,32,2,' ' --d=1--> ' ',' ' --d=1--> ' ',140,51,0.26012583,0.35571759,128,0.01280000
1114370,hetero,17,32,2,' ' --d=2--> '.',' ' --d=1--> ' ',140,42,0.25178608,0.16156157,128,0.01280000
2097290,hetero,32,17,2,' ' --d=1--> ' ',' ' --d=2--> '.',138,30,0.25136350,0.16052193,118,0.01180000
2097408,self,32,32,0,' ' --d=1--> ' ',' ' --d=1--> ' ',120,29,0.29689892,0.05466154,91,0.00910000
2555970,hetero,39,8,2,'0' --d=2--> '0','0' --d=1--> '0',118,34,0.16192015,0.12121028,108,0.01080000
524352,self,8,8,0,'0' --d=1--> '0','0' --d=1--> '0',118,24,0.12695529,0.22709642,122,0.01220000
524602,hetero,8,39,2,'0' --d=1--> '0','0' --d=2--> '0',117,26,0.16217281,0.13854302,101,0.01010000
524355,self,8,8,3,'0' --d=1--> '0','0' --d=1--> '0',110,25,0.17431269,0.11607016,106,0.01060000
2883937,self,44,44,1,' ' --d=1--> '\xa0',' ' --d=1--> '\xa0',105,25,0.38324858,0.06955015,88,0.00880000
3015026,self,46,46,2,'.' --d=1--> ' ','.' --d=1--> ' ',105,30,0.25742345,0.11277141,88,0.00880000
1245336,self,19,19,0,' ' --d=3--> '.',' ' --d=3--> '.',99,28,0.22705356,0.10261904,94,0.00940000
524353,self,8,8,1,'0' --d=1--> '0','0' --d=1--> '0',98,30,0.11150446,0.18176428,115,0.01150000
2424858,hetero,37,3,2,' ' --d=2--> '9',' ' --d=1--> '1',97,26,0.10147133,0.04891994,107,0.01070000
3801554,self,58,58,2,'.' --d=1--> '\xa0','.' --d=1--> '\xa0',96,43,0.30335781,0.56238630,98,0.00980000
1835066,hetero,28,7,2,'2' --d=2--> '1','2' --d=1--> '0',95,25,0.11909178,0.03053331,103,0.01030000
2097304,hetero,32,19,0,' ' --d=1--> ' ',' ' --d=3--> '.',91,30,0.24183408,0.25587225,95,0.00950000
1114368,hetero,17,32,0,' ' --d=2--> '.',' ' --d=1--> ' ',90,24,0.22624212,0.04377854,84,0.00840000
1245440,hetero,19,32,0,' ' --d=3--> '.',' ' --d=1--> ' ',89,27,0.22994065,0.17273487,81,0.00810000
2228290,hetero,34,8,2,'2' --d=2--> '0','0' --d=1--> '0',89,25,0.12146301,0.09577383,93,0.00930000
2097306,hetero,32,19,2,' ' --d=1--> ' ',' ' --d=3--> '.',85,28,0.29115038,0.25508763,76,0.00760000
2097305,hetero,32,19,1,' ' --d=1--> ' ',' ' --d=3--> '.',85,23,0.27613451,0.05837734,83,0.00830000
1245442,hetero,19,32,2,' ' --d=3--> '.',' ' --d=1--> ' ',84,30,0.28990593,0.33591496,85,0.00850000
2097288,hetero,32,17,0,' ' --d=1--> ' ',' ' --d=2--> '.',84,26,0.22305789,0.19281412,89,0.00890000
2883939,self,44,44,3,' ' --d=1--> '\xa0',' ' --d=1--> '\xa0',83,38,0.37180175,0.58427993,72,0.00720000
2883936,self,44,44,0,' ' --d=1--> '\xa0',' ' --d=1--> '\xa0',83,27,0.36731439,0.24253063,72,0.00720000
458811,self,7,7,3,'2' --d=1--> '0','2' --d=1--> '0',82,18,0.13379750,0.15081311,75,0.00750000
459026,hetero,7,34,2,'2' --d=1--> '0','2' --d=2--> '0',82,16,0.11334895,0.26859615,89,0.00890000
