key,kind,left_pattern_id,right_pattern_id,gap_bucket,left_pattern,right_pattern,train_support,valid_support,npmi,heldout_log_rate_diff,document_count,document_coverage
327888,hetero,5,26,0,' ' --d=1--> '2','0' --d=1--> '1',3503,851,0.47208773,0.04942852,2520,0.25200000
327744,hetero,5,8,0,' ' --d=1--> '2','0' --d=1--> '0',3048,675,0.36929856,0.14199385,2050,0.20500000
1376312,hetero,21,7,0,"',' --d=1--> ' '",'2' --d=1--> '0',2918,686,0.44923718,0.08224173,2359,0.23590000
1376480,hetero,21,28,0,"',' --d=1--> ' '",'2' --d=2--> '1',1625,387,0.40794411,0.06930403,1470,0.14700000
3473616,hetero,53,26,0,"',' --d=2--> '2'",'0' --d=1--> '1',1620,389,0.47015126,0.06106771,1464,0.14640000
1376465,hetero,21,26,1,"',' --d=1--> ' '",'0' --d=1--> '1',1619,385,0.43181525,0.07078624,1464,0.14640000
1376321,hetero,21,8,1,"',' --d=1--> ' '",'0' --d=1--> '0',1245,281,0.33098082,0.12300176,926,0.09260000
1376528,hetero,21,34,0,"',' --d=1--> ' '",'2' --d=2--> '0',1213,268,0.38630213,0.14433055,886,0.08860000
3473472,hetero,53,8,0,"',' --d=2--> '2'",'0' --d=1--> '0',1206,268,0.34768491,0.13854302,878,0.08780000
196650,hetero,3,5,2,' ' --d=1--> '1',' ' --d=1--> '2',1206,268,0.21289893,0.13854302,1090,0.10900000
196658,hetero,3,6,2,' ' --d=1--> '1',' ' --d=2--> '0',1135,247,0.23634416,0.15946522,1031,0.10310000
327722,self,5,5,2,' ' --d=1--> '2',' ' --d=1--> '2',1133,280,0.21405212,0.03230028,1079,0.10790000
196666,hetero,3,7,2,' ' --d=1--> '1','2' --d=1--> '0',1121,263,0.19089644,0.08428801,1036,0.10360000
327730,hetero,5,6,2,' ' --d=1--> '2',' ' --d=2--> '0',1101,272,0.24277860,0.03263769,1053,0.10530000
