condition,optimizer,loss,batch,batch_size,lr,seed,first_stable_all_examples_full_accuracy_step,first_stable_all_groups_full_accuracy_step,first_stable_internal_accuracy_step,step1_hidden_grad_top1_energy,step1_hidden_grad_effective_rank,step1_hidden_grad_condition_nonzero,step1_hidden_update_top1_energy,step1_hidden_update_effective_rank,step1_hidden_update_condition_nonzero,final_population_raw_loss,final_population_reweighted_loss,final_all_accuracy,final_common_accuracy,final_tail_accuracy,final_internal_accuracy,final_common_loss,final_tail_loss,final_A_group_accuracy,final_B_group_accuracy,final_C_group_accuracy,final_D_group_accuracy,final_all_groups_full_accuracy,final_all_examples_full_accuracy,final_Bqk_norm,final_to_K_accuracy,final_to_K_loss,final_from_K_accuracy,final_from_K_loss,final_internal_loss,final_E_top1_energy,final_E_effective_rank,final_E_condition_nonzero,final_Bqk_top1_energy,final_Bqk_effective_rank,final_Bqk_condition_nonzero,final_Q_out_top1_energy,final_Q_out_effective_rank,final_Q_out_condition_nonzero,final_Final_h_top1_energy,final_Final_h_effective_rank,final_Final_h_condition_nonzero,final_batch_unique_fraction,final_batch_tail_fraction,final_batch_internal_fraction,final_hidden_grad_top1_energy,final_hidden_grad_effective_rank,final_hidden_grad_condition_nonzero,final_hidden_update_top1_energy,final_hidden_update_effective_rank,final_hidden_update_condition_nonzero,final_E_grad_top1_energy,final_E_grad_effective_rank,final_E_grad_condition_nonzero,final_E_update_top1_energy,final_E_update_effective_rank,final_E_update_condition_nonzero
withK_uniform,adam,raw,population,0,0.03,0,93,93,32,0.34461668133735657,3.362048625946045,3.062157392501831,0.4525012671947479,3.5569651126861572,1.8988409042358398,0.019959811121225357,0.022731591016054153,1.0,1.0,1.0,1.0,0.008031930774450302,0.023935770615935326,1.0,1.0,1.0,1.0,1.0,1.0,45.64456558227539,1.0,0.0005573781090788543,1.0,0.020209526643157005,0.03886280953884125,0.7696624398231506,2.189929723739624,3.95828914642334,0.9999786615371704,1.0002533197402954,3684.6728515625,0.9992287755012512,1.0068527460098267,267.9195251464844,0.5018060803413391,2.993290424346924,3.5430102348327637,1.0,1.0,1.0,0.5948693752288818,2.363158941268921,13.453095436096191,0.5933699011802673,2.6034374237060547,6.924952983856201,0.9151492714881897,1.451744556427002,8.170370101928711,0.8960369229316711,1.5179320573806763,12.724119186401367
withK_uniform,adam,raw,population,0,0.03,1,108,108,34,0.3565521240234375,3.3525619506835938,3.102308511734009,0.45216143131256104,3.557861089706421,1.8981438875198364,0.01524398848414421,0.017386674880981445,1.0,1.0,1.0,1.0,0.004433335270732641,0.018847540020942688,1.0,1.0,1.0,1.0,1.0,1.0,35.28509521484375,1.0,0.0002451807667966932,1.0,0.015285203233361244,0.030160365626215935,0.7086246609687805,2.509310722351074,3.013333559036255,0.999973714351654,1.000325083732605,804.317626953125,0.9984486103057861,1.0131348371505737,64.56282806396484,0.37585097551345825,3.5207061767578125,2.3505005836486816,1.0,1.0,1.0,0.8045442700386047,1.948824167251587,6.185031414031982,0.762622594833374,2.105482339859009,7.681267738342285,0.8627365231513977,1.6686255931854248,12.007935523986816,0.8571016192436218,1.7233576774597168,7.412107467651367
withK_uniform,adam,raw,population,0,0.03,2,83,83,34,0.3900187015533447,3.3532989025115967,3.1486971378326416,0.5370234251022339,3.2678654193878174,2.0649030208587646,0.006926857866346836,0.007898171432316303,1.0,1.0,1.0,1.0,0.0035463464446365833,0.008053693920373917,1.0,1.0,1.0,1.0,1.0,1.0,40.35556411743164,1.0,0.00012766162399202585,1.0,0.0069937147200107574,0.013592338189482689,0.7060189247131348,2.5259017944335938,2.9263083934783936,0.9999688863754272,1.000361680984497,19675.583984375,0.9993087649345398,1.0060956478118896,598.9885864257812,0.42259740829467773,3.3819937705993652,2.6257238388061523,1.0,1.0,1.0,0.665785014629364,2.6163177490234375,3.360179901123047,0.6824771165847778,2.514909505844116,4.660606384277344,0.8508581519126892,1.7297401428222656,6.317533016204834,0.8254331946372986,1.8695954084396362,7.073126316070557
withK_uniform,adam,raw,64,64,0.03,0,,,,0.36122941970825195,3.6214678287506104,1.8667323589324951,0.3396763205528259,3.7504401206970215,1.4521197080612183,0.4772760570049286,0.5376142859458923,0.8125,0.75,0.8333333134651184,0.5,0.24889297783374786,0.5534037947654724,0.75,0.75,0.75,1.0,0.0,0.0,85.54035186767578,1.0,0.05490874499082565,0.875,0.2275591790676117,1.3990771770477295,0.5870121717453003,3.0475449562072754,2.533078908920288,0.9999642968177795,1.000402808189392,4166.10107421875,0.9995009303092957,1.0045925378799438,283.8555603027344,0.5591304898262024,2.7163166999816895,8.59760856628418,1.0,0.78125,0.3125,0.8634005188941956,1.612319827079773,15.621979713439941,0.6180970668792725,2.874753952026367,3.0809547901153564,0.672239363193512,2.1908459663391113,9.723224639892578,0.6262482404708862,2.5657756328582764,4.383974552154541
withK_uniform,adam,raw,64,64,0.03,1,197,197,169,0.6717692613601685,2.599673271179199,3.845710277557373,0.45436301827430725,3.3094258308410645,2.952056646347046,0.004621865227818489,0.00516938092187047,1.0,1.0,1.0,1.0,0.0034276715014129877,0.005019929725676775,1.0,1.0,1.0,1.0,1.0,1.0,9.72598648071289,1.0,0.000789256882853806,1.0,0.007606194354593754,0.002485815202817321,0.4634833037853241,3.575908660888672,1.7473063468933105,0.9997361898422241,1.0025391578674316,2904.404541015625,0.9981957674026489,1.0144190788269043,305.3218994140625,0.5253491997718811,2.6518971920013428,5.862277030944824,1.0,0.796875,0.265625,0.651764988899231,2.564343214035034,5.62253475189209,0.5643705725669861,2.9531619548797607,3.3841848373413086,0.6103839874267578,2.7317733764648438,3.44701886177063,0.7850000262260437,2.023268699645996,8.03607177734375
withK_uniform,adam,raw,64,64,0.03,2,78,78,78,0.3925173878669739,3.3522396087646484,2.5288209915161133,0.3831077814102173,3.7691376209259033,1.6209956407546997,0.0007150824530981481,0.000780280795879662,1.0,1.0,1.0,1.0,0.00033642604830674827,0.0008413012255914509,1.0,1.0,1.0,1.0,1.0,1.0,19.188310623168945,1.0,0.00025869475211948156,1.0,0.000771328981500119,0.001058977097272873,0.47345244884490967,3.533968210220337,1.8735930919647217,0.9997304677963257,1.0026921033859253,496.8348693847656,0.9946177005767822,1.0387547016143799,53.994415283203125,0.8016210198402405,1.8757455348968506,13.54891300201416,1.0,0.703125,0.21875,0.4515577256679535,3.501824378967285,2.190411329269409,0.6269278526306152,2.7934868335723877,3.630666494369507,0.5759643316268921,3.0525496006011963,2.8370790481567383,0.64348304271698,2.7994587421417236,2.8467252254486084
withK_uniform,adam,raw,16,16,0.03,0,,,240,0.8532410264015198,1.6876357793807983,20.945711135864258,0.375995397567749,3.8248376846313477,1.4229340553283691,0.1849622130393982,0.19755861163139343,0.9375,0.75,1.0,0.75,0.48535338044166565,0.08483181148767471,0.75,1.0,1.0,1.0,0.0,0.0,41.05814743041992,1.0,0.09678743779659271,1.0,0.15384620428085327,0.33536896109580994,0.5316561460494995,3.202854633331299,2.712634563446045,0.9992222189903259,1.0064687728881836,1106.9205322265625,0.9929853081703186,1.0454355478286743,133.34799194335938,0.7669908404350281,1.9792768955230713,19.651872634887695,0.6875,0.8125,0.375,0.8816688656806946,1.5854805707931519,12.444210052490234,0.8390849828720093,1.7705382108688354,7.221723556518555,0.893864095211029,1.4951481819152832,18.29474449157715,0.6868388056755066,2.43966007232666,5.649352073669434
withK_uniform,adam,raw,16,16,0.03,1,152,152,152,0.7110534310340881,2.2164664268493652,8.295308113098145,0.397489070892334,3.639127731323242,1.9120843410491943,0.01887296512722969,0.02071746066212654,1.0,1.0,1.0,1.0,0.0634581670165062,0.004011229611933231,1.0,1.0,1.0,1.0,1.0,1.0,27.58578109741211,1.0,0.005961495917290449,1.0,0.0030745449475944042,0.06338126957416534,0.5082005262374878,3.406057834625244,1.9800699949264526,0.9983846545219421,1.0122259855270386,246608.8125,0.9897630214691162,1.0618244409561157,1289.4833984375,0.7057916522026062,2.282106876373291,10.304408073425293,0.6875,0.6875,0.3125,0.9644941091537476,1.1663384437561035,227.9510040283203,0.8382498621940613,1.7097982168197632,11.044513702392578,0.9538324475288391,1.2061545848846436,234.73207092285156,0.7955257296562195,1.986585259437561,6.843134880065918
withK_uniform,adam,raw,16,16,0.03,2,178,178,112,0.6404017210006714,2.7721123695373535,3.3337810039520264,0.34445101022720337,3.8295419216156006,1.489894986152649,0.029070429503917694,0.026117196306586266,1.0,1.0,1.0,1.0,0.02998034469783306,0.028767123818397522,1.0,1.0,1.0,1.0,1.0,1.0,28.98463249206543,1.0,0.049743056297302246,1.0,0.015723219141364098,0.03509221971035004,0.6567029356956482,2.7040491104125977,3.4322547912597656,0.9910659193992615,1.053806185722351,9674.7685546875,0.8821567893028259,1.4818241596221924,51.19409942626953,0.7422947883605957,2.0970277786254883,9.179649353027344,0.5625,0.6875,0.4375,0.930618405342102,1.353793978691101,13.523000717163086,0.9204037189483643,1.3949205875396729,15.5391263961792,0.9286697506904602,1.3672096729278564,11.607617378234863,0.8554733395576477,1.7337936162948608,7.296975612640381
withK_uniform,muon,raw,population,0,0.03,0,79,79,76,0.34461668133735657,3.362048625946045,3.062157392501831,0.34974539279937744,3.83491849899292,1.4106035232543945,0.0009336460498161614,0.0009102232288569212,1.0,1.0,1.0,1.0,0.0006388530600816011,0.0010319104185327888,1.0,1.0,1.0,1.0,1.0,1.0,47.28689956665039,1.0,0.0010976060293614864,1.0,6.988539098529145e-06,0.0026230011135339737,0.6707448363304138,2.6005260944366455,3.331569194793701,0.6078310012817383,2.3772802352905273,8.489776611328125,0.6975260376930237,2.2372636795043945,7.126298427581787,0.5283489227294922,2.8512558937072754,7.868257522583008,1.0,1.0,1.0,0.7713833451271057,2.1006455421447754,5.45663595199585,0.39505869150161743,3.7397618293762207,1.6061457395553589,0.5692358016967773,3.0670957565307617,2.8503477573394775,0.620045006275177,2.794276237487793,3.1722259521484375
