dim,sharing,objective,runs,mean_first_stable_the_step,median_first_stable_the_step,successes_first_stable_the_step,mean_first_stable_a_step,median_first_stable_a_step,successes_first_stable_a_step,mean_first_stable_cake_step,median_first_stable_cake_step,successes_first_stable_cake_step,mean_first_stable_all_step,median_first_stable_all_step,successes_first_stable_all_step,mean_cake_pattern_exposure_at_stable,median_cake_pattern_exposure_at_stable,mean_final_the_bayes_gap,median_final_the_bayes_gap,mean_final_a_bayes_gap,median_final_a_bayes_gap,mean_final_cake_loss,median_final_cake_loss,mean_final_Bqk_top1_energy,median_final_Bqk_top1_energy,mean_final_Bvo_top1_energy,median_final_Bvo_top1_energy,mean_final_embedding_centered_top1_energy,median_final_embedding_centered_top1_energy,mean_final_rep_macro_top1_energy,median_final_rep_macro_top1_energy,mean_final_rep_weighted_top1_energy,median_final_rep_weighted_top1_energy,mean_final_tail_common_energy_fraction,median_final_tail_common_energy_fraction,mean_final_tail_contrast_common_energy_fraction,median_final_tail_contrast_common_energy_fraction,mean_final_common_only_cake_loss,median_final_common_only_cake_loss,mean_final_residual_only_cake_loss,median_final_residual_only_cake_loss,mean_final_cos_cake_moon_tail,median_final_cos_cake_moon_tail,mean_final_cos_cake_banana,median_final_cos_cake_banana,mean_final_cos_cake_fruit,median_final_cos_cake_fruit,mean_final_cos_cake_sun,median_final_cos_cake_sun,mean_final_cos_context_highmoon_tailmoon,median_final_cos_context_highmoon_tailmoon,mean_converged_Bqk_top1_energy,median_converged_Bqk_top1_energy,mean_converged_Bvo_top1_energy,median_converged_Bvo_top1_energy,mean_converged_embedding_centered_top1_energy,median_converged_embedding_centered_top1_energy,mean_converged_rep_macro_top1_energy,median_converged_rep_macro_top1_energy,mean_converged_rep_weighted_top1_energy,median_converged_rep_weighted_top1_energy,mean_converged_tail_common_energy_fraction,median_converged_tail_common_energy_fraction,mean_converged_tail_contrast_common_energy_fraction,median_converged_tail_contrast_common_energy_fraction,mean_converged_common_only_cake_loss,median_converged_common_only_cake_loss,mean_converged_residual_only_cake_loss,median_converged_residual_only_cake_loss
8,shared,zipf_raw,5,30.0,20.0,5,98.0,90.0,5,96.0,90.0,5,98.0,90.0,5,96.0,90.0,0.0008026361465454102,3.844499588012695e-05,0.0008730173110961914,0.0007654428482055664,0.0004774743643793045,0.00010985312837874517,0.8390257835388184,0.978271484375,0.8287008881568909,0.8557338714599609,0.6923648834228515,0.6811245679855347,0.9618747234344482,0.9683952331542969,0.9479300618171692,0.9649704694747925,0.8681524634361267,0.9093424677848816,0.9137948870658874,0.9730464220046997,1.907856710384658,0.12981052696704865,0.8158177877332491,0.634257972240448,0.3164184704422951,0.37255236506462097,0.07236064225435257,0.07493580132722855,0.07992402613162994,0.16465355455875397,-0.3319347143173218,-0.4450034499168396,0.9534414410591125,0.9999674558639526,0.8553683996200562,0.9794129729270935,0.8264476895332337,0.8528034090995789,0.6727635979652404,0.6857311725616455,0.9753481984138489,0.971703290939331,0.976030457019806,0.9805904030799866,0.8662076473236084,0.8593087792396545,0.926589834690094,0.9779082536697388,1.3352181487789494,0.39287176728248596,0.8964923763182014,0.09848781675100327
8,shared,uniform_raw,5,34.0,30.0,5,38.0,40.0,5,28.0,30.0,5,40.0,40.0,5,84.0,90.0,0.0006383538246154785,0.0005255937576293945,0.00014276504516601561,0.0001392364501953125,2.1060185190435733e-06,2.5431218091398478e-06,0.8860978603363037,0.9225039482116699,0.7167076110839844,0.738435685634613,0.5950913310050965,0.5929393768310547,0.9389129877090454,0.9520087838172913,0.958927309513092,0.9721912145614624,0.9025931358337402,0.911374032497406,0.46153571680188177,0.5233845114707947,0.0030990347266197206,0.0,6.522146028280258,6.3093037605285645,0.08647937476634979,-0.0486813485622406,0.4243370473384857,0.43377113342285156,0.422054386138916,0.41605934500694275,-0.5697695396840572,-0.7565771341323853,0.9999998331069946,1.0,0.8478890538215638,0.8996022343635559,0.7371612548828125,0.7524794340133667,0.6528867244720459,0.6528082489967346,0.9483319997787476,0.9627442955970764,0.9609048008918762,0.9756832718849182,0.931104862689972,0.9316729307174683,0.5079976499080658,0.5306136012077332,0.0005373171841100089,0.0,5.660968780517578,6.658968448638916
8,shared,zipf_reweight,5,34.0,30.0,5,38.0,40.0,5,28.0,30.0,5,40.0,40.0,5,28.0,30.0,0.0006383538246154785,0.0005255937576293945,0.00014276504516601561,0.0001392364501953125,2.1060185190435733e-06,2.5431218091398478e-06,0.8860978603363037,0.9225039482116699,0.7167076110839844,0.738435685634613,0.5950913310050965,0.5929393768310547,0.9389129877090454,0.9520087838172913,0.958927309513092,0.9721912145614624,0.9025931358337402,0.911374032497406,0.46153571680188177,0.5233845114707947,0.0030990347266197206,0.0,6.522146028280258,6.3093037605285645,0.08647937476634979,-0.0486813485622406,0.4243370473384857,0.43377113342285156,0.422054386138916,0.41605934500694275,-0.5697695396840572,-0.7565771341323853,0.9999998331069946,1.0,0.8478890538215638,0.8996022343635559,0.7371612548828125,0.7524794340133667,0.6528867244720459,0.6528082489967346,0.9483319997787476,0.9627442955970764,0.9609048008918762,0.9756832718849182,0.931104862689972,0.9316729307174683,0.5079976499080658,0.5306136012077332,0.0005373171841100089,0.0,5.660968780517578,6.658968448638916
8,split,zipf_raw,5,20.0,20.0,5,54.0,50.0,5,32.0,30.0,5,54.0,50.0,5,32.0,30.0,7.128715515136718e-06,3.337860107421875e-06,4.789829254150391e-05,4.4226646423339844e-05,9.369798590341816e-06,1.0251937965222169e-05,0.9860779762268066,0.9902289509773254,0.8822672009468079,0.8928154110908508,0.7142160654067993,0.7030108571052551,0.9915383577346801,0.9935000538825989,0.9724137663841248,0.9749606251716614,0.9834442615509034,0.9834717512130737,0.3002357998979278,0.2236482799053192,9.536740890325745e-08,0.0,9.110889530181884,10.292275428771973,0.5068358898162841,0.5130830407142639,0.49897658824920654,0.4877471327781677,0.5028466522693634,0.4923989772796631,-0.7481509923934937,-0.7374190092086792,-0.9901687622070312,-0.9911046624183655,0.9849613189697266,0.9900806546211243,0.9450794219970703,0.9476463794708252,0.7838025450706482,0.7662141919136047,0.9967728734016419,0.9974304437637329,0.9897853255271911,0.9914538264274597,0.9952985048294067,0.9957090616226196,0.4826137781143188,0.551065981388092,7.182932636169425e-05,1.4384483620233368e-05,4.303370332717895,4.018903732299805
8,split,uniform_raw,5,20.0,20.0,5,32.0,30.0,5,30.0,30.0,5,32.0,30.0,5,90.0,90.0,1.2755393981933593e-06,7.152557373046875e-07,1.587867736816406e-05,1.3232231140136719e-05,6.198878338636859e-07,3.973641753418633e-07,0.9787900924682618,0.9801392555236816,0.8566464304924011,0.8509654998779297,0.6832765936851501,0.6632370948791504,0.9834975004196167,0.9885995984077454,0.9306580781936645,0.9345338344573975,0.9882691860198974,0.9907761812210083,0.49834018349647524,0.5417681336402893,1.9350701768416913e-05,0.0,6.267116391658783,6.847431182861328,0.4714595913887024,0.5463482737541199,0.46622779965400696,0.5349143743515015,0.44757349491119386,0.5664930939674377,-0.586858582496643,-0.5728693008422852,-0.9921838998794555,-0.9938815832138062,0.9586889266967773,0.975143551826477,0.9156247138977051,0.920587420463562,0.7472835063934327,0.7463919520378113,0.9920331358909606,0.9910321831703186,0.9718855738639831,0.9638203382492065,0.9922467947006226,0.9937921166419983,0.6199941813945771,0.6004932522773743,0.0007796227393555455,0.0007228180184029043,2.1678355813026426,1.8971824645996094
8,split,zipf_reweight,5,20.0,20.0,5,32.0,30.0,5,30.0,30.0,5,32.0,30.0,5,30.0,30.0,1.2755393981933593e-06,7.152557373046875e-07,1.587867736816406e-05,1.3232231140136719e-05,6.198878338636859e-07,3.973641753418633e-07,0.9787900924682618,0.9801392555236816,0.8566464304924011,0.8509654998779297,0.6832765936851501,0.6632370948791504,0.9834975004196167,0.9885995984077454,0.9306580781936645,0.9345338344573975,0.9882691860198974,0.9907761812210083,0.49834018349647524,0.5417681336402893,1.9350701768416913e-05,0.0,6.267116391658783,6.847431182861328,0.4714595913887024,0.5463482737541199,0.46622779965400696,0.5349143743515015,0.44757349491119386,0.5664930939674377,-0.586858582496643,-0.5728693008422852,-0.9921838998794555,-0.9938815832138062,0.9586889266967773,0.975143551826477,0.9156247138977051,0.920587420463562,0.7472835063934327,0.7463919520378113,0.9920331358909606,0.9910321831703186,0.9718855738639831,0.9638203382492065,0.9922467947006226,0.9937921166419983,0.6199941813945771,0.6004932522773743,0.0007796227393555455,0.0007228180184029043,2.1678355813026426,1.8971824645996094
16,shared,zipf_raw,5,16.0,10.0,5,110.0,120.0,5,86.0,90.0,5,110.0,120.0,5,86.0,90.0,0.003269040584564209,0.00012087821960449219,0.009650492668151855,0.002907395362854004,0.0008014640887267887,0.000833938829600811,0.9830357193946838,0.9837098717689514,0.8705636382102966,0.867570161819458,0.7932780981063843,0.8429785370826721,0.9439152956008912,0.950120210647583,0.900061559677124,0.9077735543251038,0.8557858228683471,0.8673762083053589,0.9735151171684265,0.9688168168067932,3.572499217861332,3.8012406826019287,0.282256934893212,2.0423898604349233e-05,0.38905511498451234,0.4437348544597626,-0.052431917190551756,-0.13532871007919312,-0.06415959298610688,-0.1371120810508728,-0.19170869141817093,-0.1396978497505188,0.814033854007721,0.7859749794006348,0.9835907816886902,0.9841458797454834,0.865043556690216,0.8507867455482483,0.7183048963546753,0.7237601280212402,0.9620610117912293,0.9625102281570435,0.9252122640609741,0.9248122572898865,0.8781710505485535,0.8873980641365051,0.9815879821777344,0.9839326739311218,6.016969263204373,8.1766996383667,0.20918118928093463,0.003985022194683552
16,shared,uniform_raw,5,44.0,40.0,5,32.0,30.0,5,20.0,20.0,5,46.0,40.0,5,60.0,60.0,0.0008520126342773437,0.00016695261001586914,0.0004610300064086914,0.0004557371139526367,0.0,0.0,0.8410059571266174,0.9180135130882263,0.8138015389442443,0.779706597328186,0.56563481092453,0.5793302655220032,0.9799508810043335,0.9863361716270447,0.97910236120224,0.9867374300956726,0.9741678476333618,0.9848354458808899,0.6848485641181469,0.8802163600921631,0.0,0.0,3.964871335029602,4.220466136932373,-0.046890507265925405,-0.004469117149710655,0.41399713754653933,0.37188655138015747,0.39688620567321775,0.3469235301017761,-0.60741808116436,-0.6822916269302368,0.9999938607215881,0.9999994039535522,0.8324893593788147,0.9106725454330444,0.8125866532325745,0.7814766764640808,0.6315917491912841,0.6130144596099854,0.9798977613449097,0.9919681549072266,0.9764190196990967,0.9946788549423218,0.9710513830184937,0.9858718514442444,0.7354083267971874,0.9063008427619934,0.0,0.0,6.103850173950195,4.929195880889893
16,shared,zipf_reweight,5,44.0,40.0,5,32.0,30.0,5,20.0,20.0,5,46.0,40.0,5,20.0,20.0,0.0008520126342773437,0.00016695261001586914,0.0004610300064086914,0.0004557371139526367,0.0,0.0,0.8410059571266174,0.9180135130882263,0.8138015389442443,0.779706597328186,0.56563481092453,0.5793302655220032,0.9799508810043335,0.9863361716270447,0.97910236120224,0.9867374300956726,0.9741678476333618,0.9848354458808899,0.6848485641181469,0.8802163600921631,0.0,0.0,3.964871335029602,4.220466136932373,-0.046890507265925405,-0.004469117149710655,0.41399713754653933,0.37188655138015747,0.39688620567321775,0.3469235301017761,-0.60741808116436,-0.6822916269302368,0.9999938607215881,0.9999994039535522,0.8324893593788147,0.9106725454330444,0.8125866532325745,0.7814766764640808,0.6315917491912841,0.6130144596099854,0.9798977613449097,0.9919681549072266,0.9764190196990967,0.9946788549423218,0.9710513830184937,0.9858718514442444,0.7354083267971874,0.9063008427619934,0.0,0.0,6.103850173950195,4.929195880889893
16,split,zipf_raw,5,10.0,10.0,5,40.0,40.0,5,24.0,20.0,5,40.0,40.0,5,24.0,20.0,3.0446052551269532e-05,8.881092071533203e-06,2.9325485229492188e-05,2.944469451904297e-05,3.0994384445648395e-07,7.947285496356926e-08,0.973359739780426,0.9719423055648804,0.8834785699844361,0.8995679616928101,0.7348569154739379,0.7205735445022583,0.9929885387420654,0.9944116473197937,0.9730739951133728,0.9676454663276672,0.9792428970336914,0.9902151823043823,0.5633551865816117,0.4776625335216522,0.0,0.0,10.297482204437255,10.889083862304688,0.5545124053955078,0.5297897458076477,0.56071697473526,0.5404444336891174,0.5372483134269714,0.5401147603988647,-0.7858968257904053,-0.7741590142250061,-0.9882881283760071,-0.9945709705352783,0.965292775630951,0.966884970664978,0.9379069209098816,0.9341625571250916,0.7799100160598755,0.7675713300704956,0.995771861076355,0.9958817362785339,0.9847474694252014,0.9904444813728333,0.9940749645233155,0.9956425428390503,0.5922061085700989,0.716320276260376,1.6212418074701418e-06,4.3710065256163944e-07,4.711516284942627,4.152228832244873
