dim,variant,lr,successes,num_seeds,median_first_stable_tail_step,mean_final_tail_loss,mean_final_the_retention_gap
8,common_oracle,0.003,0,10,,0.9364324152469635,2.289414405822754e-05
8,common_oracle,0.01,8,10,792.5,0.5880891025066376,2.289414405822754e-05
8,common_oracle,0.03,10,10,285.0,0.5500218629837036,2.289414405822754e-05
8,common_oracle,0.1,10,10,102.5,0.5494724333286285,2.289414405822754e-05
8,common_oracle,0.3,10,10,62.5,0.5493322670459747,2.289414405822754e-05
8,common_oracle,1.0,10,10,67.5,0.5494006454944611,2.289414405822754e-05
8,full_output_oracle,0.003,0,10,,0.7362561285495758,2.289414405822754e-05
8,full_output_oracle,0.01,10,10,520.0,0.5510986268520355,2.289414405822754e-05
8,full_output_oracle,0.03,10,10,210.0,0.5495290994644165,2.289414405822754e-05
8,full_output_oracle,0.1,10,10,87.5,0.5493558883666992,2.289414405822754e-05
8,full_output_oracle,0.3,10,10,55.0,0.5493507862091065,2.289414405822754e-05
8,full_output_oracle,1.0,10,10,80.0,0.5493101060390473,2.289414405822754e-05
8,residual_oracle,0.003,0,10,,4.843520480394363,2.289414405822754e-05
8,residual_oracle,0.01,9,10,605.0,0.5559640645980835,2.289414405822754e-05
8,residual_oracle,0.03,10,10,225.0,0.5500335395336151,2.289414405822754e-05
8,residual_oracle,0.1,10,10,90.0,0.5494304537773133,2.289414405822754e-05
8,residual_oracle,0.3,10,10,60.0,0.5498226225376129,2.289414405822754e-05
8,residual_oracle,1.0,10,10,75.0,0.5499376654624939,2.289414405822754e-05
16,common_oracle,0.003,0,10,,0.8963557779788971,5.942583084106445e-05
16,common_oracle,0.01,6,10,705.0,0.5948552250862121,5.942583084106445e-05
16,common_oracle,0.03,10,10,310.0,0.5504888951778412,5.942583084106445e-05
16,common_oracle,0.1,10,10,87.5,0.5495192050933838,5.942583084106445e-05
16,common_oracle,0.3,10,10,87.5,0.5494043588638305,5.942583084106445e-05
16,common_oracle,1.0,10,10,80.0,0.5493432462215424,5.942583084106445e-05
16,full_output_oracle,0.003,6,10,740.0,0.618268895149231,5.942583084106445e-05
16,full_output_oracle,0.01,10,10,332.5,0.5499642431735993,5.942583084106445e-05
16,full_output_oracle,0.03,10,10,152.5,0.5494582533836365,5.942583084106445e-05
16,full_output_oracle,0.1,10,10,65.0,0.5493370175361634,5.942583084106445e-05
16,full_output_oracle,0.3,10,10,65.0,0.5493144631385803,5.942583084106445e-05
16,full_output_oracle,1.0,10,10,167.5,0.5503150224685669,5.942583084106445e-05
16,residual_oracle,0.003,0,10,,7.702257984876633,5.942583084106445e-05
16,residual_oracle,0.01,6,10,735.0,0.6538676917552948,5.942583084106445e-05
16,residual_oracle,0.03,10,10,287.5,0.5502913594245911,5.942583084106445e-05
16,residual_oracle,0.1,10,10,105.0,0.5494464635848999,5.942583084106445e-05
16,residual_oracle,0.3,10,10,65.0,0.5501096725463868,5.942583084106445e-05
16,residual_oracle,1.0,10,10,65.0,0.5506797134876251,5.942583084106445e-05
