dim,seed,common_lr,spectral_tail_lr,common_stable_step,spectral_tail_stable_step,tail_minus_common_step
8,5,0.3,0.3,60,70,10
8,6,0.3,0.3,70,50,-20
8,7,0.3,0.3,105,55,-50
8,8,0.3,0.3,65,80,15
8,9,0.3,0.3,90,65,-25
8,10,0.3,0.3,60,50,-10
8,11,0.3,0.3,50,65,15
8,12,0.3,0.3,65,175,110
8,13,0.3,0.3,65,75,10
8,14,0.3,0.3,55,75,20
8,15,0.3,0.3,145,50,-95
8,16,0.3,0.3,75,55,-20
8,17,0.3,0.3,55,75,20
8,18,0.3,0.3,55,45,-10
8,19,0.3,0.3,50,120,70
16,5,0.3,1.0,70,65,-5
16,6,0.3,1.0,90,85,-5
16,7,0.3,1.0,90,75,-15
16,8,0.3,1.0,95,100,5
16,9,0.3,1.0,90,60,-30
16,10,0.3,1.0,60,75,15
16,11,0.3,1.0,45,75,30
16,12,0.3,1.0,135,65,-70
16,13,0.3,1.0,80,120,40
16,14,0.3,1.0,105,50,-55
16,15,0.3,1.0,95,115,20
16,16,0.3,1.0,75,65,-10
16,17,0.3,1.0,100,75,-25
16,18,0.3,1.0,95,65,-30
16,19,0.3,1.0,60,60,0
16,20,0.3,1.0,175,35,-140
16,21,0.3,1.0,80,50,-30
16,22,0.3,1.0,75,35,-40
16,23,0.3,1.0,50,80,30
16,24,0.3,1.0,80,175,95
16,25,0.3,1.0,85,55,-30
16,26,0.3,1.0,80,55,-25
16,27,0.3,1.0,70,75,5
16,28,0.3,1.0,80,90,10
16,29,0.3,1.0,55,65,10
16,30,0.3,1.0,85,60,-25
16,31,0.3,1.0,85,65,-20
16,32,0.3,1.0,130,70,-60
16,33,0.3,1.0,65,70,5
16,34,0.3,1.0,65,65,0
16,35,0.3,1.0,105,115,10
16,36,0.3,1.0,60,75,15
16,37,0.3,1.0,95,55,-40
16,38,0.3,1.0,60,55,-5
16,39,0.3,1.0,75,70,-5
16,40,0.3,1.0,60,90,30
16,41,0.3,1.0,85,60,-25
16,42,0.3,1.0,60,45,-15
16,43,0.3,1.0,65,55,-10
16,44,0.3,1.0,65,80,15
16,45,0.3,1.0,60,45,-15
16,46,0.3,1.0,85,70,-15
16,47,0.3,1.0,75,30,-45
16,48,0.3,1.0,120,75,-45
16,49,0.3,1.0,105,65,-40
