dim,seed,common_step,spectral_tail_step,full_output_step
8,5,60,70,55
8,6,70,50,55
8,7,105,55,50
8,8,65,80,50
8,9,90,65,45
8,10,60,50,60
8,11,50,65,50
8,12,65,175,50
8,13,65,75,60
8,14,55,75,55
8,15,145,50,45
8,16,75,55,35
8,17,55,75,50
8,18,55,45,45
8,19,50,120,90
8,20,75,75,70
8,21,60,50,50
8,22,65,85,50
8,23,60,55,40
8,24,60,55,45
8,25,85,55,60
8,26,55,65,60
8,27,60,70,55
8,28,65,80,45
8,29,55,65,35
8,30,95,60,50
8,31,70,80,55
8,32,75,50,45
8,33,70,55,65
8,34,85,60,40
8,35,125,70,80
8,36,75,65,50
8,37,70,55,60
8,38,115,70,60
8,39,70,70,50
8,40,95,60,50
8,41,60,70,55
8,42,100,60,55
8,43,85,45,55
8,44,75,55,55
8,45,120,50,45
8,46,45,70,55
8,47,90,50,50
8,48,70,60,60
8,49,90,95,65
16,5,70,65,55
16,6,90,85,65
16,7,90,75,55
16,8,95,100,70
16,9,90,60,75
16,10,60,75,95
16,11,45,75,70
16,12,135,65,60
16,13,80,120,55
16,14,105,50,60
16,15,95,115,55
16,16,75,65,75
16,17,100,75,70
16,18,95,65,70
16,19,60,60,70
16,20,175,35,50
16,21,80,50,80
16,22,75,35,40
16,23,50,80,85
16,24,80,175,60
16,25,85,55,60
16,26,80,55,65
16,27,70,75,40
16,28,80,90,75
16,29,55,65,55
16,30,85,60,40
16,31,85,65,65
16,32,130,70,75
16,33,65,70,60
16,34,65,65,65
16,35,105,115,55
16,36,60,75,55
16,37,95,55,90
16,38,60,55,100
16,39,75,70,95
16,40,60,90,55
16,41,85,60,70
16,42,60,45,70
16,43,65,55,60
16,44,65,80,105
16,45,60,45,55
16,46,85,70,65
16,47,75,30,60
16,48,120,75,90
16,49,105,65,60
