size,method,step,evaluation_mode,cache_capacity,is_unlimited,policy,num_sequences,sequence_length,total_expert_accesses,total_loads_including_cold,total_evictions,loads_per_100_token_layer,evictions_per_100_transitions,cache_hit_rate,load_reduction_vs_k1,switch_probability
L,baseline,352000,teacher_forced_sequence,1,0,LRU,64,2048,3670016,2939053,2937261,80.0828388759068,80.07310894863564,0.19917161124093197,0.0,0.8007310628890991
L,baseline,352000,teacher_forced_sequence,2,0,LRU,64,2048,3670016,2403121,2399537,65.47985076904297,65.4141350146556,0.3452014923095703,0.1823485319931284,0.8007310628890991
L,baseline,352000,teacher_forced_sequence,4,0,LRU,64,2048,3670016,1467424,1460256,39.984130859375,39.808255984367364,0.60015869140625,0.5007153664802915,0.8007310628890991
L,baseline,352000,teacher_forced_sequence,8,1,LRU,64,2048,3670016,14336,0,0.390625,0.0,0.99609375,0.9951222383536465,0.8007310628890991
L,proposed,352000,teacher_forced_sequence,1,0,LRU,64,2048,3670016,236701,234909,6.449590410505023,6.403889184520902,0.9355040958949498,0.0,0.06403889507055283
L,proposed,352000,teacher_forced_sequence,2,0,LRU,64,2048,3670016,119951,116370,3.2684053693498885,3.1723798764742828,0.9673159463065011,0.49323830486563214,0.06403889507055283
L,proposed,352000,teacher_forced_sequence,4,0,LRU,64,2048,3670016,52190,45209,1.4220646449497767,1.232449272454463,0.9857793535505023,0.7795108596921855,0.06403889507055283
L,proposed,352000,teacher_forced_sequence,8,1,LRU,64,2048,3670016,12184,0,0.33198765345982145,0.0,0.9966801234654018,0.9485257772463994,0.06403889507055283
M,baseline,152000,teacher_forced_sequence,1,0,LRU,64,2048,3145728,2519829,2518293,80.10320663452148,80.09348665730337,0.19896793365478516,0.0,0.8009348511695862
M,baseline,152000,teacher_forced_sequence,2,0,LRU,64,2048,3145728,2062789,2059717,65.57429631551106,65.50862669964175,0.3442570368448893,0.181377387116348,0.8009348511695862
M,baseline,152000,teacher_forced_sequence,4,0,LRU,64,2048,3145728,1256038,1249894,39.92837270100912,39.75247058703794,0.6007162729899089,0.5015383980420893,0.8009348511695862
M,baseline,152000,teacher_forced_sequence,8,1,LRU,64,2048,3145728,12288,0,0.390625,0.0,0.99609375,0.9951234786170013,0.8009348511695862
M,proposed,152000,teacher_forced_sequence,1,0,LRU,64,2048,3145728,178102,176566,5.661710103352864,5.6156239822504475,0.9433828989664713,0.0,0.05615624040365219
M,proposed,152000,teacher_forced_sequence,2,0,LRU,64,2048,3145728,89369,86299,2.8409639994303384,2.7447115188894315,0.9715903600056967,0.4982145062941461,0.05615624040365219
M,proposed,152000,teacher_forced_sequence,4,0,LRU,64,2048,3145728,37359,31393,1.1876106262207031,0.9984441153720892,0.988123893737793,0.7902381781226488,0.05615624040365219
M,proposed,152000,teacher_forced_sequence,8,1,LRU,64,2048,3145728,10092,0,0.3208160400390625,0.0,0.9967918395996094,0.943335841259503,0.05615624040365219
