size,method,step,task,metric,value
L,baseline,352000,arc_challenge,acc_norm,0.2696245733788396
L,baseline,352000,arc_easy,acc_norm,0.531986531986532
L,baseline,352000,hellaswag,acc_norm,0.4587731527584147
L,baseline,352000,lambada_openai,acc,0.48961769842810016
L,baseline,352000,piqa,acc_norm,0.6953210010881393
L,baseline,352000,race,acc,0.5056749087961087
L,baseline,352000,siqa,acc,0.4053224155578301
L,baseline,352000,winogrande,acc,0.5169692186266772
L,baseline,352000,macro_average,accuracy,0.4841611875775802
L,proposed,352000,arc_challenge,acc_norm,0.28924914675767915
L,proposed,352000,arc_easy,acc_norm,0.5521885521885522
L,proposed,352000,hellaswag,acc_norm,0.4442342162915754
L,proposed,352000,lambada_openai,acc,0.45915000970308556
L,proposed,352000,piqa,acc_norm,0.6964091403699674
L,proposed,352000,race,acc,0.5012160518848804
L,proposed,352000,siqa,acc,0.39969293756397134
L,proposed,352000,winogrande,acc,0.500394632991318
L,proposed,352000,macro_average,accuracy,0.4803168359688787
M,baseline,152000,arc_challenge,acc_norm,0.2568259385665529
M,baseline,152000,arc_easy,acc_norm,0.45454545454545453
M,baseline,152000,hellaswag,acc_norm,0.3857797251543517
M,baseline,152000,lambada_openai,acc,0.4121870754900058
M,baseline,152000,piqa,acc_norm,0.6713819368879217
M,baseline,152000,race,acc,0.49918929874341306
M,baseline,152000,siqa,acc,0.38536335721596726
M,baseline,152000,winogrande,acc,0.49329123914759276
M,baseline,152000,macro_average,accuracy,0.4448205032189075
M,proposed,152000,arc_challenge,acc_norm,0.24658703071672355
M,proposed,152000,arc_easy,acc_norm,0.47895622895622897
M,proposed,152000,hellaswag,acc_norm,0.36666002788289187
M,proposed,152000,lambada_openai,acc,0.3859887444207258
M,proposed,152000,piqa,acc_norm,0.6702937976060935
M,proposed,152000,race,acc,0.4979732468585326
M,proposed,152000,siqa,acc,0.38178096212896623
M,proposed,152000,winogrande,acc,0.516179952644041
M,proposed,152000,macro_average,accuracy,0.44305249890177545
