size,method,step,hardware,device_name,evaluation_mode,cache_capacity,is_unlimited,repeat,prompt_length,decode_tokens,elapsed_seconds,milliseconds_per_token,tokens_per_second,expert_accesses,expert_loads,expert_evictions,bytes_loaded,loads_per_100_token_layer,cache_hit_rate,loaded_gib,latency_ratio_vs_same_size_baseline_unlimited,extra_latency_fraction_vs_same_size_baseline_unlimited
L,baseline,352000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,1,0,mean,32,2048,59.312383242572345,28.961124630162278,34.53448808645349,57344.0,45664.0,45664.0,574586093568.0,79.63169642857143,0.20368303571428573,535.125,1.4204931516173238,0.4204931516173238
L,baseline,352000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,2,0,mean,32,2048,55.617322168933846,27.15689559029973,36.82796653256408,57344.0,36771.0,36771.0,462686257152.0,64.12353515625,0.3587646484375,430.91015625,1.3319988328433678,0.33199883284336784
L,baseline,352000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,4,0,mean,32,2048,49.61931362655014,24.228180481713935,41.27489025564241,57344.0,21452.0,21452.0,269928628224.0,37.40931919642858,0.6259068080357143,251.390625,1.1883504142162975,0.1883504142162975
L,baseline,352000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,8,1,mean,32,2048,41.75478296043972,20.388077617402207,49.05671243621035,57344.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
L,proposed,352000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,1,0,mean,32,2048,45.4338302227358,22.184487413445215,45.09115666721839,57344.0,3439.0,3439.0,43272634368.0,5.997140066964286,0.9400285993303571,40.30078125,1.0881107983672618,0.08811079836726177
L,proposed,352000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,2,0,mean,32,2048,43.668405061898135,21.32246340912995,46.90558014937036,57344.0,840.6666666666666,840.0,10578034688.0,1.4660063244047619,0.9853399367559524,9.8515625,1.045830009540978,0.045830009540978045
L,proposed,352000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,4,0,mean,32,2048,43.932822834700346,21.45157364975603,46.618331222083164,57344.0,87.33333333333333,65.33333333333333,1098907648.0,0.1522972470238095,0.9984770275297619,1.0234375,1.0521626438897838,0.052162643889783755
L,proposed,352000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,8,1,mean,32,2048,43.6664911226059,21.32152886845991,46.903295903424386,57344.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0457841719349232,0.045784171934923235
M,baseline,152000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,1,0,mean,32,2048,41.31563472747803,20.17364976927638,50.048561672606496,49152.0,29036.666666666668,29036.666666666668,205518274560.0,59.07524956597222,0.40924750434027773,191.40380859375,1.0718684106671539,0.07186841066715388
M,baseline,152000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,2,0,mean,32,2048,41.53387158767631,20.280210736170073,49.76099443109765,49152.0,23603.0,23603.0,167059390464.0,48.020426432291664,0.5197957356770834,155.586181640625,1.0775302187945779,0.07753021879457789
M,baseline,152000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,4,0,mean,32,2048,40.24659869354218,19.651659518331144,50.90556470080859,49152.0,12967.0,12967.0,91778973696.0,26.381429036458332,0.7361857096354166,85.475830078125,1.0441339715813458,0.0441339715813458
M,baseline,152000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,8,1,mean,32,2048,38.54543553696325,18.821013445782835,53.13241058673245,49152.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
M,proposed,152000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,1,0,mean,32,2048,39.07987558376044,19.081970499883028,52.52807140748837,49152.0,2615.0,2615.0,18508677120.0,5.320231119791667,0.9467976888020834,17.237548828125,1.0138651967308734,0.013865196730873386
M,proposed,152000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,2,0,mean,32,2048,36.567237603478134,17.855096486073307,56.01682626404854,49152.0,415.6666666666667,414.3333333333333,2942042112.0,0.845675998263889,0.9915432400173612,2.739990234375,0.9486788018885371,-0.05132119811146285
M,proposed,152000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,4,0,mean,32,2048,37.54954654971758,18.33473952622929,54.65891723016589,49152.0,56.0,36.333333333333336,396361728.0,0.11393229166666667,0.9988606770833334,0.369140625,0.9741632446651004,-0.025836755334899597
M,proposed,152000,PPU-ZW810,PPU-ZW810,autoregressive_kv_cached_decode,8,1,mean,32,2048,37.67662566434592,18.396789875168906,54.38948966248798,49152.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9774601101138375,-0.022539889886162512
