size,method,step,task,source_layer,target_layer,target_token_offset,recall_k,correct,total,recall
L,baseline,352000,same_token,0,1,0,1,8083,16384,0.49334716796875
L,baseline,352000,same_token,0,1,0,2,11319,16384,0.69085693359375
L,baseline,352000,same_token,0,1,0,4,14374,16384,0.8773193359375
L,baseline,352000,same_token,0,2,0,1,6743,16384,0.41156005859375
L,baseline,352000,same_token,0,2,0,2,9421,16384,0.57501220703125
L,baseline,352000,same_token,0,2,0,4,13187,16384,0.80487060546875
L,baseline,352000,same_token,0,3,0,1,5544,16384,0.33837890625
L,baseline,352000,same_token,0,3,0,2,8255,16384,0.50384521484375
L,baseline,352000,same_token,0,3,0,4,12407,16384,0.75726318359375
L,baseline,352000,same_token,0,4,0,1,5619,16384,0.34295654296875
L,baseline,352000,same_token,0,4,0,2,8717,16384,0.53204345703125
L,baseline,352000,same_token,0,4,0,4,12307,16384,0.75115966796875
L,baseline,352000,same_token,0,5,0,1,6219,16384,0.37957763671875
L,baseline,352000,same_token,0,5,0,2,8859,16384,0.54071044921875
L,baseline,352000,same_token,0,5,0,4,12354,16384,0.7540283203125
L,baseline,352000,same_token,0,6,0,1,7086,16384,0.4324951171875
L,baseline,352000,same_token,0,6,0,2,9412,16384,0.574462890625
L,baseline,352000,same_token,0,6,0,4,12398,16384,0.7567138671875
L,baseline,352000,same_token,0,7,0,1,6163,16384,0.37615966796875
L,baseline,352000,same_token,0,7,0,2,8503,16384,0.51898193359375
L,baseline,352000,same_token,0,7,0,4,12083,16384,0.73748779296875
L,baseline,352000,same_token,0,8,0,1,6353,16384,0.38775634765625
L,baseline,352000,same_token,0,8,0,2,9005,16384,0.54962158203125
L,baseline,352000,same_token,0,8,0,4,12442,16384,0.7593994140625
L,baseline,352000,same_token,0,9,0,1,6753,16384,0.41217041015625
L,baseline,352000,same_token,0,9,0,2,9175,16384,0.55999755859375
L,baseline,352000,same_token,0,9,0,4,12276,16384,0.749267578125
L,baseline,352000,same_token,0,10,0,1,6832,16384,0.4169921875
L,baseline,352000,same_token,0,10,0,2,9431,16384,0.57562255859375
L,baseline,352000,same_token,0,10,0,4,12756,16384,0.778564453125
L,baseline,352000,same_token,0,11,0,1,6165,16384,0.37628173828125
L,baseline,352000,same_token,0,11,0,2,8788,16384,0.536376953125
L,baseline,352000,same_token,0,11,0,4,12402,16384,0.7569580078125
L,baseline,352000,same_token,0,12,0,1,7131,16384,0.43524169921875
L,baseline,352000,same_token,0,12,0,2,9437,16384,0.57598876953125
L,baseline,352000,same_token,0,12,0,4,12434,16384,0.7589111328125
L,baseline,352000,same_token,0,13,0,1,6071,16384,0.37054443359375
L,baseline,352000,same_token,0,13,0,2,8568,16384,0.52294921875
L,baseline,352000,same_token,0,13,0,4,11932,16384,0.728271484375
L,baseline,352000,same_token,0,14,0,1,6864,16384,0.4189453125
L,baseline,352000,same_token,0,14,0,2,9224,16384,0.56298828125
L,baseline,352000,same_token,0,14,0,4,12243,16384,0.74725341796875
L,baseline,352000,same_token,0,15,0,1,6993,16384,0.42681884765625
L,baseline,352000,same_token,0,15,0,2,9336,16384,0.56982421875
L,baseline,352000,same_token,0,15,0,4,12484,16384,0.761962890625
L,baseline,352000,same_token,0,16,0,1,6482,16384,0.3956298828125
L,baseline,352000,same_token,0,16,0,2,8942,16384,0.5457763671875
L,baseline,352000,same_token,0,16,0,4,12102,16384,0.7386474609375
L,baseline,352000,same_token,0,17,0,1,6260,16384,0.382080078125
L,baseline,352000,same_token,0,17,0,2,8479,16384,0.51751708984375
L,baseline,352000,same_token,0,17,0,4,12109,16384,0.73907470703125
L,baseline,352000,same_token,0,18,0,1,6548,16384,0.399658203125
L,baseline,352000,same_token,0,18,0,2,8855,16384,0.54046630859375
L,baseline,352000,same_token,0,18,0,4,12140,16384,0.740966796875
L,baseline,352000,same_token,0,19,0,1,5900,16384,0.360107421875
L,baseline,352000,same_token,0,19,0,2,8409,16384,0.51324462890625
L,baseline,352000,same_token,0,19,0,4,11714,16384,0.7149658203125
L,baseline,352000,same_token,0,20,0,1,6073,16384,0.37066650390625
L,baseline,352000,same_token,0,20,0,2,8632,16384,0.52685546875
L,baseline,352000,same_token,0,20,0,4,11752,16384,0.71728515625
L,baseline,352000,same_token,0,21,0,1,5446,16384,0.3323974609375
L,baseline,352000,same_token,0,21,0,2,7920,16384,0.4833984375
L,baseline,352000,same_token,0,21,0,4,11456,16384,0.69921875
L,baseline,352000,same_token,0,22,0,1,5293,16384,0.32305908203125
L,baseline,352000,same_token,0,22,0,2,7961,16384,0.48590087890625
L,baseline,352000,same_token,0,22,0,4,11450,16384,0.6988525390625
L,baseline,352000,same_token,0,23,0,1,5636,16384,0.343994140625
L,baseline,352000,same_token,0,23,0,2,8301,16384,0.50665283203125
L,baseline,352000,same_token,0,23,0,4,11791,16384,0.71966552734375
L,baseline,352000,same_token,0,24,0,1,4790,16384,0.2923583984375
L,baseline,352000,same_token,0,24,0,2,7220,16384,0.440673828125
L,baseline,352000,same_token,0,24,0,4,11115,16384,0.67840576171875
L,baseline,352000,same_token,0,25,0,1,4986,16384,0.3043212890625
L,baseline,352000,same_token,0,25,0,2,7555,16384,0.46112060546875
L,baseline,352000,same_token,0,25,0,4,11093,16384,0.67706298828125
L,baseline,352000,same_token,0,26,0,1,4347,16384,0.26531982421875
L,baseline,352000,same_token,0,26,0,2,7066,16384,0.4312744140625
L,baseline,352000,same_token,0,26,0,4,11097,16384,0.67730712890625
L,baseline,352000,same_token,0,27,0,1,4110,16384,0.2508544921875
L,baseline,352000,same_token,0,27,0,2,6910,16384,0.4217529296875
L,baseline,352000,same_token,0,27,0,4,10878,16384,0.6639404296875
L,baseline,352000,same_token,1,2,0,1,9075,16384,0.55389404296875
L,baseline,352000,same_token,1,2,0,2,12161,16384,0.74224853515625
L,baseline,352000,same_token,1,2,0,4,14694,16384,0.8968505859375
L,baseline,352000,same_token,1,3,0,1,8099,16384,0.49432373046875
L,baseline,352000,same_token,1,3,0,2,10733,16384,0.65509033203125
L,baseline,352000,same_token,1,3,0,4,13776,16384,0.8408203125
L,baseline,352000,same_token,1,4,0,1,7727,16384,0.47161865234375
L,baseline,352000,same_token,1,4,0,2,10403,16384,0.63494873046875
L,baseline,352000,same_token,1,4,0,4,13290,16384,0.8111572265625
L,baseline,352000,same_token,1,5,0,1,7942,16384,0.4847412109375
L,baseline,352000,same_token,1,5,0,2,10280,16384,0.62744140625
L,baseline,352000,same_token,1,5,0,4,13010,16384,0.7940673828125
L,baseline,352000,same_token,1,6,0,1,8240,16384,0.5029296875
L,baseline,352000,same_token,1,6,0,2,10515,16384,0.64178466796875
L,baseline,352000,same_token,1,6,0,4,13138,16384,0.8018798828125
L,baseline,352000,same_token,1,7,0,1,7182,16384,0.4383544921875
L,baseline,352000,same_token,1,7,0,2,9574,16384,0.5843505859375
L,baseline,352000,same_token,1,7,0,4,12759,16384,0.77874755859375
L,baseline,352000,same_token,1,8,0,1,7715,16384,0.47088623046875
L,baseline,352000,same_token,1,8,0,2,10214,16384,0.6234130859375
L,baseline,352000,same_token,1,8,0,4,13106,16384,0.7999267578125
L,baseline,352000,same_token,1,9,0,1,8165,16384,0.49835205078125
L,baseline,352000,same_token,1,9,0,2,10513,16384,0.64166259765625
L,baseline,352000,same_token,1,9,0,4,13148,16384,0.802490234375
L,baseline,352000,same_token,1,10,0,1,8248,16384,0.50341796875
L,baseline,352000,same_token,1,10,0,2,10634,16384,0.6490478515625
L,baseline,352000,same_token,1,10,0,4,13425,16384,0.81939697265625
L,baseline,352000,same_token,1,11,0,1,7271,16384,0.44378662109375
L,baseline,352000,same_token,1,11,0,2,9863,16384,0.60198974609375
L,baseline,352000,same_token,1,11,0,4,12873,16384,0.78570556640625
L,baseline,352000,same_token,1,12,0,1,8417,16384,0.51373291015625
L,baseline,352000,same_token,1,12,0,2,10717,16384,0.65411376953125
L,baseline,352000,same_token,1,12,0,4,13218,16384,0.8067626953125
L,baseline,352000,same_token,1,13,0,1,7588,16384,0.463134765625
L,baseline,352000,same_token,1,13,0,2,9988,16384,0.609619140625
L,baseline,352000,same_token,1,13,0,4,12834,16384,0.7833251953125
L,baseline,352000,same_token,1,14,0,1,8566,16384,0.5228271484375
L,baseline,352000,same_token,1,14,0,2,10729,16384,0.65484619140625
L,baseline,352000,same_token,1,14,0,4,13125,16384,0.80108642578125
L,baseline,352000,same_token,1,15,0,1,8015,16384,0.48919677734375
L,baseline,352000,same_token,1,15,0,2,10435,16384,0.63690185546875
L,baseline,352000,same_token,1,15,0,4,13088,16384,0.798828125
L,baseline,352000,same_token,1,16,0,1,7735,16384,0.47210693359375
L,baseline,352000,same_token,1,16,0,2,9968,16384,0.6083984375
L,baseline,352000,same_token,1,16,0,4,12882,16384,0.7862548828125
L,baseline,352000,same_token,1,17,0,1,7394,16384,0.4512939453125
L,baseline,352000,same_token,1,17,0,2,9793,16384,0.59771728515625
