size,method,step,tokens_per_step,training_tokens,backward_multiplier,attention_projection_flops_per_token,attention_core_flops_per_token,active_ffn_flops_per_token,router_flops_per_token,lm_head_flops_per_token,forward_flops_per_token,training_flops,log10_training_flops,metric,value
L,baseline,352000,262144,92274688000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.114002800352952e+20,20.614264582977913,downstream:arc_challenge:acc_norm,0.2696245733788396
L,baseline,352000,262144,92274688000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.114002800352952e+20,20.614264582977913,downstream:arc_easy:acc_norm,0.531986531986532
L,baseline,352000,262144,92274688000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.114002800352952e+20,20.614264582977913,downstream:hellaswag:acc_norm,0.4587731527584147
L,baseline,352000,262144,92274688000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.114002800352952e+20,20.614264582977913,downstream:lambada_openai:acc,0.48961769842810016
L,baseline,352000,262144,92274688000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.114002800352952e+20,20.614264582977913,downstream:piqa:acc_norm,0.6953210010881393
L,baseline,352000,262144,92274688000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.114002800352952e+20,20.614264582977913,downstream:race:acc,0.5056749087961087
L,baseline,352000,262144,92274688000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.114002800352952e+20,20.614264582977913,downstream:siqa:acc,0.4053224155578301
L,baseline,352000,262144,92274688000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.114002800352952e+20,20.614264582977913,downstream:winogrande:acc,0.5169692186266772
L,baseline,352000,262144,92274688000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.114002800352952e+20,20.614264582977913,downstream_macro_accuracy,0.4841611875775802
L,baseline,352000,262144,92274688000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.114002800352952e+20,20.614264582977913,train_loss,3.0696099472045897
