gate_checkpoint,lm_loss,model_checkpoint,model_seed,step,variant
checkpoints/normal_seed0_step0_gates.pt,,checkpoints/normal_seed0_step0.pt,0,0,normal
checkpoints/normal_seed0_step1_gates.pt,11.998552322387695,checkpoints/normal_seed0_step1.pt,0,1,normal
checkpoints/normal_seed0_step2_gates.pt,12.003191947937012,checkpoints/normal_seed0_step2.pt,0,2,normal
checkpoints/normal_seed0_step3_gates.pt,11.793728828430176,checkpoints/normal_seed0_step3.pt,0,3,normal
checkpoints/normal_seed0_step5_gates.pt,11.428421020507812,checkpoints/normal_seed0_step5.pt,0,5,normal
checkpoints/normal_seed0_step10_gates.pt,10.723121643066406,checkpoints/normal_seed0_step10.pt,0,10,normal
checkpoints/normal_seed0_step20_gates.pt,9.5305757522583,checkpoints/normal_seed0_step20.pt,0,20,normal
checkpoints/normal_seed0_step50_gates.pt,8.048175811767578,checkpoints/normal_seed0_step50.pt,0,50,normal
checkpoints/normal_seed0_step100_gates.pt,7.308693885803223,checkpoints/normal_seed0_step100.pt,0,100,normal
checkpoints/normal_seed0_step200_gates.pt,7.578973293304443,checkpoints/normal_seed0_step200.pt,0,200,normal
checkpoints/normal_seed0_step300_gates.pt,7.88822603225708,checkpoints/normal_seed0_step300.pt,0,300,normal
checkpoints/freeze_last_layer_hidden_producer_seed1_step0_gates.pt,,checkpoints/freeze_last_layer_hidden_producer_seed1_step0.pt,1,0,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed1_step1_gates.pt,12.017239570617676,checkpoints/freeze_last_layer_hidden_producer_seed1_step1.pt,1,1,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed1_step2_gates.pt,12.032292366027832,checkpoints/freeze_last_layer_hidden_producer_seed1_step2.pt,1,2,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed1_step3_gates.pt,12.028708457946777,checkpoints/freeze_last_layer_hidden_producer_seed1_step3.pt,1,3,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed1_step5_gates.pt,11.988272666931152,checkpoints/freeze_last_layer_hidden_producer_seed1_step5.pt,1,5,freeze_last_layer_hidden_producer
