model_seed,set_name,layer,reference_step,step,cos_to_step0
0,primary,0,0,0,0.9999998807907104
0,primary,0,0,10,0.6774966716766357
0,primary,0,0,300,0.3833502531051636
0,primary,1,0,0,1.0
0,primary,1,0,10,0.4112807512283325
0,primary,1,0,300,0.23408029973506927
0,primary,2,0,0,1.0
0,primary,2,0,10,0.3541223108768463
0,primary,2,0,300,0.06552784144878387
0,primary,3,0,0,1.0
0,primary,3,0,10,0.3336884379386902
0,primary,3,0,300,0.09765051305294037
0,primary,4,0,0,0.9999998807907104
0,primary,4,0,10,0.32091638445854187
0,primary,4,0,300,0.10393382608890533
0,primary,5,0,0,1.0000001192092896
0,primary,5,0,10,0.29351842403411865
0,primary,5,0,300,0.1195339560508728
0,secondary,0,0,0,1.0
0,secondary,0,0,10,0.6684148907661438
0,secondary,0,0,300,0.3670564293861389
0,secondary,1,0,0,0.9999998807907104
0,secondary,1,0,10,0.4036865532398224
0,secondary,1,0,300,0.22465164959430695
0,secondary,2,0,0,0.9999999403953552
0,secondary,2,0,10,0.35056692361831665
0,secondary,2,0,300,0.057230398058891296
0,secondary,3,0,0,0.9999998807907104
0,secondary,3,0,10,0.32784023880958557
0,secondary,3,0,300,0.09140695631504059
0,secondary,4,0,0,1.0
0,secondary,4,0,10,0.3130446970462799
0,secondary,4,0,300,0.0992651954293251
0,secondary,5,0,0,1.0
0,secondary,5,0,10,0.2850187420845032
0,secondary,5,0,300,0.11079294979572296
1,primary,0,0,0,0.9999999403953552
1,primary,0,0,10,0.6319791078567505
1,primary,0,0,300,0.42402026057243347
1,primary,1,0,0,1.0000001192092896
1,primary,1,0,10,0.3157712519168854
1,primary,1,0,300,0.1387091875076294
1,primary,2,0,0,0.9999998807907104
1,primary,2,0,10,0.33670663833618164
1,primary,2,0,300,0.10158704221248627
1,primary,3,0,0,0.9999999403953552
1,primary,3,0,10,0.3192543089389801
1,primary,3,0,300,0.14586129784584045
1,primary,4,0,0,1.0
1,primary,4,0,10,0.28479689359664917
1,primary,4,0,300,0.14797382056713104
1,primary,5,0,0,1.0
1,primary,5,0,10,0.2703126072883606
1,primary,5,0,300,0.17751455307006836
1,secondary,0,0,0,1.0
1,secondary,0,0,10,0.6191555261611938
1,secondary,0,0,300,0.41993582248687744
1,secondary,1,0,0,1.0000001192092896
1,secondary,1,0,10,0.29855599999427795
1,secondary,1,0,300,0.1278313845396042
1,secondary,2,0,0,0.9999999403953552
1,secondary,2,0,10,0.31784871220588684
1,secondary,2,0,300,0.08288510143756866
1,secondary,3,0,0,0.9999999403953552
1,secondary,3,0,10,0.29486727714538574
1,secondary,3,0,300,0.12037906050682068
1,secondary,4,0,0,1.0
1,secondary,4,0,10,0.27136901021003723
1,secondary,4,0,300,0.1272265613079071
1,secondary,5,0,0,0.9999998807907104
1,secondary,5,0,10,0.2531954050064087
1,secondary,5,0,300,0.1486070454120636
2,primary,0,0,0,0.9999999403953552
2,primary,0,0,10,0.6887931227684021
2,primary,0,0,300,0.5249332189559937
2,primary,1,0,0,1.0
2,primary,1,0,10,0.3682832717895508
2,primary,1,0,300,0.12024827301502228
2,primary,2,0,0,1.0
2,primary,2,0,10,0.2845967411994934
2,primary,2,0,300,0.09471236169338226
2,primary,3,0,0,0.9999998807907104
2,primary,3,0,10,0.2616868317127228
2,primary,3,0,300,0.10947427898645401
2,primary,4,0,0,0.9999999403953552
2,primary,4,0,10,0.26415908336639404
2,primary,4,0,300,0.1389089673757553
2,primary,5,0,0,1.0000001192092896
2,primary,5,0,10,0.20839469134807587
2,primary,5,0,300,0.1235068067908287
2,secondary,0,0,0,1.0
2,secondary,0,0,10,0.6909448504447937
2,secondary,0,0,300,0.5266706943511963
2,secondary,1,0,0,1.0
2,secondary,1,0,10,0.3755805194377899
2,secondary,1,0,300,0.11573465168476105
2,secondary,2,0,0,1.0
2,secondary,2,0,10,0.28917786478996277
2,secondary,2,0,300,0.09513456374406815
2,secondary,3,0,0,1.0
2,secondary,3,0,10,0.2672727704048157
2,secondary,3,0,300,0.10519398748874664
2,secondary,4,0,0,0.9999999403953552
2,secondary,4,0,10,0.2722039222717285
2,secondary,4,0,300,0.1352127343416214
2,secondary,5,0,0,1.0
2,secondary,5,0,10,0.2147965431213379
2,secondary,5,0,300,0.12021641433238983
