after_backward_step,expert_grad_norm,model_seed,other_grad_norm,router_grad_norm,variant
0,0.5925039463500377,0,5.018843430267297,0.1423869661105032,normal
1,0.620031919702443,0,7.218455200775633,0.11686703181014155,normal
2,0.6397969508187754,0,6.839345417435782,0.10740051070628924,normal
3,0.6742211190337867,0,6.955173813183239,0.11291344589965269,normal
4,0.43464686784434875,0,4.646053373148002,0.15413031423160894,normal
9,0.251188307552719,0,2.946771002414578,0.20762793104475818,normal
19,0.2617565697558524,0,4.2686362420096495,0.14109426969692423,normal
49,0.12247556386830562,0,1.551904969525866,0.12174172242040113,normal
99,0.6569887699174515,0,2.287586530242437,1.024158723244806,normal
199,0.3188064461361279,0,1.685621513633558,0.16903225950490877,normal
299,0.2629069357544387,0,1.6349852148173742,0.16138247543241266,normal
0,0.16845790348937192,1,1.8663843976067267,0.030405146437894773,freeze_last_layer_hidden_producer
1,0.1753733075995338,1,1.8946026892441052,0.02427725368783807,freeze_last_layer_hidden_producer
2,0.11436027477391036,1,2.036226082999439,0.02789711035998483,freeze_last_layer_hidden_producer
3,0.2509212265626837,1,3.0246905050231745,0.03895246684420803,freeze_last_layer_hidden_producer
4,0.14455394811678657,1,2.0338470745156356,0.057539420664126414,freeze_last_layer_hidden_producer
9,0.22205875345034062,1,1.902986105175592,0.458339644157427,freeze_last_layer_hidden_producer
19,0.27106024157687414,1,1.826782913539259,0.5039117798021286,freeze_last_layer_hidden_producer
49,0.8083377287529911,1,2.6407030879838596,2.339413713220995,freeze_last_layer_hidden_producer
99,0.4127930273183983,1,1.3995919425673504,2.1655378580106928,freeze_last_layer_hidden_producer
199,0.21327116873524363,1,1.265663949150397,0.21567390619802929,freeze_last_layer_hidden_producer
299,0.2051392999726318,1,1.1726874283602309,0.31461962444243236,freeze_last_layer_hidden_producer
0,0.6123925664934363,1,5.463690351417417,0.1007784071417843,normal
1,0.7342310522446838,1,6.941584462921142,0.11657284533962188,normal
2,0.6792999400248418,1,7.789973687282615,0.1291267633909998,normal
3,0.813004592070682,1,8.211974813173564,0.12196742675880468,normal
4,0.6498317076806671,1,9.191879339948542,0.2138643803477588,normal
9,0.21381381898759194,1,2.3709156918598584,0.06473601795603597,normal
19,0.11656324871092807,1,2.217093721635287,0.10345525769493569,normal
49,0.2386807082272015,1,2.757793255812802,0.4031022178661228,normal
99,0.2691880285542162,1,1.5084744095813811,0.13701011847277247,normal
199,0.2656958281477351,1,1.5804447276941662,0.11548147515301091,normal
299,0.2796435664182158,1,1.5252283462550515,0.12350490778353371,normal
0,0.1083646587457045,2,1.8352717599607784,0.022633676135197085,freeze_last_layer_hidden_producer
1,0.1277433186744238,2,1.832951801188114,0.03582485194650652,freeze_last_layer_hidden_producer
2,0.10757380827322426,2,1.6211708048380178,0.04077326605096174,freeze_last_layer_hidden_producer
3,0.18025584880834425,2,2.4882420044765388,0.10894825825721409,freeze_last_layer_hidden_producer
4,0.1788106172381134,2,2.0892828025292416,0.0628468011317422,freeze_last_layer_hidden_producer
9,0.21261918200982516,2,1.8118514365541263,0.4015988611761793,freeze_last_layer_hidden_producer
19,0.32684814914759913,2,1.9163975250580683,0.9259405200302615,freeze_last_layer_hidden_producer
49,0.7662486460651988,2,1.9908428095060378,3.9771917478566143,freeze_last_layer_hidden_producer
99,0.20614885205718597,2,1.5804678871790727,0.01059597933536661,freeze_last_layer_hidden_producer
199,0.33063085608446996,2,1.4847444821081528,0.46266568025809973,freeze_last_layer_hidden_producer
299,0.18407356063182786,2,1.2663917851239712,0.2967072062885907,freeze_last_layer_hidden_producer
0,0.5832232459903164,2,5.352893627233413,0.1399018557536151,normal
1,0.6374666584097427,2,7.141005185623125,0.1402437822067593,normal
2,0.47024881752753744,2,5.829152479628894,0.12371450436367197,normal
3,0.9781501652623744,2,10.58453614724402,0.18819532078250428,normal
4,0.35792405196812,2,4.060639794986182,0.11313636180432524,normal
9,0.17823817792983995,2,2.2459739237770955,0.12321505673484008,normal
19,0.17157571942075864,2,4.306065400929726,0.08787110854149614,normal
49,0.19351926636185515,2,1.6859285371672657,0.25199771999783255,normal
99,0.22114877909983469,2,1.665192300408709,0.16288653263947833,normal
199,0.35148911484769707,2,1.8257741445721094,0.2517531371958773,normal
299,0.3571922521609373,2,1.6879537792117798,0.1656378915612212,normal
0,0.15872050688210046,0,1.6784423976511946,0.04482107151426768,freeze_last_layer_hidden_producer
1,0.11000826653903764,0,1.6121495460052286,0.029966522329472948,freeze_last_layer_hidden_producer
2,0.1632499407504596,0,1.6348913993144083,0.01165097725982866,freeze_last_layer_hidden_producer
3,0.12965745013132485,0,1.6733268533307621,0.037519599963139645,freeze_last_layer_hidden_producer
4,0.16435516598579974,0,1.989271220895657,0.012297740320465772,freeze_last_layer_hidden_producer
9,0.18933285888671372,0,2.1384189413686676,0.13177172191858044,freeze_last_layer_hidden_producer
19,0.4415301557451564,0,2.114341980952481,1.1979515512887946,freeze_last_layer_hidden_producer
49,0.2702732729250992,0,1.837264130285526,0.26004793128782555,freeze_last_layer_hidden_producer
99,0.1967907557754294,0,1.3185261277421396,0.32156823734247697,freeze_last_layer_hidden_producer
199,0.20183907900462694,0,1.4882870524852132,0.004826399957927891,freeze_last_layer_hidden_producer
299,0.15183342744358577,0,1.1388058180818292,0.2558197398462554,freeze_last_layer_hidden_producer
