variant,layer,model_seed,A_actual,A_gate,A_hidden,A_interaction,raw_load_delta_0_10,centered_load_delta_0_10,delta_max_load_delta_0_10,common_margin_suppression_vs_normal_L5,raw_load_suppression_vs_normal_L5
freeze_experts_all,3,1.0,0.09751080969969432,0.07822112739086153,0.3420638094345729,-0.32277412712574005,0.5505825678507487,0.02701727549235024,0.5235652923583985,,
freeze_experts_all,4,1.0,0.0351031422615051,0.07259880999724072,-0.11975424488385521,0.08225857714811959,0.6949909528096517,0.03824520111083987,0.6567457516988119,,
freeze_experts_all,5,1.0,0.19189932445685065,-0.011369590957959563,0.2891026784976323,-0.0858337630828221,0.7183151245117188,0.12269957860310877,0.59561554590861,0.8496034680330151,0.020559111074508474
freeze_gate_all,3,1.0,0.4542088558276494,0.0,0.4542088558276494,0.0,0.7137400309244791,0.029768943786621066,0.683971087137858,,
freeze_gate_all,4,1.0,-0.09830739100774129,0.0,-0.09830739100774129,0.0,0.4733840624491375,0.05342419942220054,0.41995986302693683,,
freeze_gate_all,5,1.0,0.5353882561127344,0.0,0.5353882561127344,0.0,0.7313985824584961,0.11271270116170251,0.6186858812967936,0.5804021863906428,0.002719484364265279
freeze_gate_and_experts,3,1.0,0.31484276552995044,0.0,0.31484276552995044,0.0,0.7066431045532227,0.0281985600789388,0.6784445444742838,,
freeze_gate_and_experts,4,1.0,-0.11389173070589703,0.0,-0.11389173070589703,0.0,0.4567750295003256,0.03576930363972983,0.4210057258605957,,
freeze_gate_and_experts,5,1.0,0.28723067541917163,0.0,0.28723067541917163,0.0,0.7113609313964844,0.09682051340738934,0.6145404179890951,0.7748897888002129,0.03004132974723195
freeze_prefix_before_layer3,3,1.0,0.16502663989861807,0.058994715412457766,0.09272871911525728,0.013303205370903052,0.231536865234375,0.04565080006917314,0.18588606516520187,,
freeze_prefix_before_layer3,4,1.0,0.2333705772956212,0.0410590370496114,-0.02536697685718541,0.2176785171031952,0.33211533228556317,0.10020081202189131,0.23191452026367185,,
freeze_prefix_before_layer3,5,1.0,0.5263777623573939,-0.024332945545514465,0.2882759024699529,0.26243480543295544,0.5674257278442383,0.24603382746378585,0.32139190038045246,0.5874639465919826,0.2263006300239917
freeze_prefix_before_layer4,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
freeze_prefix_before_layer4,4,1.0,0.227023313442866,0.03852027654647822,-0.04858365158240002,0.2370866884787878,0.21032762527465823,0.018389383951822935,0.1919382413228353,,
freeze_prefix_before_layer4,5,1.0,0.1914295901854833,-0.008068308234214797,0.06984075903892517,0.12965713938077292,0.37751324971516925,0.12838427225748703,0.24912897745768228,0.8499716110974038,0.48525111018159517
freeze_prefix_before_layer5,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
freeze_prefix_before_layer5,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
freeze_prefix_before_layer5,5,1.0,0.02784434954325356,0.02784434954325356,0.0,0.0,0.06603574752807617,-0.000382264455159496,0.06641801198323567,0.9781776532145976,0.9099585835621604
normal,3,1.0,0.6225012093782425,0.061393484473228455,0.3911631355683009,0.16994458933671308,0.7143249511718751,0.040374279022216804,0.6739506721496582,,
normal,4,1.0,0.7973535259564718,-0.0009288713335990998,-0.0559630294640859,0.8542454267541567,0.7252701123555502,0.12284596761067708,0.602424144744873,,
normal,5,1.0,1.275955781340599,-0.013693432013193835,0.48583265642325085,0.803816556930542,0.7333930333455404,0.23754262924194344,0.495850404103597,0.0,0.0
