variant,layer,actual_mean,actual_std,gate_mean,hidden_mean,interaction_mean,gate_fraction_mean,hidden_fraction_mean,interaction_fraction_mean
freeze_experts_all,3,0.09751080969969429,0.13952199235389123,0.0782211273908615,0.3420638094345729,-0.32277412712574005,-0.18630235508037474,-1.500803753127813,2.6871061082081877
freeze_experts_all,4,0.035103142261505134,0.10138949158455111,0.0725988099972407,-0.11975424488385518,0.08225857714811964,-1.8402650486425323,4.344099357353944,-1.5038343087114117
freeze_experts_all,5,0.19189932445685062,0.2039097606796224,-0.011369590957959502,0.2891026784976323,-0.0858337630828222,-0.22023633840950932,1.8139681958751979,-0.5937318574656887
freeze_gate_all,3,0.4542088558276494,0.06864078274405892,0.0,0.4542088558276494,0.0,0.0,1.0,0.0
freeze_gate_all,4,-0.09830739100774126,0.048260911436171575,0.0,-0.09830739100774126,0.0,0.0,1.0,0.0
freeze_gate_all,5,0.5353882561127344,0.27329110620110014,0.0,0.5353882561127344,0.0,0.0,1.0,0.0
freeze_gate_and_experts,3,0.31484276552995044,0.12490238302535898,0.0,0.31484276552995044,0.0,0.0,1.0,0.0
freeze_gate_and_experts,4,-0.11389173070589698,0.054926384052984265,0.0,-0.11389173070589698,0.0,0.0,1.0,0.0
freeze_gate_and_experts,5,0.28723067541917163,0.269806982957336,0.0,0.28723067541917163,0.0,0.0,1.0,0.0
freeze_prefix_before_layer3,3,0.16502663989861807,0.3103005085437101,0.058994715412457766,0.09272871911525726,0.013303205370902996,1.7189760912898668,0.6158704675173694,-1.334846558807236
freeze_prefix_before_layer3,4,0.23337057729562127,0.4299135702216183,0.04105903704961143,-0.025366976857185336,0.2176785171031952,-3.371331790428845,5.235638564025055,-0.8643067735962097
freeze_prefix_before_layer3,5,0.5263777623573939,0.27592685099152003,-0.024332945545514403,0.2882759024699529,0.26243480543295544,0.023493203781668987,0.6705090083690933,0.3059977878492377
freeze_prefix_before_layer4,3,0.0,0.0,0.0,0.0,0.0,,,
freeze_prefix_before_layer4,4,0.22702331344286597,0.20490763353641314,0.038520276546478265,-0.04858365158239993,0.23708668847878775,-5.983084891071659,-5.80089293512065,12.783977826192308
freeze_prefix_before_layer4,5,0.19142959018548325,0.15731034901418306,-0.008068308234214736,0.06984075903892513,0.12965713938077286,0.5045699218665557,1.1601111498694976,-0.6646810717360537
freeze_prefix_before_layer5,3,0.0,0.0,0.0,0.0,0.0,,,
freeze_prefix_before_layer5,4,0.0,0.0,0.0,0.0,0.0,,,
freeze_prefix_before_layer5,5,0.027844349543253568,0.028770791121124864,0.027844349543253568,0.0,0.0,1.0,0.0,0.0
normal,3,0.6225012093782425,0.2642148663067205,0.06139348447322846,0.3911631355683009,0.1699445893367131,0.13708224817111256,0.7625581293379536,0.10035962249093355
normal,4,0.7973535259564718,0.26650553480265493,-0.000928871333599072,-0.0559630294640859,0.8542454267541567,-0.027989750423183097,-0.104473986115571,1.1324637365387542
normal,5,1.275955781340599,0.40812720121786866,-0.013693432013193766,0.48583265642325085,0.803816556930542,-0.011616108290075103,0.3781175329005173,0.6334985753895578
