condition,metric,n,valid_rate,natural_valid_rate,calibrated_valid_rate,natural_load_error_mean,natural_load_error_median,natural_mean_margin_mean,natural_degeneracy_rate_mean,calibrated_load_error_mean,calibrated_mean_margin_mean,sign_sensitivity_mean,sign_sensitivity_max
C1_random_unconstrained,M1_signed_prototype,100,1.0,1.0,1.0,0.0,0.0,0.8070173243359484,4e-06,0.0,0.8070173243359484,0.5333333333333333,1.0
C1_random_unconstrained,M2_unsigned_prototype,100,1.0,1.0,1.0,0.0,0.0,0.38904958403707346,8e-06,0.0,0.38904958403707346,0.254816,0.49186399999999997
C1_random_unconstrained,M3_fullspan_control,100,0.0,0.0,0.0,0.36715699999999996,0.44555,2.272860788465891e-16,1.0,0.16634000000000002,1.0349243684260045e-16,,
C1_random_unconstrained,M3_top1_projection,100,1.0,1.0,1.0,0.0,0.0,0.39267068040079495,4e-06,0.0,0.39267068040079495,,
C1_random_unconstrained,M4_matrix_response,100,1.0,0.16,1.0,0.237668,0.20149999999999998,1.9035340037861754,0.0,0.0,1.4800810229314587,,
C2_orthogonal_equal_singular,M1_signed_prototype,100,0.0,0.0,0.0,,,,,,,,
C2_orthogonal_equal_singular,M2_unsigned_prototype,100,0.0,0.0,0.0,,,,,,,,
C2_orthogonal_equal_singular,M3_fullspan_control,100,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.5,0.0,,
C2_orthogonal_equal_singular,M3_top1_projection,100,0.0,0.0,0.0,,,,,,,,
C2_orthogonal_equal_singular,M4_matrix_response,100,0.0,0.0,0.0,0.36686100000000005,0.4676,1.443258845768014e-16,1.0,0.227651,7.856537642680905e-17,,
C3_orthogonal_unequal_singular,M1_signed_prototype,100,1.0,1.0,1.0,0.0,0.0,0.7936198184716481,2e-06,0.0,0.7936198184716481,0.5333333333333333,1.0
C3_orthogonal_unequal_singular,M2_unsigned_prototype,100,1.0,1.0,1.0,0.0,0.0,0.4111243841301186,0.0,0.0,0.4111243841301186,0.2326581333333333,0.446608
C3_orthogonal_unequal_singular,M3_fullspan_control,100,0.0,0.0,0.0,0.35439,0.42615000000000003,2.1489765522630933e-16,1.0,0.15412700000000001,1.0077139123154666e-16,,
C3_orthogonal_unequal_singular,M3_top1_projection,100,1.0,1.0,1.0,0.0,0.0,0.41183680690474556,4e-06,0.0,0.41183680690474556,,
C3_orthogonal_unequal_singular,M4_matrix_response,100,1.0,1.0,1.0,0.0,0.0,1.5443880258927956,0.0,0.0,1.5443880258927956,,
C4_near_identical,M1_signed_prototype,100,1.0,1.0,1.0,0.0,0.0,0.0035258793413339624,0.000544,0.0,0.0035258793413339624,0.5333333333333333,1.0
C4_near_identical,M2_unsigned_prototype,100,1.0,1.0,1.0,0.0,0.0,0.0035258338023895996,0.000556,0.0,0.0035258338023895996,0.39953493333333334,0.843148
C4_near_identical,M3_fullspan_control,100,0.0,0.0,0.0,0.32657800000000003,0.3726,2.1020163387674983e-16,1.0,0.17444099999999998,9.602585393508889e-17,,
C4_near_identical,M3_top1_projection,100,1.0,1.0,1.0,0.0,0.0,0.002728997293377278,0.0012640000000000001,0.0,0.002728997293377278,,
C4_near_identical,M4_matrix_response,100,1.0,0.12,1.0,0.24296600000000002,0.1931,0.022562924317547462,3e-05,0.0,0.016874232395290838,,
C5_separated_anisotropic,M1_signed_prototype,100,1.0,1.0,1.0,0.0,0.0,0.9003163161325994,2e-06,0.0,0.9003163161325994,0.5333333333333333,1.0
C5_separated_anisotropic,M2_unsigned_prototype,100,1.0,1.0,1.0,0.0,0.0,0.6366197722982663,4e-06,0.0,0.6366197722982663,0.16635840000000002,0.311916
C5_separated_anisotropic,M3_fullspan_control,100,0.0,0.0,0.0,0.36389299999999997,0.4277,1.834936647071572e-16,1.0,0.203724,8.901146486550715e-17,,
C5_separated_anisotropic,M3_top1_projection,100,1.0,1.0,1.0,0.0,0.0,0.636619771860796,4e-06,0.0,0.636619771860796,,
C5_separated_anisotropic,M4_matrix_response,100,1.0,1.0,1.0,0.0,0.0,2.387324144477985,0.0,0.0,2.387324144477985,,
