condition,seed,metric,sign_sensitivity_mean,sign_sensitivity_max,n_variants,status
C1_random_unconstrained,0,M1_signed_prototype,0.5333333333333333,1.0,15,ok
C1_random_unconstrained,0,M2_unsigned_prototype,0.08917333333333334,0.1672,15,ok
C1_random_unconstrained,0,M3_top1_projection,,,0,not_applicable
C1_random_unconstrained,0,M3_fullspan_control,,,0,not_applicable
C1_random_unconstrained,0,M4_matrix_response,,,0,not_applicable
C1_random_unconstrained,1,M1_signed_prototype,0.5333333333333333,1.0,15,ok
C1_random_unconstrained,1,M2_unsigned_prototype,0.13248000000000001,0.2484,15,ok
C1_random_unconstrained,1,M3_top1_projection,,,0,not_applicable
C1_random_unconstrained,1,M3_fullspan_control,,,0,not_applicable
C1_random_unconstrained,1,M4_matrix_response,,,0,not_applicable
C1_random_unconstrained,2,M1_signed_prototype,0.5333333333333333,1.0,15,ok
C1_random_unconstrained,2,M2_unsigned_prototype,0.14325333333333334,0.2688,15,ok
C1_random_unconstrained,2,M3_top1_projection,,,0,not_applicable
C1_random_unconstrained,2,M3_fullspan_control,,,0,not_applicable
C1_random_unconstrained,2,M4_matrix_response,,,0,not_applicable
C1_random_unconstrained,3,M1_signed_prototype,0.5333333333333333,1.0,15,ok
C1_random_unconstrained,3,M2_unsigned_prototype,0.4916266666666666,0.9216,15,ok
C1_random_unconstrained,3,M3_top1_projection,,,0,not_applicable
C1_random_unconstrained,3,M3_fullspan_control,,,0,not_applicable
C1_random_unconstrained,3,M4_matrix_response,,,0,not_applicable
C1_random_unconstrained,4,M1_signed_prototype,0.5333333333333333,1.0,15,ok
C1_random_unconstrained,4,M2_unsigned_prototype,0.13301333333333332,0.2496,15,ok
C1_random_unconstrained,4,M3_top1_projection,,,0,not_applicable
C1_random_unconstrained,4,M3_fullspan_control,,,0,not_applicable
C1_random_unconstrained,4,M4_matrix_response,,,0,not_applicable
C1_random_unconstrained,5,M1_signed_prototype,0.5333333333333332,1.0,15,ok
C1_random_unconstrained,5,M2_unsigned_prototype,0.3965866666666667,0.884,15,ok
C1_random_unconstrained,5,M3_top1_projection,,,0,not_applicable
C1_random_unconstrained,5,M3_fullspan_control,,,0,not_applicable
C1_random_unconstrained,5,M4_matrix_response,,,0,not_applicable
C1_random_unconstrained,6,M1_signed_prototype,0.5333333333333333,1.0,15,ok
C1_random_unconstrained,6,M2_unsigned_prototype,0.10933333333333334,0.2052,15,ok
C1_random_unconstrained,6,M3_top1_projection,,,0,not_applicable
C1_random_unconstrained,6,M3_fullspan_control,,,0,not_applicable
C1_random_unconstrained,6,M4_matrix_response,,,0,not_applicable
C1_random_unconstrained,7,M1_signed_prototype,0.5333333333333333,1.0,15,ok
C1_random_unconstrained,7,M2_unsigned_prototype,0.04106666666666666,0.0768,15,ok
C1_random_unconstrained,7,M3_top1_projection,,,0,not_applicable
C1_random_unconstrained,7,M3_fullspan_control,,,0,not_applicable
C1_random_unconstrained,7,M4_matrix_response,,,0,not_applicable
C1_random_unconstrained,8,M1_signed_prototype,0.5333333333333333,1.0,15,ok
C1_random_unconstrained,8,M2_unsigned_prototype,0.25642666666666664,0.4808,15,ok
C1_random_unconstrained,8,M3_top1_projection,,,0,not_applicable
C1_random_unconstrained,8,M3_fullspan_control,,,0,not_applicable
C1_random_unconstrained,8,M4_matrix_response,,,0,not_applicable
C1_random_unconstrained,9,M1_signed_prototype,0.5333333333333333,1.0,15,ok
C1_random_unconstrained,9,M2_unsigned_prototype,0.13376,0.2508,15,ok
C1_random_unconstrained,9,M3_top1_projection,,,0,not_applicable
C1_random_unconstrained,9,M3_fullspan_control,,,0,not_applicable
C1_random_unconstrained,9,M4_matrix_response,,,0,not_applicable
C1_random_unconstrained,10,M1_signed_prototype,0.5333333333333333,1.0,15,ok
C1_random_unconstrained,10,M2_unsigned_prototype,0.15829333333333337,0.2968,15,ok
C1_random_unconstrained,10,M3_top1_projection,,,0,not_applicable
C1_random_unconstrained,10,M3_fullspan_control,,,0,not_applicable
C1_random_unconstrained,10,M4_matrix_response,,,0,not_applicable
C1_random_unconstrained,11,M1_signed_prototype,0.5333333333333333,1.0,15,ok
C1_random_unconstrained,11,M2_unsigned_prototype,0.09792,0.1836,15,ok
C1_random_unconstrained,11,M3_top1_projection,,,0,not_applicable
C1_random_unconstrained,11,M3_fullspan_control,,,0,not_applicable
C1_random_unconstrained,11,M4_matrix_response,,,0,not_applicable
C1_random_unconstrained,12,M1_signed_prototype,0.5333333333333333,1.0,15,ok
C1_random_unconstrained,12,M2_unsigned_prototype,0.4040533333333333,0.7932,15,ok
C1_random_unconstrained,12,M3_top1_projection,,,0,not_applicable
C1_random_unconstrained,12,M3_fullspan_control,,,0,not_applicable
C1_random_unconstrained,12,M4_matrix_response,,,0,not_applicable
C1_random_unconstrained,13,M1_signed_prototype,0.5333333333333333,1.0,15,ok
C1_random_unconstrained,13,M2_unsigned_prototype,0.12544000000000002,0.2352,15,ok
C1_random_unconstrained,13,M3_top1_projection,,,0,not_applicable
C1_random_unconstrained,13,M3_fullspan_control,,,0,not_applicable
C1_random_unconstrained,13,M4_matrix_response,,,0,not_applicable
C1_random_unconstrained,14,M1_signed_prototype,0.5333333333333333,1.0,15,ok
C1_random_unconstrained,14,M2_unsigned_prototype,0.11498666666666667,0.2156,15,ok
C1_random_unconstrained,14,M3_top1_projection,,,0,not_applicable
C1_random_unconstrained,14,M3_fullspan_control,,,0,not_applicable
C1_random_unconstrained,14,M4_matrix_response,,,0,not_applicable
C1_random_unconstrained,15,M1_signed_prototype,0.5333333333333333,1.0,15,ok
C1_random_unconstrained,15,M2_unsigned_prototype,0.3688533333333333,0.8656,15,ok
C1_random_unconstrained,15,M3_top1_projection,,,0,not_applicable
C1_random_unconstrained,15,M3_fullspan_control,,,0,not_applicable
C1_random_unconstrained,15,M4_matrix_response,,,0,not_applicable
C1_random_unconstrained,16,M1_signed_prototype,0.5333333333333333,1.0,15,ok
