condition,seed,step,top1_A,top1_B,NMI,selected_gate_A,selected_gate_B,expert_usage_E0,expert_usage_E1,update_norm_E0,update_norm_E1,router_grad_norm,CE_A_E0,CE_A_E1,CE_B_E0,CE_B_E1,interpretation_tag
ntp_no_router_prior,0,0,0,0,0.0,0.5064302682876587,0.5085770487785339,1.0,0.0,0.0,0.0,0.08591555727076082,0.3715595602989197,0.6530407071113586,0.6491456627845764,0.35776785016059875,early_lock_in
ntp_no_router_prior,0,10,0,0,0.0,0.8801838755607605,0.8797399401664734,1.0,0.0,0.0987183228135109,0.0,0.03886950320624903,0.05298316106200218,0.7385960221290588,0.05694137513637543,0.13481266796588898,early_lock_in
ntp_no_router_prior,0,50,0,0,0.0,0.9831347465515137,0.9846220016479492,1.0,0.0,0.0038906049448996782,0.0,3.815841893069153e-05,0.00011312322021694854,0.7225980758666992,0.00016115797916427255,0.03921930119395256,early_lock_in
ntp_no_router_prior,0,100,0,0,0.0,0.9840601682662964,0.9855380058288574,1.0,0.0,0.0005312142893671989,0.0,2.579828461198322e-05,8.95221673999913e-05,0.7259213328361511,9.655486064730212e-05,0.03625277802348137,early_lock_in
ntp_no_router_prior,0,200,0,0,0.0,0.9843080639839172,0.9858059287071228,1.0,0.0,0.000480429531307891,0.0,1.8608864848801714e-05,6.460934673668817e-05,0.7247712016105652,6.615896563744172e-05,0.03368000313639641,early_lock_in
ntp_no_router_prior,0,300,0,0,0.0,0.984538197517395,0.9860522747039795,1.0,0.0,0.00043743220157921314,0.0,1.3504113873381976e-05,4.589452510117553e-05,0.7228308916091919,4.6967357775429264e-05,0.03144178166985512,early_lock_in
ntp_no_router_prior,1,0,1,1,0.0,0.5022022128105164,0.5095292925834656,0.0,1.0,0.0,0.0,0.07919397078035426,0.37384387850761414,0.6748262643814087,0.6358646750450134,0.38367339968681335,early_lock_in
ntp_no_router_prior,1,10,1,1,0.0,0.875185489654541,0.8820849061012268,0.0,1.0,0.0,0.09926281869411469,0.04095047220829642,0.1405917853116989,0.06166078522801399,0.7363970875740051,0.05851196497678757,early_lock_in
ntp_no_router_prior,1,50,1,1,0.0,0.984727144241333,0.9841669201850891,0.0,1.0,0.0,0.0039678518660366535,3.707362862670777e-05,0.03986786678433418,0.00016115797916427255,0.7313690185546875,0.00011622230522334576,early_lock_in
ntp_no_router_prior,1,100,1,1,0.0,0.9856581091880798,0.9850526452064514,0.0,1.0,0.0,0.0005095586529932916,2.4935729488333757e-05,0.0368877612054348,9.679325739853084e-05,0.7339536547660828,9.107174992095679e-05,early_lock_in
ntp_no_router_prior,1,200,1,1,0.0,0.9859254956245422,0.9852809309959412,0.0,1.0,0.0,0.00047158406232483685,1.8006079384118467e-05,0.03436914458870888,6.687417771900073e-05,0.7312304973602295,6.544376083184034e-05,early_lock_in
ntp_no_router_prior,1,300,1,1,0.0,0.9861716628074646,0.9854926466941833,0.0,1.0,0.0,0.00042989294161088765,1.3083745375451148e-05,0.032158900052309036,4.756337511935271e-05,0.7279782295227051,4.649054244509898e-05,early_lock_in
ntp_no_router_prior,2,0,1,0,1.0,0.5031007528305054,0.5008040070533752,0.5,0.5,0.0,0.0,0.012876895186173656,0.3754847049713135,0.6392844319343567,0.6443538069725037,0.37912291288375854,success_control
ntp_no_router_prior,2,10,1,0,1.0,0.7256853580474854,0.7260417342185974,0.5,0.5,0.08932234346866608,0.08997245877981186,0.04066036042254966,0.9509223103523254,0.018301548436284065,0.01580626517534256,0.866736114025116,success_control
ntp_no_router_prior,2,50,1,0,1.0,0.9035211205482483,0.8820080161094666,0.5,0.5,0.002477973932400346,0.0024160444736480713,1.605789613231694e-05,3.714123010635376,2.861018856492592e-06,3.099436753473128e-06,3.825474739074707,success_control
ntp_no_router_prior,2,100,1,0,1.0,0.9052414298057556,0.886094868183136,0.5,0.5,6.139284232631326e-05,4.6044617192819715e-05,1.165540085163351e-05,3.8317062854766846,2.145764938177308e-06,2.264974000354414e-06,3.939840793609619,success_control
ntp_no_router_prior,2,200,1,0,1.0,0.9041648507118225,0.8884444236755371,0.5,0.5,5.7220458984375e-05,3.96670147893019e-05,1.0540837677632453e-05,3.8629531860351562,2.0265558760002023e-06,2.145764938177308e-06,3.9577980041503906,success_control
