bias_mode,condition,seed,initial_top1_A,initial_top1_B,initial_pattern,initial_NMI,final_top1_A,final_top1_B,final_pattern,final_NMI,final_selected_gate_A,final_selected_gate_B,final_ce_loss,final_token_acc
with_bias,ntp_known_good,0,0,1,split,1.0,0,1,split,1.0,0.919127345085144,0.9197832345962524,1.1682441709126579e-05,1.0
with_bias,ntp_known_good,1,0,1,split,1.0,0,1,split,1.0,0.922121524810791,0.9213039875030518,1.1742045444407267e-05,1.0
with_bias,ntp_known_good,2,0,1,split,1.0,0,1,split,1.0,0.9200582504272461,0.9204332828521729,1.162283797384589e-05,1.0
with_bias,ntp_known_good,3,0,1,split,1.0,0,1,split,1.0,0.9212723970413208,0.9211753010749817,1.1742045444407267e-05,1.0
with_bias,ntp_known_good,4,0,1,split,1.0,0,1,split,1.0,0.9213756322860718,0.9189963936805725,1.1682441709126579e-05,1.0
with_bias,ntp_known_good,5,0,1,split,1.0,0,1,split,1.0,0.9223345518112183,0.9196396470069885,1.1742045899154618e-05,1.0
with_bias,ntp_known_good,6,0,1,split,1.0,0,1,split,1.0,0.9145826697349548,0.9228355288505554,1.162283797384589e-05,1.0
with_bias,ntp_known_good,7,0,1,split,1.0,0,1,split,1.0,0.9200159311294556,0.9215800762176514,1.1682441709126579e-05,1.0
with_bias,ntp_known_good,8,0,1,split,1.0,0,1,split,1.0,0.9209457039833069,0.9204215407371521,1.162283797384589e-05,1.0
with_bias,ntp_known_good,9,0,1,split,1.0,0,1,split,1.0,0.9208031892776489,0.9181424975395203,1.1622837519098539e-05,1.0
with_bias,ntp_no_router_prior,0,0,0,collapsed,0.0,0,0,collapsed,0.0,0.984538197517395,0.9860522747039795,5.376194530981593e-05,1.0
with_bias,ntp_no_router_prior,1,1,1,collapsed,0.0,1,1,collapsed,0.0,0.9861716628074646,0.9854926466941833,5.417915417638142e-05,1.0
with_bias,ntp_no_router_prior,2,1,0,split,1.0,1,0,split,1.0,0.9031769037246704,0.8908356428146362,7.450552629961749e-06,1.0
with_bias,ntp_no_router_prior,3,0,1,split,1.0,0,1,split,1.0,0.8771010041236877,0.8783593773841858,8.463823633064749e-06,1.0
with_bias,ntp_no_router_prior,4,1,1,collapsed,0.0,1,1,collapsed,0.0,0.9856582283973694,0.9842901825904846,5.298712494550273e-05,1.0
with_bias,ntp_no_router_prior,5,1,1,collapsed,0.0,1,1,collapsed,0.0,0.9855594635009766,0.9844263195991516,5.328513361746445e-05,1.0
with_bias,ntp_no_router_prior,6,0,0,collapsed,0.0,0,0,collapsed,0.0,0.9840822219848633,0.9861279726028442,5.322553261066787e-05,1.0
with_bias,ntp_no_router_prior,7,1,1,collapsed,0.0,1,1,collapsed,0.0,0.9859347343444824,0.9846549034118652,5.364274329622276e-05,1.0
with_bias,ntp_no_router_prior,8,1,1,collapsed,0.0,1,1,collapsed,0.0,0.9860817193984985,0.9846593141555786,5.3702344303019345e-05,1.0
with_bias,ntp_no_router_prior,9,1,0,split,1.0,1,0,split,1.0,0.9041662812232971,0.8902766704559326,7.510156819989788e-06,1.0
with_bias,ntp_no_prior_no_expert_advantage,0,0,0,collapsed,0.0,0,0,collapsed,0.0,0.985500156879425,0.9854174256324768,5.566918844124302e-05,1.0
with_bias,ntp_no_prior_no_expert_advantage,1,1,1,collapsed,0.0,1,1,collapsed,0.0,0.9864048957824707,0.9857326149940491,5.602679630101193e-05,1.0
with_bias,ntp_no_prior_no_expert_advantage,2,1,0,split,1.0,1,0,split,1.0,0.891603410243988,0.8844904899597168,7.927386377559742e-06,1.0
with_bias,ntp_no_prior_no_expert_advantage,3,0,1,split,1.0,0,1,split,1.0,0.8856102228164673,0.8920086622238159,7.927386377559742e-06,1.0
with_bias,ntp_no_prior_no_expert_advantage,4,1,1,collapsed,0.0,1,1,collapsed,0.0,0.9850428104400635,0.9852145314216614,5.519237674889155e-05,1.0
with_bias,ntp_no_prior_no_expert_advantage,5,1,1,collapsed,0.0,1,1,collapsed,0.0,0.9850571751594543,0.9851443767547607,5.5251979574677534e-05,1.0
with_bias,ntp_no_prior_no_expert_advantage,6,0,0,collapsed,0.0,0,0,collapsed,0.0,0.9849696159362793,0.9855980277061462,5.549038542085327e-05,1.0
with_bias,ntp_no_prior_no_expert_advantage,7,1,1,collapsed,0.0,1,1,collapsed,0.0,0.9854211211204529,0.9854114651679993,5.543078441405669e-05,1.0
with_bias,ntp_no_prior_no_expert_advantage,8,1,1,collapsed,0.0,1,1,collapsed,0.0,0.9856259226799011,0.9854023456573486,5.5549986427649856e-05,1.0
with_bias,ntp_no_prior_no_expert_advantage,9,1,0,split,1.0,1,0,split,1.0,0.892263650894165,0.8841453194618225,7.927386377559742e-06,1.0
no_bias,ntp_known_good,0,0,1,split,1.0,0,1,split,1.0,0.9208130836486816,0.9202511310577393,1.1742045444407267e-05,1.0
no_bias,ntp_known_good,1,0,1,split,1.0,0,1,split,1.0,0.9216887354850769,0.9229691028594971,1.1861253369715996e-05,1.0
no_bias,ntp_known_good,2,0,1,split,1.0,0,1,split,1.0,0.9189897179603577,0.923262894153595,1.1801649179687956e-05,1.0
no_bias,ntp_known_good,3,0,1,split,1.0,0,1,split,1.0,0.9190611243247986,0.9191220998764038,1.1742044989659917e-05,1.0
no_bias,ntp_known_good,4,0,1,split,1.0,0,1,split,1.0,0.9220415949821472,0.9184479117393494,1.1801649179687956e-05,1.0
no_bias,ntp_known_good,5,0,1,split,1.0,0,1,split,1.0,0.9197619557380676,0.9195923805236816,1.1742044989659917e-05,1.0
no_bias,ntp_known_good,6,0,1,split,1.0,0,1,split,1.0,0.9192535877227783,0.9183543920516968,1.162283797384589e-05,1.0
no_bias,ntp_known_good,7,0,1,split,1.0,0,1,split,1.0,0.9200681447982788,0.9159162044525146,1.1622837064351188e-05,1.0
