condition,mode,seed,full_ntp_ce,target_ce,target_accuracy,probe_slot_from_h_b,nmi_route_slot,nmi_route_b_id,best_perm_diag_purity,best_perm,assignment_utility_agreement,logit_margin_mean,logit_margin_min,selected_gate_confidence,utility_best_by_slot
C0,multi_b_primary,20260521,0.2253845640841652,0.0056319548010833,1.0,1.0,0.5142634392546924,0.0848502979716982,0.58171875,"1,0,2,3",0.83171875,-1.4694512241026934,-8.537967681884766,0.8660183969665977,"{""0"": 3, ""1"": 0, ""2"": 2, ""3"": 3}"
C0,multi_b_primary,20260522,0.225350162562202,0.0061134074278015,1.0,1.0,1.000088900581841e-06,1.0000889005818413e-06,0.25,"0,1,2,3",1.0,-2.6563918169806984,-8.312591552734375,0.979735816226286,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0}"
C0,multi_b_primary,20260523,0.2250615682672052,0.0063016503863764,1.0,1.0,0.5282171451318456,0.0435223245710712,0.50234375,"0,3,2,1",0.94203125,0.0560286198468769,-7.030110359191895,0.8833807461401996,"{""0"": 0, ""1"": 2, ""2"": 2, ""3"": 0}"
C1,multi_b_primary,20260521,0.2253548643168281,0.0059023490351319,1.0,1.0,0.6404502675337868,0.0612793233638549,0.6828125,"0,1,2,3",0.90484375,5.031353922451244,-17.66183853149414,0.9626274529625388,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 2}"
C1,multi_b_primary,20260522,0.2253403023761861,0.0079354244210662,1.0,1.0,0.0939636678728288,0.108658392545207,0.28296875,"0,1,2,3",0.96703125,-0.2054238941739587,-20.67586708068848,0.9798691518166486,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
C1,multi_b_primary,20260523,0.2250143745366264,0.005206017854507,1.0,1.0,0.6342724043077302,0.0870797446881989,0.67984375,"0,1,2,3",0.8740625,4.750326409059412,-12.560952186584473,0.9683669770465178,"{""0"": 2, ""1"": 1, ""2"": 2, ""3"": 3}"
C2,multi_b_primary,20260521,0.2254038470632889,0.0049573856862843,1.0,1.0,1.0000000000001803,0.0246068450674814,1.0,"0,1,2,3",1.0,10.481596610125374,3.2372074127197266,0.99889057524064,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}"
C2,multi_b_primary,20260522,0.2252066214294994,0.0048715102098867,1.0,1.0,1.0000000000001803,0.0224171156331514,1.0,"0,1,2,3",1.0,10.182028153363396,2.129446506500244,0.9992477052352008,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}"
C2,multi_b_primary,20260523,0.2249767070307451,0.0048065008225603,1.0,1.0,1.0000000000001803,0.0228557646607694,1.0,"0,1,2,3",1.0,9.713845870074104,1.309333324432373,0.9987692832946776,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}"
C3,multi_b_primary,20260521,0.2254197869230719,0.0062471812601143,1.0,1.0,0.2911310388878027,0.0752822783371114,0.37984375,"0,1,2,3",0.87984375,-1.2571642609203564,-7.587868690490723,0.9115098504459156,"{""0"": 3, ""1"": 3, ""2"": 2, ""3"": 3}"
C3,multi_b_primary,20260522,0.2252607161507887,0.0056792548605517,1.0,1.0,0.0884033584311939,0.1804235877892442,0.38,"1,2,0,3",0.668125,-1.67347234136918,-7.247278690338135,0.870270823731142,"{""0"": 3, ""1"": 0, ""2"": 0, ""3"": 3}"
C3,multi_b_primary,20260523,0.2250608083079843,0.0058431198257676,1.0,1.0,0.5855867471938796,0.0691144235739647,0.571875,"0,3,2,1",0.90125,0.0825997485012254,-6.813990592956543,0.8741505601826836,"{""0"": 0, ""1"": 2, ""2"": 2, ""3"": 0}"
C4,multi_b_primary,20260521,0.22546507944079,0.0054007620854099,1.0,1.0,0.8575742455762483,0.052372406848978,0.93046875,"0,1,2,3",0.93046875,3.4515921929303337,-4.086380481719971,0.9182140231132508,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}"
C4,multi_b_primary,20260522,0.2253374097978367,0.0070161970093613,1.0,1.0,1.000088900581841e-06,1.0000889005818413e-06,0.25,"0,1,2,3",1.0,-1.4598060425590067,-6.318109512329102,0.9606893378145556,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
C4,multi_b_primary,20260523,0.2250310489360024,0.0049043546632674,1.0,1.0,0.8594677349182551,0.0165753446030465,0.74875,"0,1,2,3",0.99875,2.6674830633051254,-4.296480178833008,0.9426469557425556,"{""0"": 2, ""1"": 1, ""2"": 2, ""3"": 3}"
C5,multi_b_primary,20260521,0.2255095944685094,0.0051167494374749,1.0,1.0,1.0000000000001803,0.0246068450674814,1.0,"0,1,2,3",1.0,4.058923020082362,2.2776010036468506,0.9616943001747132,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}"
C5,multi_b_primary,20260522,0.2252611701979356,0.0048424485642317,1.0,1.0,1.0000000000001803,0.0224171156331514,1.0,"0,1,2,3",1.0,4.558177751653335,2.468517541885376,0.97249677251367,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}"
C5,multi_b_primary,20260523,0.2250092073398477,0.0047973527618887,1.0,1.0,1.0000000000001803,0.0228557646607694,1.0,"0,1,2,3",1.0,4.188789423774271,2.165672063827514,0.9678459658342248,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}"
