case,condition,seed,expert,count,fraction
C1,B0,20260521,0,0,0.0
C1,B0,20260521,1,0,0.0
C1,B0,20260521,2,2048,1.0
C1,B0,20260521,3,0,0.0
C1,B0,20260522,0,2048,1.0
C1,B0,20260522,1,0,0.0
C1,B0,20260522,2,0,0.0
C1,B0,20260522,3,0,0.0
C1,B0,20260523,0,1536,0.75
C1,B0,20260523,1,0,0.0
C1,B0,20260523,2,0,0.0
C1,B0,20260523,3,512,0.25
C1,I1,20260521,0,0,0.0
C1,I1,20260521,1,0,0.0
C1,I1,20260521,2,2048,1.0
C1,I1,20260521,3,0,0.0
C1,I1,20260522,0,2048,1.0
C1,I1,20260522,1,0,0.0
C1,I1,20260522,2,0,0.0
C1,I1,20260522,3,0,0.0
C1,I1,20260523,0,1536,0.75
C1,I1,20260523,1,0,0.0
C1,I1,20260523,2,0,0.0
C1,I1,20260523,3,512,0.25
C2,B0,20260521,0,2048,1.0
C2,B0,20260521,1,0,0.0
C2,B0,20260521,2,0,0.0
C2,B0,20260521,3,0,0.0
C2,B0,20260522,0,2048,1.0
C2,B0,20260522,1,0,0.0
C2,B0,20260522,2,0,0.0
C2,B0,20260522,3,0,0.0
C2,B0,20260523,0,1536,0.75
C2,B0,20260523,1,0,0.0
C2,B0,20260523,2,512,0.25
C2,B0,20260523,3,0,0.0
C2,I1,20260521,0,2048,1.0
C2,I1,20260521,1,0,0.0
C2,I1,20260521,2,0,0.0
C2,I1,20260521,3,0,0.0
C2,I1,20260522,0,2048,1.0
C2,I1,20260522,1,0,0.0
C2,I1,20260522,2,0,0.0
C2,I1,20260522,3,0,0.0
C2,I1,20260523,0,2048,1.0
C2,I1,20260523,1,0,0.0
C2,I1,20260523,2,0,0.0
C2,I1,20260523,3,0,0.0
C3,B0,20260521,0,1280,0.625
C3,B0,20260521,1,128,0.0625
C3,B0,20260521,2,512,0.25
C3,B0,20260521,3,128,0.0625
C3,B0,20260522,0,1526,0.7451171875
C3,B0,20260522,1,522,0.2548828125
C3,B0,20260522,2,0,0.0
C3,B0,20260522,3,0,0.0
C3,B0,20260523,0,1408,0.6875
C3,B0,20260523,1,0,0.0
C3,B0,20260523,2,384,0.1875
C3,B0,20260523,3,256,0.125
C3,I1,20260521,0,1952,0.953125
C3,I1,20260521,1,0,0.0
C3,I1,20260521,2,96,0.046875
C3,I1,20260521,3,0,0.0
C3,I1,20260522,0,2048,1.0
C3,I1,20260522,1,0,0.0
C3,I1,20260522,2,0,0.0
C3,I1,20260522,3,0,0.0
C3,I1,20260523,0,1920,0.9375
C3,I1,20260523,1,0,0.0
C3,I1,20260523,2,0,0.0
C3,I1,20260523,3,128,0.0625
