case,condition,seed,target_accuracy,target_ce,expert_load_entropy_norm,expert_load_max_fraction,active_experts,nmi_route_family,nmi_route_feature,consistency_feature
P3a,B0,20260521,1.0,0.0005192287808313267,0.5608203759816685,0.6875,3,0.34263337811521566,0.5295377139988271,1.0
P3a,B0,20260522,1.0,0.0005696639254892943,0.9886084738939609,0.3125,4,0.47600795728058204,0.7030677423732414,1.0
P3a,B0,20260523,1.0,0.0005465648082463304,0.4480191050638881,0.6875,2,0.028072063517005585,0.47329648016233,1.0
P3a,I1,20260521,1.0,0.0007414177980535896,0.5997301178738348,0.6875,3,0.48206295703686725,0.547599373014422,1.0
P3a,I1,20260522,1.0,0.0005728200885641854,0.8858910617442196,0.4375,4,0.30224812891223773,0.6655415504686246,1.0
P3a,I1,20260523,1.0,0.0007680101880396251,0.3481061280104411,0.8125,2,0.07436685942256024,0.4171966742817925,1.0
P3b,B0,20260521,1.0,0.0003808897909038933,-0.0,1.0,1,1.000088900581841e-06,1.0000889005818406e-06,1.0
P3b,B0,20260522,1.0,0.0003989204196841456,0.9025182584383105,0.375,4,0.7365175310011971,0.6717582401017023,1.0
P3b,B0,20260523,1.0,0.0003833018599834759,0.43419634346609154,0.8125,3,0.22048673477220396,0.4659379596610272,1.0
P3b,I1,20260521,1.0,0.005334416760888416,-0.0,1.0,1,1.000088900581841e-06,1.0000889005818406e-06,1.0
P3b,I1,20260522,1.0,0.0004312931341701187,0.9025182584383105,0.375,4,0.7116859565621139,0.6717582401017023,1.0
P3b,I1,20260523,1.0,0.0005745093039877247,-0.0,1.0,1,1.000088900581841e-06,1.0000889005818406e-06,1.0
