case,condition,seed,axis,axis_value,expert,count,fraction
C1,B0,20260521,s1,0,0,0,0.0
C1,B0,20260521,s1,0,1,0,0.0
C1,B0,20260521,s1,0,2,512,1.0
C1,B0,20260521,s1,0,3,0,0.0
C1,B0,20260521,s1,1,0,0,0.0
C1,B0,20260521,s1,1,1,0,0.0
C1,B0,20260521,s1,1,2,512,1.0
C1,B0,20260521,s1,1,3,0,0.0
C1,B0,20260521,s1,2,0,0,0.0
C1,B0,20260521,s1,2,1,0,0.0
C1,B0,20260521,s1,2,2,512,1.0
C1,B0,20260521,s1,2,3,0,0.0
C1,B0,20260521,s1,3,0,0,0.0
C1,B0,20260521,s1,3,1,0,0.0
C1,B0,20260521,s1,3,2,512,1.0
C1,B0,20260521,s1,3,3,0,0.0
C1,B0,20260521,s2,0,0,0,0.0
C1,B0,20260521,s2,0,1,0,0.0
C1,B0,20260521,s2,0,2,512,1.0
C1,B0,20260521,s2,0,3,0,0.0
C1,B0,20260521,s2,1,0,0,0.0
C1,B0,20260521,s2,1,1,0,0.0
C1,B0,20260521,s2,1,2,512,1.0
C1,B0,20260521,s2,1,3,0,0.0
C1,B0,20260521,s2,2,0,0,0.0
C1,B0,20260521,s2,2,1,0,0.0
C1,B0,20260521,s2,2,2,512,1.0
C1,B0,20260521,s2,2,3,0,0.0
C1,B0,20260521,s2,3,0,0,0.0
C1,B0,20260521,s2,3,1,0,0.0
C1,B0,20260521,s2,3,2,512,1.0
C1,B0,20260521,s2,3,3,0,0.0
C1,B0,20260521,b_id,0,0,0,0.0
C1,B0,20260521,b_id,0,1,0,0.0
C1,B0,20260521,b_id,0,2,32,1.0
C1,B0,20260521,b_id,0,3,0,0.0
C1,B0,20260521,b_id,1,0,0,0.0
C1,B0,20260521,b_id,1,1,0,0.0
C1,B0,20260521,b_id,1,2,32,1.0
C1,B0,20260521,b_id,1,3,0,0.0
C1,B0,20260521,b_id,2,0,0,0.0
C1,B0,20260521,b_id,2,1,0,0.0
C1,B0,20260521,b_id,2,2,32,1.0
C1,B0,20260521,b_id,2,3,0,0.0
C1,B0,20260521,b_id,3,0,0,0.0
C1,B0,20260521,b_id,3,1,0,0.0
C1,B0,20260521,b_id,3,2,32,1.0
C1,B0,20260521,b_id,3,3,0,0.0
C1,B0,20260521,b_id,4,0,0,0.0
C1,B0,20260521,b_id,4,1,0,0.0
C1,B0,20260521,b_id,4,2,32,1.0
C1,B0,20260521,b_id,4,3,0,0.0
C1,B0,20260521,b_id,5,0,0,0.0
C1,B0,20260521,b_id,5,1,0,0.0
C1,B0,20260521,b_id,5,2,32,1.0
C1,B0,20260521,b_id,5,3,0,0.0
C1,B0,20260521,b_id,6,0,0,0.0
C1,B0,20260521,b_id,6,1,0,0.0
C1,B0,20260521,b_id,6,2,32,1.0
C1,B0,20260521,b_id,6,3,0,0.0
C1,B0,20260521,b_id,7,0,0,0.0
C1,B0,20260521,b_id,7,1,0,0.0
C1,B0,20260521,b_id,7,2,32,1.0
C1,B0,20260521,b_id,7,3,0,0.0
C1,B0,20260521,b_id,8,0,0,0.0
C1,B0,20260521,b_id,8,1,0,0.0
C1,B0,20260521,b_id,8,2,32,1.0
C1,B0,20260521,b_id,8,3,0,0.0
C1,B0,20260521,b_id,9,0,0,0.0
C1,B0,20260521,b_id,9,1,0,0.0
C1,B0,20260521,b_id,9,2,32,1.0
C1,B0,20260521,b_id,9,3,0,0.0
C1,B0,20260521,b_id,10,0,0,0.0
C1,B0,20260521,b_id,10,1,0,0.0
C1,B0,20260521,b_id,10,2,32,1.0
C1,B0,20260521,b_id,10,3,0,0.0
C1,B0,20260521,b_id,11,0,0,0.0
C1,B0,20260521,b_id,11,1,0,0.0
C1,B0,20260521,b_id,11,2,32,1.0
C1,B0,20260521,b_id,11,3,0,0.0
C1,B0,20260521,b_id,12,0,0,0.0
C1,B0,20260521,b_id,12,1,0,0.0
C1,B0,20260521,b_id,12,2,32,1.0
C1,B0,20260521,b_id,12,3,0,0.0
C1,B0,20260521,b_id,13,0,0,0.0
C1,B0,20260521,b_id,13,1,0,0.0
C1,B0,20260521,b_id,13,2,32,1.0
C1,B0,20260521,b_id,13,3,0,0.0
C1,B0,20260521,b_id,14,0,0,0.0
C1,B0,20260521,b_id,14,1,0,0.0
C1,B0,20260521,b_id,14,2,32,1.0
C1,B0,20260521,b_id,14,3,0,0.0
C1,B0,20260521,b_id,15,0,0,0.0
C1,B0,20260521,b_id,15,1,0,0.0
C1,B0,20260521,b_id,15,2,32,1.0
C1,B0,20260521,b_id,15,3,0,0.0
C1,B0,20260521,b_id,16,0,0,0.0
C1,B0,20260521,b_id,16,1,0,0.0
C1,B0,20260521,b_id,16,2,32,1.0
C1,B0,20260521,b_id,16,3,0,0.0
C1,B0,20260521,b_id,17,0,0,0.0
C1,B0,20260521,b_id,17,1,0,0.0
C1,B0,20260521,b_id,17,2,32,1.0
C1,B0,20260521,b_id,17,3,0,0.0
C1,B0,20260521,b_id,18,0,0,0.0
C1,B0,20260521,b_id,18,1,0,0.0
C1,B0,20260521,b_id,18,2,32,1.0
C1,B0,20260521,b_id,18,3,0,0.0
C1,B0,20260521,b_id,19,0,0,0.0
C1,B0,20260521,b_id,19,1,0,0.0
C1,B0,20260521,b_id,19,2,32,1.0
C1,B0,20260521,b_id,19,3,0,0.0
C1,B0,20260521,b_id,20,0,0,0.0
C1,B0,20260521,b_id,20,1,0,0.0
C1,B0,20260521,b_id,20,2,32,1.0
C1,B0,20260521,b_id,20,3,0,0.0
C1,B0,20260521,b_id,21,0,0,0.0
C1,B0,20260521,b_id,21,1,0,0.0
C1,B0,20260521,b_id,21,2,32,1.0
C1,B0,20260521,b_id,21,3,0,0.0
C1,B0,20260521,b_id,22,0,0,0.0
C1,B0,20260521,b_id,22,1,0,0.0
C1,B0,20260521,b_id,22,2,32,1.0
C1,B0,20260521,b_id,22,3,0,0.0
C1,B0,20260521,b_id,23,0,0,0.0
C1,B0,20260521,b_id,23,1,0,0.0
C1,B0,20260521,b_id,23,2,32,1.0
C1,B0,20260521,b_id,23,3,0,0.0
C1,B0,20260521,b_id,24,0,0,0.0
C1,B0,20260521,b_id,24,1,0,0.0
C1,B0,20260521,b_id,24,2,32,1.0
C1,B0,20260521,b_id,24,3,0,0.0
C1,B0,20260521,b_id,25,0,0,0.0
C1,B0,20260521,b_id,25,1,0,0.0
C1,B0,20260521,b_id,25,2,32,1.0
C1,B0,20260521,b_id,25,3,0,0.0
C1,B0,20260521,b_id,26,0,0,0.0
C1,B0,20260521,b_id,26,1,0,0.0
C1,B0,20260521,b_id,26,2,32,1.0
C1,B0,20260521,b_id,26,3,0,0.0
C1,B0,20260521,b_id,27,0,0,0.0
C1,B0,20260521,b_id,27,1,0,0.0
C1,B0,20260521,b_id,27,2,32,1.0
C1,B0,20260521,b_id,27,3,0,0.0
C1,B0,20260521,b_id,28,0,0,0.0
C1,B0,20260521,b_id,28,1,0,0.0
C1,B0,20260521,b_id,28,2,32,1.0
C1,B0,20260521,b_id,28,3,0,0.0
C1,B0,20260521,b_id,29,0,0,0.0
C1,B0,20260521,b_id,29,1,0,0.0
C1,B0,20260521,b_id,29,2,32,1.0
C1,B0,20260521,b_id,29,3,0,0.0
C1,B0,20260521,b_id,30,0,0,0.0
C1,B0,20260521,b_id,30,1,0,0.0
C1,B0,20260521,b_id,30,2,32,1.0
C1,B0,20260521,b_id,30,3,0,0.0
C1,B0,20260521,b_id,31,0,0,0.0
C1,B0,20260521,b_id,31,1,0,0.0
C1,B0,20260521,b_id,31,2,32,1.0
C1,B0,20260521,b_id,31,3,0,0.0
C1,B0,20260521,b_id,32,0,0,0.0
C1,B0,20260521,b_id,32,1,0,0.0
C1,B0,20260521,b_id,32,2,32,1.0
C1,B0,20260521,b_id,32,3,0,0.0
C1,B0,20260521,b_id,33,0,0,0.0
C1,B0,20260521,b_id,33,1,0,0.0
C1,B0,20260521,b_id,33,2,32,1.0
C1,B0,20260521,b_id,33,3,0,0.0
C1,B0,20260521,b_id,34,0,0,0.0
C1,B0,20260521,b_id,34,1,0,0.0
C1,B0,20260521,b_id,34,2,32,1.0
C1,B0,20260521,b_id,34,3,0,0.0
C1,B0,20260521,b_id,35,0,0,0.0
C1,B0,20260521,b_id,35,1,0,0.0
C1,B0,20260521,b_id,35,2,32,1.0
C1,B0,20260521,b_id,35,3,0,0.0
C1,B0,20260521,b_id,36,0,0,0.0
C1,B0,20260521,b_id,36,1,0,0.0
C1,B0,20260521,b_id,36,2,32,1.0
