case,condition,seed,target_accuracy,target_ce,expert_load_entropy_norm,expert_load_max_fraction,active_experts,nmi_route_s1,consistency_s1,nmi_route_s2,consistency_s2,nmi_route_b_id,consistency_b_id,nmi_route_s1_s2,consistency_s1_s2
C1,B0,20260521,1.0,0.0004936046742329836,-0.0,1.0,1,1.000088900581841e-06,1.0,1.000088900581841e-06,1.0,1.0000889005818415e-06,1.0,1.0000889005818406e-06,1.0
C1,B0,20260522,1.0,0.00048136816175770036,-0.0,1.0,1,1.000088900581841e-06,1.0,1.000088900581841e-06,1.0,1.0000889005818415e-06,1.0,1.0000889005818406e-06,1.0
C1,B0,20260523,1.0,0.00041317560024367594,0.40563905424694935,0.75,2,0.6368979998637679,1.0,1.132695735916693e-12,0.75,6.539621880414436e-13,0.75,0.45035489462781914,1.0
C1,I1,20260521,1.0,0.0007728545078009574,-0.0,1.0,1,1.000088900581841e-06,1.0,1.000088900581841e-06,1.0,1.0000889005818415e-06,1.0,1.0000889005818406e-06,1.0
C1,I1,20260522,1.0,0.0006922729133975736,-0.0,1.0,1,1.000088900581841e-06,1.0,1.000088900581841e-06,1.0,1.0000889005818415e-06,1.0,1.0000889005818406e-06,1.0
C1,I1,20260523,1.0,0.0006475746368437285,0.40563905424694935,0.75,2,0.6368979998637679,1.0,1.132695735916693e-12,0.75,6.539621880414436e-13,0.75,0.45035489462781914,1.0
C2,B0,20260521,1.0,0.0004830813885234875,-0.0,1.0,1,1.000088900581841e-06,1.0,1.000088900581841e-06,1.0,1.0000889005818415e-06,1.0,1.0000889005818406e-06,1.0
C2,B0,20260522,1.0,0.00044819961317443813,-0.0,1.0,1,1.000088900581841e-06,1.0,1.000088900581841e-06,1.0,1.0000889005818415e-06,1.0,1.0000889005818406e-06,1.0
C2,B0,20260523,1.0,0.0004793836875762736,0.40563905424694935,0.75,2,1.1326957359166933e-12,0.75,0.6368979998637679,1.0,6.53962188041444e-13,0.75,0.45035489462781925,1.0
C2,I1,20260521,1.0,0.0011804939943260706,-0.0,1.0,1,1.000088900581841e-06,1.0,1.000088900581841e-06,1.0,1.0000889005818415e-06,1.0,1.0000889005818406e-06,1.0
C2,I1,20260522,1.0,0.0007365731537163356,-0.0,1.0,1,1.000088900581841e-06,1.0,1.000088900581841e-06,1.0,1.0000889005818415e-06,1.0,1.0000889005818406e-06,1.0
C2,I1,20260523,1.0,0.001011267658810766,-0.0,1.0,1,1.000088900581841e-06,1.0,1.000088900581841e-06,1.0,1.0000889005818415e-06,1.0,1.0000889005818406e-06,1.0
C3,B0,20260521,1.0,0.0007519735279970519,0.7118975037361975,0.625,4,0.6033586627833936,0.875,0.18686816124074526,0.625,4.936302266920713e-13,0.625,0.5966143940387142,1.0
C3,B0,20260522,1.0,0.0007800701281439615,0.409462916506233,0.7451171875,2,0.31716911607338116,0.8701171875,0.12182392887341126,0.7451171875,0.0004627969830087895,0.7451171875,0.438813714778135,0.9951171875
C3,B0,20260523,1.0,0.0006880122353436491,0.5997301178738348,0.6875,3,0.3708959404765337,0.75,0.23994704528429922,0.6875,5.377921387910472e-13,0.6875,0.547599373014422,1.0
C3,I1,20260521,1.0,0.09401363860982315,0.13648543172472494,0.953125,2,0.13387555287255767,0.953125,0.13387555287255767,0.953125,0.01563032662349089,0.953125,0.21270850108835243,0.984375
C3,I1,20260522,1.0,0.0017267117148662692,-0.0,1.0,1,1.000088900581841e-06,1.0,1.000088900581841e-06,1.0,1.0000889005818415e-06,1.0,1.0000889005818406e-06,1.0
C3,I1,20260523,1.0,0.0014144432181808497,0.16864503730209252,0.9375,2,0.163723251474526,0.9375,0.163723251474526,0.9375,1.014214275058455e-12,0.9375,0.2903833959696909,1.0
