case,condition,seed,expert,count,fraction
P3a,B0,20260521,0,0,0.0
P3a,B0,20260521,1,704,0.6875
P3a,B0,20260521,2,256,0.25
P3a,B0,20260521,3,64,0.0625
P3a,B0,20260522,0,192,0.1875
P3a,B0,20260522,1,320,0.3125
P3a,B0,20260522,2,256,0.25
P3a,B0,20260522,3,256,0.25
P3a,B0,20260523,0,0,0.0
P3a,B0,20260523,1,320,0.3125
P3a,B0,20260523,2,0,0.0
P3a,B0,20260523,3,704,0.6875
P3a,I1,20260521,0,0,0.0
P3a,I1,20260521,1,704,0.6875
P3a,I1,20260521,2,192,0.1875
P3a,I1,20260521,3,128,0.125
P3a,I1,20260522,0,448,0.4375
P3a,I1,20260522,1,64,0.0625
P3a,I1,20260522,2,256,0.25
P3a,I1,20260522,3,256,0.25
P3a,I1,20260523,0,0,0.0
P3a,I1,20260523,1,192,0.1875
P3a,I1,20260523,2,0,0.0
P3a,I1,20260523,3,832,0.8125
P3b,B0,20260521,0,0,0.0
P3b,B0,20260521,1,1024,1.0
P3b,B0,20260521,2,0,0.0
P3b,B0,20260521,3,0,0.0
P3b,B0,20260522,0,384,0.375
P3b,B0,20260522,1,64,0.0625
P3b,B0,20260522,2,320,0.3125
P3b,B0,20260522,3,256,0.25
P3b,B0,20260523,0,128,0.125
P3b,B0,20260523,1,64,0.0625
P3b,B0,20260523,2,0,0.0
P3b,B0,20260523,3,832,0.8125
P3b,I1,20260521,0,0,0.0
P3b,I1,20260521,1,1024,1.0
P3b,I1,20260521,2,0,0.0
P3b,I1,20260521,3,0,0.0
P3b,I1,20260522,0,320,0.3125
P3b,I1,20260522,1,64,0.0625
P3b,I1,20260522,2,384,0.375
P3b,I1,20260522,3,256,0.25
P3b,I1,20260523,0,0,0.0
P3b,I1,20260523,1,0,0.0
P3b,I1,20260523,2,0,0.0
P3b,I1,20260523,3,1024,1.0
