case,condition,seed,family_purity_actual,family_purity_random_mean,family_purity_delta,family_purity_random_p025,family_purity_random_p975
P3a,B0,20260521,0.5,0.413,0.08700000000000002,0.3125,0.5
P3a,B0,20260522,0.625,0.4845625,0.1404375,0.375,0.625
P3a,B0,20260523,0.3125,0.37475,-0.06225000000000003,0.3125,0.4375
P3a,I1,20260521,0.5625,0.4021875,0.16031250000000002,0.3125,0.5
P3a,I1,20260522,0.5,0.482625,0.017374999999999974,0.375,0.625
P3a,I1,20260523,0.3125,0.3495625,-0.0370625,0.3125,0.4375
P3b,B0,20260521,0.25,0.25,0.0,0.25,0.25
P3b,B0,20260522,0.75,0.4788125,0.2711875,0.375,0.625
P3b,B0,20260523,0.375,0.3865625,-0.011562499999999976,0.375,0.4375
P3b,I1,20260521,0.25,0.25,0.0,0.25,0.25
P3b,I1,20260522,0.75,0.4806875,0.2693125,0.375,0.625
P3b,I1,20260523,0.25,0.25,0.0,0.25,0.25
