variant,router_metric,seed,step,source_variant,cancel_active,slot_to_expert_NMI,per_slot_route_purity,max_load,load_entropy_norm,active_experts,target_accuracy,cross_entropy_loss,slot_component_variance_ratio,position_component_variance_ratio,residual_component_variance_ratio,alpha,cancel_until
R2P2_alpha_0,dot_product,20260521,0,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,0.225,3.442857676744461,0.16776642203330994,0.7427613139152527,0.0894722267985344,0.0,
R2P2_alpha_0,dot_product,20260521,1,original,0,0.08311061510511254,0.8499999940395355,0.8500000238418579,0.3049201449937279,2,0.25,3.0376278549432754,0.20921096205711365,0.6823692321777344,0.10841982066631317,0.0,
R2P2_alpha_0,dot_product,20260521,2,original,0,0.08311061510511256,0.8499999940395355,0.8500000238418579,0.3049201449937279,2,0.25,2.675804540514946,0.26606661081314087,0.60836261510849,0.12557081878185272,0.0,
R2P2_alpha_0,dot_product,20260521,5,original,0,0.08852022993815487,0.9749999940395355,0.9750000238418579,0.0843304513508173,2,0.5,1.7683840483427047,0.5330944657325745,0.35838404297828674,0.10852134972810745,0.0,
R2P2_alpha_0,dot_product,20260521,10,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,0.5698025222867728,0.8832728266716003,0.08014712482690811,0.036580055952072144,0.0,
R2P2_alpha_0,dot_product,20260521,20,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,0.02204294057446532,0.998651921749115,0.0007296133553609252,0.0006184978410601616,0.0,
R2P2_alpha_0,dot_product,20260521,50,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,0.0040371524228248745,0.9999997615814209,1.209128299706208e-07,1.3706127788282174e-07,0.0,
R2P2_alpha_0,dot_product,20260521,1600,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,3.658762570921681e-05,0.9999995827674866,2.0644880294184986e-07,2.389145663528325e-07,0.0,
R2P2_alpha_0,dot_product,20260522,0,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,0.0,3.550990563631058,0.24910278618335724,0.6413460969924927,0.10955111682415009,0.0,
R2P2_alpha_0,dot_product,20260522,1,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,0.225,3.1181113183498383,0.28409555554389954,0.617742657661438,0.09816168993711472,0.0,
R2P2_alpha_0,dot_product,20260522,2,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,0.375,2.7154725193977356,0.31398552656173706,0.5929584503173828,0.09305606037378311,0.0,
R2P2_alpha_0,dot_product,20260522,5,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,0.3,1.7547498917207123,0.47113263607025146,0.45400357246398926,0.07486379891633987,0.0,
R2P2_alpha_0,dot_product,20260522,10,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,0.7956297613680363,0.8029668927192688,0.15805333852767944,0.03897963836789131,0.0,
R2P2_alpha_0,dot_product,20260522,20,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,0.03615129875252023,0.9907884001731873,0.006179132964462042,0.0030324324034154415,0.0,
R2P2_alpha_0,dot_product,20260522,50,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,0.004881632060278207,0.9994786381721497,0.00033439075923524797,0.00018689941498450935,0.0,
R2P2_alpha_0,dot_product,20260522,1600,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,4.385314632600057e-05,0.9998472929000854,9.280034282710403e-05,5.999041968607344e-05,0.0,
