variant,seed,step,slot,block_start_index,top1_expert,runner_up_expert,final_dominant_expert_for_slot,common_argmax_expert,common_predicts_final_expert,total_margin,reconstructed_margin,reconstruction_error,common_margin,slot_margin,position_margin,residual_margin,common_margin_abs_frac,slot_margin_abs_frac,position_margin_abs_frac,residual_margin_abs_frac,dominant_component
P1_clean_baseline,20260521,0,0,0,2,0,2,2,1,0.017977118492126465,0.01797710731625557,1.1175870895385742e-08,0.20199285447597504,-0.041060782968997955,-0.03675687685608864,-0.10619808733463287,11.236108532323627,2.284058092345643,2.0446478601221463,5.9074032015278215,common
P1_clean_baseline,20260521,0,0,1,2,0,2,2,1,0.12626135349273682,0.12626139353960752,4.0046870708465576e-08,0.20199285447597504,-0.041060782968997955,-0.002975066192448139,-0.03169561177492142,1.599799533968996,0.32520467928739555,0.023562761764780858,0.2510317757424065,common
P1_clean_baseline,20260521,0,0,2,2,0,2,2,1,0.15819329023361206,0.158193526789546,2.3655593395233154e-07,0.20199285447597504,-0.041060782968997955,0.00305841863155365,-0.005796963348984718,1.2768737168161932,0.25956083793668755,0.019333428282812298,0.036644811802220234,common
P1_clean_baseline,20260521,0,0,3,2,0,2,2,1,0.17272034287452698,0.17272035544738173,1.257285475730896e-08,0.20199285447597504,-0.041060782968997955,0.004751143977046013,0.007037139963358641,1.1694792351281582,0.23772986022165693,0.027507726640500538,0.040742971246130424,common
P1_clean_baseline,20260521,0,0,4,2,0,2,2,1,0.1806088387966156,0.1806087987497449,4.0046870708465576e-08,0.20199285447597504,-0.041060782968997955,0.005246613174676895,0.014430114068090916,1.1183996078034701,0.22734647563531862,0.0290495925317649,0.07989705356746538,common
P1_clean_baseline,20260521,0,0,5,2,0,2,2,1,0.18562132120132446,0.18562136124819517,4.0046870708465576e-08,0.20199285447597504,-0.041060782968997955,0.005478383041918278,0.019210906699299812,1.0881985602122402,0.2212072551970661,0.029513759553389,0.10349515117643035,common
P1_clean_baseline,20260521,0,0,6,2,0,2,2,1,0.1889095902442932,0.18890954926609993,4.0978193283081055e-08,0.20199285447597504,-0.041060782968997955,0.005487419664859772,0.022490058094263077,1.0692567498281207,0.21735679441101516,0.02904786177220318,0.11905196589108838,common
P1_clean_baseline,20260521,0,0,7,2,0,2,2,1,0.19123438000679016,0.19123444519937038,6.51925802230835e-08,0.20199285447597504,-0.041060782968997955,0.005282148718833923,0.02502022497355938,1.0562580560503967,0.2147144408214674,0.0276213341902558,0.130835391484894,common
P1_clean_baseline,20260521,0,0,8,2,0,2,2,1,0.1932373344898224,0.19323735404759645,1.955777406692505e-08,0.20199285447597504,-0.041060782968997955,0.00525848101824522,0.027046801522374153,1.045309670666223,0.21248887062846847,0.02721255202639001,0.13996674914701165,common
P1_clean_baseline,20260521,0,0,9,2,0,2,2,1,0.19455674290657043,0.19455700926482677,2.6635825634002686e-07,0.20199285447597504,-0.041060782968997955,0.005169278010725975,0.028455659747123718,1.0382207856603334,0.21104785347232125,0.026569513518266252,0.1462589233455076,common
