variant,router_metric,seed,step,source_variant,cancel_active,slot_to_expert_NMI,per_slot_route_purity,max_load,load_entropy_norm,active_experts,target_accuracy,cross_entropy_loss,slot_component_variance_ratio,position_component_variance_ratio,residual_component_variance_ratio,alpha,cancel_until,initial_slot_minus_common_margin_mean
R2P2_alpha_0,dot_product,20260521,1600,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,3.658762570921681e-05,0.9999995827674866,2.0644880294184986e-07,2.389145663528325e-07,0.0,,-0.19163944548927248
R2P2_alpha_0,dot_product,20260522,1600,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,4.385314632600057e-05,0.9998472929000854,9.280034282710403e-05,5.999041968607344e-05,0.0,,-0.2528739803470671
R2P2_alpha_0,dot_product,20260523,1600,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,3.580980701372028e-05,0.9997217059135437,0.00013117461639922112,0.00014721097250003368,0.0,,-0.3232039545662701
R2P2_alpha_0,dot_product,20260524,1600,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,4.087899915248272e-05,0.9995620846748352,0.00020504540589172393,0.0002329064009245485,0.0,,-0.35729756457731127
R2P2_alpha_0,dot_product,20260525,1600,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,3.9168414423329524e-05,0.9999831318855286,1.0225297046417836e-05,6.585763458133442e-06,0.0,,-0.4257965766591951
R2P2_alpha_0,dot_product,20260526,1600,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,4.075086171724251e-05,0.9950392246246338,0.002729173982515931,0.002231542021036148,0.0,,-0.03471412882208824
R2P2_alpha_0,dot_product,20260527,1600,original,0,0.6368979998637679,1.0,0.75,0.40563905424694935,2,1.0,4.1576292596801066e-05,0.999839723110199,8.882935799192637e-05,7.149008888518438e-05,0.0,,-0.3595525011885911
R2P2_alpha_0,dot_product,20260528,1600,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,3.297571947769029e-05,0.9999920129776001,2.328748450963758e-06,5.698182121705031e-06,0.0,,0.008570350706577301
R2P2_alpha_0.05,dot_product,20260521,1600,original,0,0.8417442805882993,0.9749999940395355,0.4749999940395355,0.821599217328803,4,1.0,2.9563449515990214e-05,0.988524854183197,0.003614338580518961,0.007860726676881313,0.05,,0.14961148519068956
R2P2_alpha_0.05,dot_product,20260522,1600,original,0,0.6368979998637679,1.0,0.75,0.40563905424694935,2,1.0,3.980020046583377e-05,0.9999718070030212,1.7914187992573716e-05,1.0328151802241337e-05,0.05,,-0.08945020674727858
R2P2_alpha_0.05,dot_product,20260523,1600,original,0,0.8417442805882993,0.9749999940395355,0.4749999940395355,0.821599217328803,4,1.0,3.360451019034372e-05,0.9901571273803711,0.0036630453541874886,0.006179722957313061,0.05,,-0.028659805841743945
R2P2_alpha_0.05,dot_product,20260524,1600,original,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,3.901047039107652e-05,0.9993773102760315,0.00027843491989187896,0.000344415515428409,0.05,,-0.17055678851902484
R2P2_alpha_0.05,dot_product,20260525,1600,original,0,0.6368979998637679,1.0,0.75,0.40563905424694935,2,1.0,3.8778023463237335e-05,0.999971866607666,1.385121595376404e-05,1.4330279554997105e-05,0.05,,-0.12396766599267721
R2P2_alpha_0.05,dot_product,20260526,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.3229028895220834e-05,0.985084056854248,0.010020708665251732,0.004895175341516733,0.05,,0.19207717103417962
R2P2_alpha_0.05,dot_product,20260527,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.880780404870165e-05,0.9996844530105591,9.82883429969661e-05,0.00021731438755523413,0.05,,0.013732806593179703
R2P2_alpha_0.05,dot_product,20260528,1600,original,0,0.6368979998637679,1.0,0.75,0.40563905424694935,2,1.0,2.9512802575482057e-05,0.9998283386230469,8.801136573310941e-05,8.37652842164971e-05,0.05,,0.10172463748604059
R2P2_alpha_0.1,dot_product,20260521,1600,original,0,0.8417442805882993,0.9749999940395355,0.4749999940395355,0.821599217328803,4,1.0,2.8678343142019003e-05,0.9888030290603638,0.003369715763255954,0.007827208377420902,0.1,,0.2442770877853036
R2P2_alpha_0.1,dot_product,20260522,1600,original,0,0.6368979998637679,1.0,0.75,0.40563905424694935,2,1.0,3.855749055219349e-05,0.9999706745147705,1.750434239511378e-05,1.1836386875074822e-05,0.1,,0.06877174023538828
R2P2_alpha_0.1,dot_product,20260523,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.271941600360151e-05,0.9930624961853027,0.0027516097761690617,0.004185972735285759,0.1,,0.22149296402931212
R2P2_alpha_0.1,dot_product,20260524,1600,original,0,0.6368979998637679,1.0,0.75,0.40563905424694935,2,1.0,3.654292931969394e-05,0.99803626537323,0.0008759873453527689,0.0010878341272473335,0.1,,0.06976450979709625
R2P2_alpha_0.1,dot_product,20260525,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.5639958059618945e-05,0.9999647736549377,1.854590664152056e-05,1.6554162357351743e-05,0.1,,0.07179909814149141
R2P2_alpha_0.1,dot_product,20260526,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.256445952501963e-05,0.9842045903205872,0.010839574970304966,0.004955904558300972,0.1,,0.31299486141651867
R2P2_alpha_0.1,dot_product,20260527,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.694821634780965e-05,0.999187707901001,0.0003669440920930356,0.0004454194859135896,0.1,,0.2004613071680069
R2P2_alpha_0.1,dot_product,20260528,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.060651029045403e-05,0.9997979402542114,0.00010078398190671578,0.00010133944306289777,0.1,,0.15090597476810216
R2P2_alpha_0.2,dot_product,20260521,1600,original,0,0.8417442805882993,0.9749999940395355,0.4749999940395355,0.821599217328803,4,1.0,3.107139646090218e-05,0.9896411895751953,0.0030012736096978188,0.007357516326010227,0.2,,0.23756974395364522
R2P2_alpha_0.2,dot_product,20260522,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.36671078002837e-05,0.9970177412033081,0.0008179857395589352,0.0021642320789396763,0.2,,0.1926704295910895
R2P2_alpha_0.2,dot_product,20260523,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.0910475697965015e-05,0.9959015846252441,0.0013309279456734657,0.0027674611192196608,0.2,,0.2918758803978562
