variant,router_metric,seed,step,slot_to_expert_NMI,per_slot_route_purity,max_load,load_entropy,load_entropy_norm,active_experts,target_accuracy,cross_entropy_loss,slot_component_variance_ratio,position_component_variance_ratio,residual_component_variance_ratio,cancel_until,source_variant,cancel_active,alpha
baseline_random_init_dot_product,dot_product,20260521,1600,1.000088900581841e-06,1.0,1.0,-0.0,-0.0,1,1.0,3.6396898940438406e-05,0.9999994039535522,2.826101024311356e-07,3.8508156308125763e-07,,,,
baseline_random_init_dot_product,dot_product,20260522,1600,1.000088900581841e-06,1.0,1.0,-0.0,-0.0,1,1.0,4.405579347803723e-05,0.9998599886894226,8.263083873316646e-05,5.733241778216325e-05,,,,
baseline_random_init_dot_product,dot_product,20260523,1600,1.000088900581841e-06,1.0,1.0,-0.0,-0.0,1,1.0,3.569358204913442e-05,0.9996725916862488,0.00014652482059318572,0.00018092077516485006,,,,
baseline_random_init_dot_product,dot_product,20260524,1600,1.000088900581841e-06,1.0,1.0,-0.0,-0.0,1,1.0,4.100053331228537e-05,0.9995688796043396,0.00020316206791903824,0.0002278818574268371,,,,
baseline_random_init_dot_product,dot_product,20260525,1600,1.000088900581841e-06,1.0,1.0,-0.0,-0.0,1,1.0,3.9061129336914745e-05,0.9999834895133972,1.0051535355160013e-05,6.494194622064242e-06,,,,
baseline_random_init_dot_product,dot_product,20260526,1600,1.000088900581841e-06,1.0,1.0,-0.0,-0.0,1,1.0,4.0756821999821116e-05,0.9949929118156433,0.0027646319940686226,0.002242500428110361,,,,
baseline_random_init_dot_product,dot_product,20260527,1600,0.6368979998637679,1.0,0.75,0.5623351335525513,0.40563905424694935,2,1.0,4.187729127806961e-05,0.9999524354934692,1.7374397430103272e-05,3.01790041703498e-05,,,,
baseline_random_init_dot_product,dot_product,20260528,1600,1.000088900581841e-06,1.0,1.0,-0.0,-0.0,1,1.0,3.327075301058357e-05,0.9999949932098389,1.4807454817855614e-06,3.4521196994319325e-06,,,,
R2P3_cancel_0_10,dot_product,20260521,1600,1.0000000000001803,1.0,0.25,,1.0000000027478353,4,1.0,3.0290611766758958e-05,0.9971115589141846,0.0010821024188771844,0.0018062375020235777,10,original,0,
R2P3_cancel_0_10,dot_product,20260522,1600,0.866025403784751,1.0,0.5,,0.7500000020608765,3,1.0,4.4160050947539276e-05,0.9921106696128845,0.004276479594409466,0.003612849395722151,10,original,0,
R2P3_cancel_0_10,dot_product,20260523,1600,1.0000000000001803,1.0,0.25,,1.0000000027478353,4,1.0,3.462968361418461e-05,0.9976811408996582,0.0007258849800564349,0.0015928482171148062,10,original,0,
R2P3_cancel_0_10,dot_product,20260524,1600,0.866025403784751,1.0,0.5,,0.7500000020608765,3,1.0,3.569061118469108e-05,0.9957504868507385,0.0024584420025348663,0.0017911350587382913,10,original,0,
R2P3_cancel_0_10,dot_product,20260525,1600,0.866025403784751,1.0,0.5,,0.7500000020608765,3,1.0,3.127108484477503e-05,0.9996270537376404,0.0002532613871153444,0.0001197578021674417,10,original,0,
R2P3_cancel_0_10,dot_product,20260526,1600,0.8417442805882993,0.9749999940395355,0.4749999940395355,,0.821599217328803,4,1.0,3.865286216750974e-05,0.9853071570396423,0.008114640600979328,0.00657819164916873,10,original,0,
R2P3_cancel_0_10,dot_product,20260527,1600,0.866025403784751,1.0,0.5,,0.7500000020608765,3,1.0,4.0184594081438266e-05,0.9948877692222595,0.003460531821474433,0.0016517136245965958,10,original,0,
R2P3_cancel_0_10,dot_product,20260528,1600,0.866025403784751,1.0,0.5,,0.7500000020608765,3,1.0,3.277902833360713e-05,0.9998137950897217,7.790826202835888e-05,0.0001081931623048149,10,original,0,
R2P3_cancel_0_final,dot_product,20260521,1600,1.0000000000001803,1.0,0.25,,1.0000000027478353,4,1.0,2.993299272020522e-05,0.9969350099563599,0.0011725913500413299,0.0018925205804407597,10000000,original,1,
R2P3_cancel_0_final,dot_product,20260522,1600,0.866025403784751,1.0,0.5,,0.7500000020608765,3,1.0,4.371901468402939e-05,0.9907106161117554,0.005695228464901447,0.0035941412206739187,10000000,original,1,
R2P3_cancel_0_final,dot_product,20260523,1600,1.0000000000001803,1.0,0.25,,1.0000000027478353,4,1.0,3.419159925215354e-05,0.9972212314605713,0.0009576663724146783,0.001821085810661316,10000000,original,1,
R2P3_cancel_0_final,dot_product,20260524,1600,0.8417442805882993,0.9749999940395355,0.4749999940395355,,0.8215993033201284,4,1.0,3.873331224895083e-05,0.9944072365760803,0.0028576229233294725,0.002735152840614319,10000000,original,1,
R2P3_cancel_0_final,dot_product,20260525,1600,1.0000000000001803,1.0,0.25,,1.0000000027478353,4,1.0,3.308002815174405e-05,0.999580979347229,0.0002644586784299463,0.00015466708282474428,10000000,original,1,
R2P3_cancel_0_final,dot_product,20260526,1600,1.0000000000001803,1.0,0.25,,1.0000000027478353,4,1.0,3.709425118358922e-05,0.9858942627906799,0.010155181400477886,0.003950499463826418,10000000,original,1,
R2P3_cancel_0_final,dot_product,20260527,1600,1.0000000000001803,1.0,0.25,,1.0000000027478353,4,1.0,3.7255155893944904e-05,0.9901989102363586,0.007338988594710827,0.0024620683398097754,10000000,original,1,
R2P3_cancel_0_final,dot_product,20260528,1600,1.0000000000001803,1.0,0.25,,1.0000000027478353,4,1.0,2.809722391248215e-05,0.9995162487030029,0.0002801748050842434,0.00020360149210318923,10000000,original,1,
