pool,feature_NMI_mean,feature_NMI_std,feature_NMI_min,feature_NMI_max,nuisance_NMI_mean,nuisance_NMI_std,nuisance_NMI_min,nuisance_NMI_max,slot_start_NMI_mean,slot_start_NMI_std,slot_start_NMI_min,slot_start_NMI_max,feature_purity_mean,feature_purity_std,feature_purity_min,feature_purity_max,dominant_expert_count_mean,dominant_expert_count_std,dominant_expert_count_min,dominant_expert_count_max,load_imbalance_L_mean,load_imbalance_L_std,load_imbalance_L_min,load_imbalance_L_max,max_load_mean,max_load_std,max_load_min,max_load_max,active_experts_mean,active_experts_std,active_experts_min,active_experts_max,margin_mean_mean,margin_mean_std,margin_mean_min,margin_mean_max,fit_pool_role_entropy_mean,fit_pool_role_entropy_std,fit_pool_role_entropy_min,fit_pool_role_entropy_max,fit_pool_route_fraction_mean,fit_pool_route_fraction_std,fit_pool_route_fraction_min,fit_pool_route_fraction_max,fit_pool_slot_nonroute_fraction_mean,fit_pool_slot_nonroute_fraction_std,fit_pool_slot_nonroute_fraction_min,fit_pool_slot_nonroute_fraction_max,fit_pool_target_fraction_mean,fit_pool_target_fraction_std,fit_pool_target_fraction_min,fit_pool_target_fraction_max,fit_pool_neutral_fraction_mean,fit_pool_neutral_fraction_std,fit_pool_neutral_fraction_min,fit_pool_neutral_fraction_max,reconstruction_mse_mean,train_reconstruction_mse_mean,retained_variance_fraction_mean,latent_l0_mean_mean,latent_active_fraction_mean,n,reconstruction_mse_std,reconstruction_mse_min,reconstruction_mse_max,train_reconstruction_mse_std,train_reconstruction_mse_min,train_reconstruction_mse_max,retained_variance_fraction_std,retained_variance_fraction_min,retained_variance_fraction_max,latent_l0_mean_std,latent_l0_mean_min,latent_l0_mean_max,latent_active_fraction_std,latent_active_fraction_min,latent_active_fraction_max
all_position,0.8311484716986839,0.12707124289798175,0.6368979998630601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.875,0.7806247497997998,2.0,4.0,0.875,0.5994789404140899,0.0,2.0,0.46875,0.14986973510352247,0.25,0.75,2.875,0.7806247497997998,2.0,4.0,1.9971372932195663,0.274767589356165,1.5182843208312988,2.441833734512329,1.1808927059173584,0.0,1.1808927059173584,1.1808927059173584,0.03125,0.0,0.03125,0.03125,0.09375,0.0,0.09375,0.09375,0.03125,0.0,0.03125,0.03125,0.8125,0.0,0.8125,0.8125,nan,nan,nan,nan,nan,8,,,,,,,,,,,,,,,
route_only,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,4.0,0.0,4.0,4.0,5.955276608467102,0.3501916770223595,5.234182834625244,6.410549163818359,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,8,,,,,,,,,,,,,,,
slot_offset_3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,4.0,0.0,4.0,4.0,5.955276608467102,0.3501916770223595,5.234182834625244,6.410549163818359,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,8,,,,,,,,,,,,,,,
selector_stability_top1_position,0.7452029123285561,0.11860507256040834,0.627114639198864,1.0,4.150622555093756e-05,5.526110168677718e-05,0.0,0.00017158349027279944,0.0037786303903321614,0.004760491522670097,0.0,0.011309482728684903,0.9664815266927084,0.03998399452151679,0.8968912760416666,1.0,2.625,0.6959705453537527,2.0,4.0,0.9930012971162796,0.5031999655674513,0.0,1.9983723163604736,0.4980265274643898,0.12579827218839873,0.25,0.7495930790901184,3.0,0.7071067811865476,2.0,4.0,1.1583153083920479,1.7472384352161736,0.28186655044555664,5.765867710113525,0.9182958602905273,0.0,0.9182958602905273,0.9182958602905273,0.041666666666666664,0.1102396379610246,0.0,0.3333333333333333,0.20833333333333331,0.16137430609197567,0.0,0.3333333333333333,0.08333333333333333,0.14433756729740643,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,nan,nan,nan,nan,nan,8,,,,,,,,,,,,,,,
selector_stability_top3_positions,0.777962708436094,0.14385715231066096,0.5872632200274843,1.0,4.4677343598479014e-05,4.6401068243107744e-05,0.0,0.00011601167926753465,0.0042188362913246165,0.008108633107468694,0.0,0.025257457400755624,0.9555562337239585,0.06249636318301492,0.8148600260416666,1.0,3.0,0.7071067811865476,2.0,4.0,0.8637695461511612,0.5952550348343161,0.0,2.0,0.451690673828125,0.1477293951960376,0.25,0.75,3.375,0.6959705453537527,2.0,4.0,1.1371895335614681,1.1587612817399,0.24610108137130737,3.215214729309082,1.3355055451393127,0.1111111044883728,1.22439444065094,1.4466166496276855,0.027777777777777776,0.048112522432468816,0.0,0.1111111111111111,0.2222222222222222,0.09622504486493763,0.1111111111111111,0.3333333333333333,0.08333333333333334,0.0734930919740164,0.0,0.2222222222222222,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,nan,nan,nan,nan,nan,8,,,,,,,,,,,,,,,
selector_stability_threshold_positions,0.6743500199488011,0.10126687836584906,0.5328526682147843,0.8660254037844386,8.354202290027156e-05,0.00011152572247709742,0.0,0.0003157867700581852,0.007296264062588822,0.0073165037432350935,0.0,0.02006347658860972,0.952362060546875,0.04771760866871921,0.8743489583333334,1.0,2.25,0.4330127018922193,2.0,3.0,1.1410725712776184,0.3216846015140872,1.0,1.9827473163604736,0.5338948518037796,0.08110258795527628,0.489013671875,0.7456868290901184,3.0,0.7071067811865476,2.0,4.0,1.0799673646688461,0.9836378484009394,0.18583975732326508,2.664349317550659,1.5230212211608887,0.08145283360518119,1.4046785831451416,1.6688389778137207,0.02222222222222222,0.028867513459481287,0.0,0.06666666666666667,0.175,0.0736504087975714,0.05555555555555555,0.2777777777777778,0.07083333333333333,0.05355783190183011,0.0,0.16666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,nan,nan,nan,nan,nan,8,,,,,,,,,,,,,,,
pca_q4,0.8708781273481566,0.10500557168676163,0.6368979998630601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.125,0.5994789404140899,2.0,4.0,0.875,0.5994789404140899,0.0,2.0,0.46875,0.14986973510352247,0.25,0.75,3.125,0.5994789404140899,2.0,4.0,2.209810569882393,0.3634085043281372,1.534669041633606,2.762382745742798,1.1808927059173584,0.0,1.1808927059173584,1.1808927059173584,0.03125,0.0,0.03125,0.03125,0.09375,0.0,0.09375,0.09375,0.03125,0.0,0.03125,0.03125,0.8125,0.0,0.8125,0.8125,0.9144688472151756,0.9144688472151756,0.08273552406501886,4.0,1.0,8,0.0012881845189103647,0.911841094493866,0.9160031080245972,0.0012881845189103647,0.911841094493866,0.9160031080245972,0.001312970464549112,0.0810119010032472,0.0852739710055778,0.0,4.0,4.0,0.0,1.0,1.0
pca_q8,0.8056255495063027,0.12197229005007365,0.6368979998630601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.75,0.6614378277661477,2.0,4.0,1.125,0.5994789404140899,0.0,2.0,0.53125,0.14986973510352247,0.25,0.75,2.75,0.6614378277661477,2.0,4.0,2.2064641416072845,0.2692056048651303,1.821273684501648,2.5713281631469727,1.1808927059173584,0.0,1.1808927059173584,1.1808927059173584,0.03125,0.0,0.03125,0.03125,0.09375,0.0,0.09375,0.09375,0.03125,0.0,0.03125,0.03125,0.8125,0.0,0.8125,0.8125,0.8428562209010124,0.8428562209010124,0.15456695766513126,8.0,1.0,8,0.0016604080841803209,0.8406645655632019,0.845245361328125,0.0016604080841803209,0.8406645655632019,0.845245361328125,0.00176421261704999,0.1520002097672612,0.15683545560687256,0.0,8.0,8.0,0.0,1.0,1.0
pca_q16,0.8510132995234202,0.11824232242711229,0.6368979998630601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.7071067811865476,2.0,4.0,0.875,0.5994789404140899,0.0,2.0,0.46875,0.14986973510352247,0.25,0.75,3.0,0.7071067811865476,2.0,4.0,2.167090028524399,0.23981426708183154,1.745699405670166,2.426462173461914,1.1808927059173584,0.0,1.1808927059173584,1.1808927059173584,0.03125,0.0,0.03125,0.03125,0.09375,0.0,0.09375,0.09375,0.03125,0.0,0.03125,0.03125,0.8125,0.0,0.8125,0.8125,0.7217718735337257,0.7217718735337257,0.2760215450283296,16.0,1.0,8,0.0017165960823147652,0.7189668416976929,0.724003791809082,0.0017165960823147652,0.7189668416976929,0.724003791809082,0.0017971325134342729,0.273324188446095,0.2787946946379588,0.0,16.0,16.0,0.0,1.0,1.0
pca_q32,0.8175196504695298,0.08582833957891418,0.6368979998630601,0.8660254037844386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.75,0.4330127018922193,2.0,3.0,1.125,0.33071891388307384,1.0,2.0,0.53125,0.08267972847076846,0.5,0.75,2.75,0.4330127018922193,2.0,3.0,2.0881071388721466,0.2191368954763803,1.7660034894943237,2.479627847671509,1.1808927059173584,0.0,1.1808927059173584,1.1808927059173584,0.03125,0.0,0.03125,0.03125,0.09375,0.0,0.09375,0.09375,0.03125,0.0,0.03125,0.03125,0.8125,0.0,0.8125,0.8125,0.5333086624741554,0.5333086624741554,0.46506076690859743,32.0,1.0,8,0.0014626117605546734,0.5310643911361694,0.5356175303459167,0.0014626117605546734,0.5310643911361694,0.5356175303459167,0.001561472915838142,0.46240556996616433,0.4673562987104714,0.0,32.0,32.0,0.0,1.0,1.0
