common_fraction,rare_fraction,sample_count,seed,slot_len,slot_start_unique,split
0.6982421875,0.3017578125,2048,0,1,3,calib
0.25,0.75,2048,0,1,3,eval
0.69287109375,0.30712890625,2048,1,1,3,calib
0.25,0.75,2048,1,1,3,eval
0.69970703125,0.30029296875,2048,2,1,3,calib
0.25,0.75,2048,2,1,3,eval
0.69287109375,0.30712890625,2048,3,1,3,calib
0.25,0.75,2048,3,1,3,eval
0.69384765625,0.30615234375,2048,4,1,3,calib
0.25,0.75,2048,4,1,3,eval
0.7041015625,0.2958984375,2048,5,1,3,calib
0.25,0.75,2048,5,1,3,eval
0.693359375,0.306640625,2048,6,1,3,calib
0.25,0.75,2048,6,1,3,eval
0.7021484375,0.2978515625,2048,7,1,3,calib
0.25,0.75,2048,7,1,3,eval
0.6982421875,0.3017578125,2048,0,2,3,calib
0.25,0.75,2048,0,2,3,eval
0.69287109375,0.30712890625,2048,1,2,3,calib
0.25,0.75,2048,1,2,3,eval
0.69970703125,0.30029296875,2048,2,2,3,calib
0.25,0.75,2048,2,2,3,eval
0.69287109375,0.30712890625,2048,3,2,3,calib
0.25,0.75,2048,3,2,3,eval
0.69384765625,0.30615234375,2048,4,2,3,calib
0.25,0.75,2048,4,2,3,eval
0.7041015625,0.2958984375,2048,5,2,3,calib
0.25,0.75,2048,5,2,3,eval
0.693359375,0.306640625,2048,6,2,3,calib
0.25,0.75,2048,6,2,3,eval
0.7021484375,0.2978515625,2048,7,2,3,calib
0.25,0.75,2048,7,2,3,eval
0.6982421875,0.3017578125,2048,0,4,3,calib
0.25,0.75,2048,0,4,3,eval
0.69287109375,0.30712890625,2048,1,4,3,calib
0.25,0.75,2048,1,4,3,eval
0.69970703125,0.30029296875,2048,2,4,3,calib
0.25,0.75,2048,2,4,3,eval
0.69287109375,0.30712890625,2048,3,4,3,calib
0.25,0.75,2048,3,4,3,eval
0.69384765625,0.30615234375,2048,4,4,3,calib
0.25,0.75,2048,4,4,3,eval
0.7041015625,0.2958984375,2048,5,4,3,calib
0.25,0.75,2048,5,4,3,eval
0.693359375,0.306640625,2048,6,4,3,calib
0.25,0.75,2048,6,4,3,eval
0.7021484375,0.2978515625,2048,7,4,3,calib
0.25,0.75,2048,7,4,3,eval
0.6982421875,0.3017578125,2048,0,8,3,calib
0.25,0.75,2048,0,8,3,eval
0.69287109375,0.30712890625,2048,1,8,3,calib
0.25,0.75,2048,1,8,3,eval
0.69970703125,0.30029296875,2048,2,8,3,calib
0.25,0.75,2048,2,8,3,eval
0.69287109375,0.30712890625,2048,3,8,3,calib
0.25,0.75,2048,3,8,3,eval
0.69384765625,0.30615234375,2048,4,8,3,calib
0.25,0.75,2048,4,8,3,eval
0.7041015625,0.2958984375,2048,5,8,3,calib
0.25,0.75,2048,5,8,3,eval
0.693359375,0.306640625,2048,6,8,3,calib
0.25,0.75,2048,6,8,3,eval
0.7021484375,0.2978515625,2048,7,8,3,calib
0.25,0.75,2048,7,8,3,eval
