model,step,layer,basis_orthogonality_relative_frobenius,fine_rank_coverage,coarse_rank_coverage,eigenvalues_nonincreasing,minimum_eigenvalue
lb,30000,1,1.4238126478283377e-06,768,768,True,1.7994803158671857e-07
lb,30000,2,1.357398770521067e-06,768,768,True,3.981175211720256e-08
lb,30000,3,1.3900093958710018e-06,768,768,True,5.152747917236411e-08
lb,30000,4,1.4122921504767785e-06,768,768,True,5.8746302045165066e-08
lb,30000,5,1.4199231229245745e-06,768,768,True,1.0120339055674776e-07
lb,30000,6,1.4258405725208124e-06,768,768,True,1.530136302108076e-07
lb,30000,7,1.38472573837829e-06,768,768,True,3.8798378909632447e-07
lb,30000,8,1.4225736814088934e-06,768,768,True,1.518740191386314e-07
lb,30000,9,1.4353733151019513e-06,768,768,True,0.0
lb,30000,10,1.4089791821013264e-06,768,768,True,6.642328003181319e-07
lb,30000,11,1.3990522229321826e-06,768,768,True,6.8143623366268e-07
lb,30000,12,1.3815162141158408e-06,768,768,True,3.5594773635239108e-06
lb,40000,1,1.445230698915903e-06,768,768,True,1.2784262537479663e-07
lb,40000,2,1.3758560620595596e-06,768,768,True,0.0
lb,40000,3,1.3823801299885219e-06,768,768,True,5.7525230801047655e-08
lb,40000,4,1.4135958351039772e-06,768,768,True,1.3773186147147953e-08
lb,40000,5,1.420268636763945e-06,768,768,True,1.1436891611538158e-07
lb,40000,6,1.4162764553927094e-06,768,768,True,1.5512210893575684e-07
lb,40000,7,1.4053999895365723e-06,768,768,True,2.701210632949369e-07
lb,40000,8,1.433705606965416e-06,768,768,True,2.0196902994484844e-07
lb,40000,9,1.4292940043492e-06,768,768,True,0.0
lb,40000,10,1.4104012761066074e-06,768,768,True,8.941683518060017e-07
lb,40000,11,1.408153992133894e-06,768,768,True,2.0673116978287e-06
lb,40000,12,1.3926184716907153e-06,768,768,True,4.634929155145073e-06
lb,80000,1,1.450040062525011e-06,768,768,True,7.743424390582732e-08
lb,80000,2,1.375964757142766e-06,768,768,True,1.579227237868963e-08
lb,80000,3,1.3893418662839204e-06,768,768,True,3.320354480251808e-08
lb,80000,4,1.4168628574901515e-06,768,768,True,4.865746916493663e-08
lb,80000,5,1.4323659531923253e-06,768,768,True,8.678212992663248e-08
lb,80000,6,1.4254986030863292e-06,768,768,True,1.449298423494838e-07
lb,80000,7,1.3972884220409287e-06,768,768,True,1.9639080051092606e-07
lb,80000,8,1.437067540638013e-06,768,768,True,4.435131870650366e-07
lb,80000,9,1.4449183974630679e-06,768,768,True,4.7413880110980244e-07
lb,80000,10,1.419153199418531e-06,768,768,True,1.3933375839769724e-06
lb,80000,11,1.3981611332887e-06,768,768,True,2.251767227789969e-06
lb,80000,12,1.4011629816796125e-06,768,768,True,2.6910931865131715e-06
decommon,30000,1,1.4465363526569278e-06,768,768,True,1.513054712631856e-07
decommon,30000,2,1.3726382675190406e-06,768,768,True,6.025003074228152e-08
decommon,30000,3,1.397732785394374e-06,768,768,True,8.909619708674654e-08
decommon,30000,4,1.3931645725918478e-06,768,768,True,1.2030172058530297e-07
decommon,30000,5,1.4174971746906977e-06,768,768,True,4.566532751937302e-08
decommon,30000,6,1.4075523622228627e-06,768,768,True,3.861743209654378e-07
decommon,30000,7,1.3978882141123888e-06,768,768,True,7.100535412973841e-07
decommon,30000,8,1.394726736227299e-06,768,768,True,6.771019229745434e-07
decommon,30000,9,1.3833770266815988e-06,768,768,True,1.7930060494109057e-06
decommon,30000,10,1.3995404318868248e-06,768,768,True,2.2266406176640885e-06
decommon,30000,11,1.3739514038926051e-06,768,768,True,4.317016191635048e-06
decommon,30000,12,1.3003104850204193e-06,768,768,True,5.573479484155541e-06
decommon,40000,1,1.4452556410243682e-06,768,768,True,5.987367046600411e-08
decommon,40000,2,1.375022076717037e-06,768,768,True,0.0
decommon,40000,3,1.3804544679407545e-06,768,768,True,1.0351877932635034e-07
decommon,40000,4,1.4120620267076235e-06,768,768,True,1.1442159575381083e-07
decommon,40000,5,1.410047623263422e-06,768,768,True,2.2309245650831144e-07
decommon,40000,6,1.4079587873165902e-06,768,768,True,2.8834534759880626e-07
decommon,40000,7,1.3934494377253712e-06,768,768,True,7.192464863692294e-07
decommon,40000,8,1.4200507215005122e-06,768,768,True,7.906785413069883e-07
decommon,40000,9,1.4049386918042215e-06,768,768,True,1.9106844320049277e-06
decommon,40000,10,1.3883143826894098e-06,768,768,True,2.536974307076889e-06
decommon,40000,11,1.3973644298346199e-06,768,768,True,6.437048341467744e-06
decommon,40000,12,1.313991625336339e-06,768,768,True,8.364580025954638e-06
decommon,80000,1,1.4489405093644617e-06,768,768,True,4.7676049774736384e-08
decommon,80000,2,1.3989179293692358e-06,768,768,True,3.7786698214858916e-08
decommon,80000,3,1.387894173798899e-06,768,768,True,4.9946265789913014e-08
decommon,80000,4,1.405635889372951e-06,768,768,True,5.70320217718745e-08
decommon,80000,5,1.4267354691176923e-06,768,768,True,1.4581485174858244e-07
decommon,80000,6,1.4115463814336694e-06,768,768,True,2.5628503408370307e-07
decommon,80000,7,1.3978872951926032e-06,768,768,True,7.255068794620456e-07
decommon,80000,8,1.4299796497834824e-06,768,768,True,7.774235086799308e-07
decommon,80000,9,1.3951787134875392e-06,768,768,True,2.083875642711064e-06
decommon,80000,10,1.420311563445356e-06,768,768,True,2.921130544564221e-06
decommon,80000,11,1.3926519466257608e-06,768,768,True,2.6423974759381963e-06
decommon,80000,12,1.3449739248262623e-06,768,768,True,7.432373422489036e-06
