model,step,layer,control,contrast,actual_router_input_B,control_B,actual_minus_control_B
decommon,30000,1,next_layer_basis,H:M,1.5524079278083074,0.3998982080159062,1.1525097197924012
decommon,30000,1,next_layer_basis,H:T,2.520705218770665,0.27374716494173684,2.246958053828928
decommon,30000,2,next_layer_basis,H:M,2.4775448015633423,0.08905895704811902,2.3884858445152233
decommon,30000,2,next_layer_basis,H:T,4.193327488842476,0.31117104362979975,3.882156445212676
decommon,30000,3,next_layer_basis,H:M,2.775200319511141,0.24400543123108828,2.531194888280053
decommon,30000,3,next_layer_basis,H:T,4.247345340267541,0.5512079191693985,3.696137421098143
decommon,30000,4,next_layer_basis,H:M,2.496462232515485,0.013478243627546757,2.482983988887938
decommon,30000,4,next_layer_basis,H:T,4.203959936164781,0.3274831580832481,3.8764767780815323
decommon,30000,5,next_layer_basis,H:M,2.0946674848153073,0.11839334078767669,1.9762741440276306
decommon,30000,5,next_layer_basis,H:T,3.8111254171437645,0.331540197069342,3.4795852200744224
decommon,30000,6,next_layer_basis,H:M,1.4234533862059757,-0.06128667979990264,1.4847400660058783
decommon,30000,6,next_layer_basis,H:T,3.2801965396302695,-0.007689445980490623,3.2878859856107603
decommon,30000,7,next_layer_basis,H:M,1.2640241895737376,0.2888649106781411,0.9751592788955965
decommon,30000,7,next_layer_basis,H:T,2.6917570656758056,0.4876549974538004,2.204102068222005
decommon,30000,8,next_layer_basis,H:M,1.5017175272821655,-0.014024362565405124,1.5157418898475705
decommon,30000,8,next_layer_basis,H:T,2.930421529477257,-0.003039501329186896,2.933461030806444
decommon,30000,9,next_layer_basis,H:M,0.847642246511199,0.18916495561716515,0.6584772908940338
decommon,30000,9,next_layer_basis,H:T,1.8462128535822022,0.2731929740098156,1.5730198795723866
decommon,30000,10,next_layer_basis,H:M,0.9528470737642358,-0.01782042015062325,0.9706674939148591
decommon,30000,10,next_layer_basis,H:T,2.30512390452867,0.006348819291336229,2.298775085237334
decommon,30000,11,next_layer_basis,H:M,1.0120549948680373,0.22247206393156865,0.7895829309364686
decommon,30000,11,next_layer_basis,H:T,2.2505293843978884,0.1415466558206778,2.1089827285772107
decommon,30000,12,next_layer_basis,H:M,0.48547650466679315,-0.08684320092057936,0.5723197055873726
decommon,30000,12,next_layer_basis,H:T,2.0371129450348886,-0.12263771246524575,2.159750657500134
decommon,40000,1,next_layer_basis,H:M,1.566460470142913,0.4344388072441441,1.132021662898769
decommon,40000,1,next_layer_basis,H:T,2.6949875560433343,0.31239359495103036,2.382593961092304
decommon,40000,2,next_layer_basis,H:M,2.484571527767395,0.08803254563844203,2.396538982128953
decommon,40000,2,next_layer_basis,H:T,4.253697497693265,0.2939866768623074,3.9597108208309577
decommon,40000,3,next_layer_basis,H:M,2.7676002810970695,0.22191047152206927,2.5456898095750002
decommon,40000,3,next_layer_basis,H:T,4.286276472831889,0.55479221949678,3.7314842533351094
decommon,40000,4,next_layer_basis,H:M,2.4539393288285467,-0.03014131471269485,2.4840806435412417
decommon,40000,4,next_layer_basis,H:T,4.172483721872266,0.28188214378254484,3.8906015780897207
decommon,40000,5,next_layer_basis,H:M,2.044145354751845,0.09423847541105701,1.949906879340788
decommon,40000,5,next_layer_basis,H:T,3.7701218225118236,0.31137541522631407,3.4587464072855094
decommon,40000,6,next_layer_basis,H:M,1.3914959964292324,-0.03939938102579386,1.4308953774550262
decommon,40000,6,next_layer_basis,H:T,3.215763313731814,0.0036156964117627023,3.212147617320051
decommon,40000,7,next_layer_basis,H:M,1.2182568843641464,0.29679357510507476,0.9214633092590716
decommon,40000,7,next_layer_basis,H:T,2.4390204704085807,0.4980252049067321,1.9409952655018485
decommon,40000,8,next_layer_basis,H:M,1.3965449942364478,-0.018054078596479492,1.4145990728329274
decommon,40000,8,next_layer_basis,H:T,2.6688919102642767,-0.021040998828129622,2.6899329090924065
decommon,40000,9,next_layer_basis,H:M,0.7612428283606715,0.18180396241317695,0.5794388659474945
decommon,40000,9,next_layer_basis,H:T,1.6213116932605922,0.2589984702102202,1.362313223050372
decommon,40000,10,next_layer_basis,H:M,0.8630956578189466,-0.004823065227059368,0.8679187230460059
decommon,40000,10,next_layer_basis,H:T,2.0296204495811643,0.0006602249280466753,2.0289602246531175
decommon,40000,11,next_layer_basis,H:M,0.9279339576697173,0.25628750814004053,0.6716464495296768
decommon,40000,11,next_layer_basis,H:T,2.0012946313717386,0.15428846865148763,1.847006162720251
decommon,40000,12,next_layer_basis,H:M,0.2887115707368441,-0.06142657549059366,0.3501381462274378
decommon,40000,12,next_layer_basis,H:T,1.7499562599444667,-0.10024097140563788,1.8501972313501045
decommon,80000,1,next_layer_basis,H:M,1.878543969877493,0.44749217606800723,1.4310517938094858
decommon,80000,1,next_layer_basis,H:T,3.1850651256450067,0.2524932750766727,2.932571850568334
decommon,80000,2,next_layer_basis,H:M,2.634660870532729,0.09552827136592357,2.5391325991668054
decommon,80000,2,next_layer_basis,H:T,4.42788817662573,0.3396094251487584,4.088278751476972
decommon,80000,3,next_layer_basis,H:M,2.7877145469211224,0.1962726895509262,2.5914418573701963
decommon,80000,3,next_layer_basis,H:T,4.4267342065171364,0.5834024560103361,3.8433317505068003
decommon,80000,4,next_layer_basis,H:M,2.4365362615213146,-0.1047034041707533,2.5412396656920677
decommon,80000,4,next_layer_basis,H:T,4.058816695333155,0.1791511652707189,3.879665530062436
decommon,80000,5,next_layer_basis,H:M,2.007545270861133,0.11465868658488118,1.892886584276252
decommon,80000,5,next_layer_basis,H:T,3.7213130418791236,0.3885925723381429,3.3327204695409804
decommon,80000,6,next_layer_basis,H:M,1.4532276095411307,-0.003993823218807007,1.4572214327599378
decommon,80000,6,next_layer_basis,H:T,3.2081531629078968,0.027631171763769495,3.1805219911441274
decommon,80000,7,next_layer_basis,H:M,1.2340372680949838,0.397014597446951,0.8370226706480328
decommon,80000,7,next_layer_basis,H:T,2.3056039956262113,0.57187973666606,1.7337242589601514
decommon,80000,8,next_layer_basis,H:M,1.4505806527050693,0.0508069121940313,1.399773740511038
decommon,80000,8,next_layer_basis,H:T,2.498498605074658,-0.018980967340172322,2.5174795724148304
decommon,80000,9,next_layer_basis,H:M,0.739882018477063,0.1919227338917149,0.5479592845853481
decommon,80000,9,next_layer_basis,H:T,1.4434267949597348,0.2775521410454914,1.1658746539142433
decommon,80000,10,next_layer_basis,H:M,0.8498424247949213,0.049850482771015225,0.7999919420239061
decommon,80000,10,next_layer_basis,H:T,1.8797102196227722,0.0038765663286109034,1.8758336532941613
decommon,80000,11,next_layer_basis,H:M,0.9271972174608084,0.1465138521991349,0.7806833652616735
decommon,80000,11,next_layer_basis,H:T,1.8017274251472648,0.027287627563701372,1.7744397975835635
decommon,80000,12,next_layer_basis,H:M,0.10900636362774595,-0.029041793060649093,0.13804815668839504
decommon,80000,12,next_layer_basis,H:T,1.3040174312771313,-0.06144649367130261,1.365463924948434
lb,30000,1,next_layer_basis,H:M,1.6598533160403588,-0.02029469114558035,1.6801480071859392
lb,30000,1,next_layer_basis,H:T,2.8476204308345445,-0.07641778619325686,2.9240382170278014
lb,30000,2,next_layer_basis,H:M,2.441270418370335,0.07531462109146746,2.365955797278868
lb,30000,2,next_layer_basis,H:T,3.9262222874926813,0.41319806960560257,3.5130242178870787
lb,30000,3,next_layer_basis,H:M,2.533306322244033,-0.02854461754515546,2.5618509397891884
lb,30000,3,next_layer_basis,H:T,4.045452494630775,0.15671324439613896,3.888739250234636
lb,30000,4,next_layer_basis,H:M,2.509601627614116,0.04862319899518357,2.4609784286189327
lb,30000,4,next_layer_basis,H:T,4.153656059406513,0.3430003324698673,3.810655726936646
lb,30000,5,next_layer_basis,H:M,2.2739235678151566,0.2389134837617829,2.035010084053374
lb,30000,5,next_layer_basis,H:T,4.046897129094512,0.4125789546301925,3.63431817446432
lb,30000,6,next_layer_basis,H:M,2.07789819282914,0.2048382631316433,1.8730599296974968
lb,30000,6,next_layer_basis,H:T,3.560940603328058,0.4776051661369481,3.08333543719111
lb,30000,7,next_layer_basis,H:M,1.3007902237601041,0.012725547804479698,1.2880646759556245
lb,30000,7,next_layer_basis,H:T,3.0496604886795184,0.05978011899856845,2.98988036968095
