model,step,contrast,eligible_layers,eligible_count,model_median_B,gain_ratio,basis_bootstrap_ci_lower,basis_bootstrap_ci_upper,orientation_null_q95,above_zero,above_matched_null,supported
lb,30000,H:M,"1,2,3,4,5,6,7,8,9,10,11,12",12,1.6830532222361994,5.3819632406967886,1.6340542912483216,1.7656957626342773,0.03876278270035982,True,True,True
lb,30000,H:T,"1,2,3,4,5,6,7,8,9,10,11,12",12,2.9756769920889083,19.602889759715172,2.9314532577991486,2.997653251886368,0.037772271782159805,True,True,True
lb,40000,H:M,"1,2,3,4,5,6,7,8,9,10,11,12",12,1.6886686196476994,5.412270116084124,1.6049291849136353,1.7189227014780044,0.03840450290590525,True,True,True
lb,40000,H:T,"1,2,3,4,5,6,7,8,9,10,11,12",12,2.9945353759983475,19.976076368810986,2.910729372501373,2.98585706949234,0.037938778288662434,True,True,True
lb,80000,H:M,"1,2,3,4,5,6,7,8,9,10,11,12",12,1.8496440205531908,6.3575559604810685,1.7200419366359712,1.8371548682451249,0.042388809844851494,True,True,True
lb,80000,H:T,"1,2,3,4,5,6,7,8,9,10,11,12",12,3.233199246405789,25.360662331629296,3.148926872014999,3.224964016675949,0.03855099529027939,True,True,True
decommon,30000,H:M,"1,2,3,4,5,6,7,8,9,10,11,12",12,1.4625854567440706,4.317106804638219,1.4137008309364318,1.5050178468227386,0.03919103369116783,True,True,True
decommon,30000,H:T,"1,2,3,4,5,6,7,8,9,10,11,12",12,2.8110892975765314,16.628021220436683,2.725128573179245,2.82838688492775,0.03396676015108824,True,True,True
decommon,40000,H:M,"1,2,3,4,5,6,7,8,9,10,11,12",12,1.39402049533284,4.031024231211206,1.3395058751106261,1.4448998063802718,0.03675556927919388,True,True,True
decommon,40000,H:T,"1,2,3,4,5,6,7,8,9,10,11,12",12,2.681939733153805,14.613411941326643,2.6325681090354918,2.692448627948761,0.04007365461438894,True,True,True
decommon,80000,H:M,"1,2,3,4,5,6,7,8,9,10,11,12",12,1.4519041311230998,4.271239777525967,1.3749505639076234,1.4911266654729842,0.03941072337329388,True,True,True
decommon,80000,H:T,"1,2,3,4,5,6,7,8,9,10,11,12",12,2.841781865359832,17.14629071466517,2.784111964702606,2.839703106880188,0.04053732194006443,True,True,True
