model,step,band,common_stable_layers,median_geometric_G,pointwise_ci_lower,pointwise_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper,log_gain_relative_to_fine_mean,haar_simultaneous_upper_q95,above_simultaneous_haar_envelope
lb,30000,F1,"1,2,3,4,5,6,7,8,9,10,11,12",0.1535996895428344,0.1493638397042079,0.15735677309494492,0.13323636637368738,0.17707526308158486,1.733567015283268,0.10773841850459576,True
lb,30000,F2,"1,2,3,4,5,6,7,8,9,10,11,12",0.0558109603126886,0.05252263997971107,0.059000067682402596,0.048411878813173055,0.06434088838082722,0.7211874872621117,0.10773841850459576,True
lb,30000,F3,"1,2,3,4,5,6,7,8,9,10,11,12",0.030498159214869876,0.028623210196971272,0.033508503403239874,0.026454896666586507,0.03515937813774755,0.11688354398471233,0.10773841850459576,True
lb,30000,F4,"1,2,3,4,5,6,7,8,9,10,11,12",0.020290749665948033,0.019353049152349262,0.02156776309000985,0.017600724093489204,0.023391908186235943,-0.29061768346699035,0.10773841850459576,False
lb,30000,F5,"1,2,3,4,5,6,7,8,9,10,11,12",0.013669855083075725,0.013886128175666193,0.01590944560757787,0.011857587899720183,0.01575910206802691,-0.6855897345682002,0.10773841850459576,False
lb,30000,F6,"1,2,3,4,5,6,7,8,9,10,11,12",0.011514330645284194,0.010703806100203616,0.011755890323999417,0.009987829929662963,0.013274135737451884,-0.8571903814968644,0.10773841850459576,False
lb,30000,F7,"1,2,3,4,5,6,7,8,9,10,11,12",0.00868060827154215,0.00835648700843051,0.009303248965638571,0.007529785427665967,0.010007318360906256,-1.139691180530505,0.10773841850459576,False
lb,30000,F8,"1,2,3,4,5,6,7,8,9,10,11,12",0.007321547340189173,0.006971115464220605,0.007750254741485444,0.00635090062189028,0.008440543892289116,-1.3099610931864365,0.10773841850459576,False
lb,30000,F9,"1,2,3,4,5,6,7,8,9,10,11,12",0.006285690602912364,0.006206426683538545,0.006795318508745679,0.005452371541725848,0.007246370877916119,-1.4625070669328122,0.10773841850459576,False
lb,30000,F10,"1,2,3,4,5,6,7,8,9,10,11,12",0.0063968561971472805,0.006021622552085664,0.006536054682902602,0.005548799469970466,0.007374526585153269,-1.444976133590724,0.10773841850459576,False
lb,30000,F11,"1,2,3,4,5,6,7,8,9,10,11,12",0.005974277760951136,0.005752244063668294,0.006044577280418332,0.005182243941673333,0.006887362919752959,-1.5133195703787619,0.10773841850459576,False
lb,30000,F12,"1,2,3,4,5,6,7,8,9,10,11,12",0.005563722258200644,0.005447332007068509,0.005647313268606075,0.0048261174186054355,0.006414059725745771,-1.5845154288833188,0.10773841850459576,False
lb,40000,F1,"1,2,3,4,5,6,7,8,9,10,11,12",0.16362141018416368,0.15889657747875105,0.1667512883449645,0.14759002561514292,0.18139414068851215,1.6862849885517839,0.1143304668366909,True
lb,40000,F2,"1,2,3,4,5,6,7,8,9,10,11,12",0.062185637011898526,0.05883703719021686,0.06704091043846999,0.05609277996779168,0.06894030662762755,0.7188537607318266,0.1143304668366909,True
lb,40000,F3,"1,2,3,4,5,6,7,8,9,10,11,12",0.03705511053947926,0.03404776701801761,0.04036442488169967,0.03342450543323222,0.04108007580952402,0.20113598238827057,0.1143304668366909,True
lb,40000,F4,"1,2,3,4,5,6,7,8,9,10,11,12",0.024288203300335588,0.023717882963129145,0.026186592446663274,0.02190848094517448,0.026926413612823594,-0.22127952453487004,0.1143304668366909,False
lb,40000,F5,"1,2,3,4,5,6,7,8,9,10,11,12",0.018188929646112368,0.016615380737122463,0.018834808961172955,0.016406805132410347,0.020164630408005674,-0.5104571482875,0.1143304668366909,False
lb,40000,F6,"1,2,3,4,5,6,7,8,9,10,11,12",0.013390532964852202,0.012334024574436872,0.013777872808094664,0.012078548284472804,0.014845026807840405,-0.8167223339707681,0.1143304668366909,False
lb,40000,F7,"1,2,3,4,5,6,7,8,9,10,11,12",0.009910664264038927,0.00950548849402448,0.010414629074731748,0.008939631989152463,0.010987171090899715,-1.117658920289375,0.1143304668366909,False
lb,40000,F8,"1,2,3,4,5,6,7,8,9,10,11,12",0.008054654626199044,0.007860689627074521,0.008865621531939216,0.0072654714396105605,0.008929559724596092,-1.3250201572689841,0.1143304668366909,False
lb,40000,F9,"1,2,3,4,5,6,7,8,9,10,11,12",0.007350337081174789,0.007084238693092685,0.0077789791173824745,0.006630161889385297,0.00814873846344379,-1.4165241224631988,0.1143304668366909,False
lb,40000,F10,"1,2,3,4,5,6,7,8,9,10,11,12",0.006715989834419286,0.006354651722074121,0.0069745307194887885,0.006057967050750412,0.0074454877483092295,-1.5067790704298683,0.1143304668366909,False
lb,40000,F11,"1,2,3,4,5,6,7,8,9,10,11,12",0.006674483618504549,0.0065395012636537365,0.006962566339279338,0.006020527552685039,0.007399473083354251,-1.5129784552367214,0.1143304668366909,False
lb,40000,F12,"1,2,3,4,5,6,7,8,9,10,11,12",0.006208621060806861,0.006145140730460857,0.00637366822707511,0.005600309521644059,0.006883008042273072,-1.585331476107186,0.1143304668366909,False
lb,80000,F1,"1,2,3,4,5,6,7,8,9,10,11,12",0.24265016310060838,0.2299969086216024,0.24222879490251528,0.21901332172646293,0.26883799208474174,1.766719930873922,0.11923219077289104,True
lb,80000,F2,"1,2,3,4,5,6,7,8,9,10,11,12",0.07605967835624676,0.07352571149587844,0.08437086565404303,0.06865061450356882,0.08426835962779289,0.6066174565429557,0.11923219077289104,True
lb,80000,F3,"1,2,3,4,5,6,7,8,9,10,11,12",0.04736955699963643,0.04522054894005491,0.052299202476267376,0.042755232037078275,0.05248187937316928,0.1330789478496193,0.11923219077289104,True
lb,80000,F4,"1,2,3,4,5,6,7,8,9,10,11,12",0.03337313910019353,0.031244226408379653,0.03566130719132006,0.030122221874386873,0.03697490902382303,-0.21714945924694545,0.11923219077289104,False
lb,80000,F5,"1,2,3,4,5,6,7,8,9,10,11,12",0.024135460360314675,0.022559806007117978,0.025217578604326857,0.021784396422260797,0.02674026103422638,-0.5412186737869251,0.11923219077289104,False
lb,80000,F6,"1,2,3,4,5,6,7,8,9,10,11,12",0.016524741816821273,0.015862364618252703,0.01783731828626603,0.014915047036146583,0.01830816164714896,-0.9200420552620064,0.11923219077289104,False
lb,80000,F7,"1,2,3,4,5,6,7,8,9,10,11,12",0.01276893648327364,0.01228165337109179,0.013752982301666343,0.01152509917315184,0.014147013961814567,-1.1778854329281265,0.11923219077289104,False
lb,80000,F8,"1,2,3,4,5,6,7,8,9,10,11,12",0.010381333374196732,0.010029161527739673,0.011055121238569138,0.0093700753264687,0.011501730655438282,-1.3848914914726456,0.11923219077289104,False
